seed,sample_id,rank_full,rank_noLTP,rank_noSTI,ndcg10_full,ndcg10_noLTP,ndcg10_noSTI,overlap10_noLTP,overlap10_noSTI,driver
42,20001/1/151656,1047,1047,276,0.0,0.0,0.0,1.0,0.0,STI-driven
42,20001/4/94688,6363,6363,6267,0.0,0.0,0.0,1.0,0.0,STI-driven
42,20001/8/101794,58,58,207,0.0,0.0,0.0,1.0,0.0,STI-driven
42,20001/10/91481,491,491,315,0.0,0.0,0.0,1.0,0.1,STI-driven
42,20001/13/124771,5776,5776,1071,0.0,0.0,0.0,1.0,0.1,STI-driven
42,20057/3/205163,693,168,3315,0.0,0.0,0.0,0.5,0.3,Jointly-driven
42,20057/7/136632,106,202,85,0.0,0.0,0.0,0.7,0.2,STI-driven
42,20057/10/187028,293,68,3051,0.0,0.0,0.0,0.6,0.2,STI-driven
42,20058/8/183056,877,308,3813,0.0,0.0,0.0,0.6,0.3,Jointly-driven
42,20058/12/141566,3642,1655,6210,0.0,0.0,0.0,0.6,0.3,Jointly-driven
42,20059/5/183056,878,507,2277,0.0,0.0,0.0,0.7,0.5,Jointly-driven
42,20059/8/103896,427,193,2525,0.0,0.0,0.0,0.7,0.2,Jointly-driven
42,20059/17/99910,93,151,175,0.0,0.0,0.0,0.5,0.1,Jointly-driven
42,20098/11/205163,505,544,517,0.0,0.0,0.0,0.5,0.4,Jointly-driven
42,20098/17/181301,770,850,642,0.0,0.0,0.0,0.8,0.4,STI-driven
42,20112/3/185171,3,8,72,0.5,0.31546487678572877,0.0,0.8,0.0,Jointly-driven
42,20112/12/85082,462,1596,153,0.0,0.0,0.0,0.4,0.1,Jointly-driven
42,20121/7/105589,1102,1489,563,0.0,0.0,0.0,0.7,0.2,STI-driven
42,20191/3/78874,238,238,76,0.0,0.0,0.0,1.0,0.1,STI-driven
42,20191/4/134643,143,143,485,0.0,0.0,0.0,1.0,0.1,STI-driven
42,20191/7/163739,1222,1222,2621,0.0,0.0,0.0,1.0,0.1,STI-driven
42,20191/10/78186,726,726,156,0.0,0.0,0.0,1.0,0.1,STI-driven
42,20191/13/108426,375,375,2340,0.0,0.0,0.0,1.0,0.0,STI-driven
42,20295/7/156293,4466,4466,5363,0.0,0.0,0.0,1.0,0.0,STI-driven
42,20295/7/87541,6474,6474,2649,0.0,0.0,0.0,1.0,0.0,STI-driven
42,20295/8/119062,1489,1489,5789,0.0,0.0,0.0,1.0,0.0,STI-driven
42,20300/9/165308,591,476,2118,0.0,0.0,0.0,0.6,0.0,Jointly-driven
42,20300/11/158006,56,19,2759,0.0,0.0,0.0,0.8,0.0,STI-driven
42,20301/5/85637,360,937,87,0.0,0.0,0.0,0.7,0.3,STI-driven
42,20301/10/196336,1323,1487,1004,0.0,0.0,0.0,0.6,0.3,Jointly-driven
42,20378/3/188302,1196,1279,1577,0.0,0.0,0.0,0.8,0.0,STI-driven
42,20378/4/173253,804,505,5654,0.0,0.0,0.0,0.8,0.0,STI-driven
42,20378/14/166069,1123,1076,1434,0.0,0.0,0.0,0.4,0.2,Jointly-driven
42,20379/4/80240,712,712,5232,0.0,0.0,0.0,1.0,0.0,STI-driven
42,20379/8/77161,5242,5242,144,0.0,0.0,0.0,1.0,0.0,STI-driven
42,20379/8/130591,3838,3838,230,0.0,0.0,0.0,1.0,0.0,STI-driven
42,20379/10/90253,2941,2941,175,0.0,0.0,0.0,1.0,0.0,STI-driven
42,20379/14/170060,1138,1138,2111,0.0,0.0,0.0,1.0,0.0,STI-driven
42,20379/14/86168,1854,1854,2472,0.0,0.0,0.0,1.0,0.0,STI-driven
42,20413/4/101775,810,1300,336,0.0,0.0,0.0,0.6,0.1,STI-driven
42,20413/7/77115,2590,3126,2376,0.0,0.0,0.0,0.7,0.0,STI-driven
42,20454/1/89352,5039,4736,3816,0.0,0.0,0.0,0.5,0.0,Jointly-driven
42,20454/6/185065,4994,5099,3313,0.0,0.0,0.0,0.9,0.0,STI-driven
42,20454/10/152496,6049,5269,4624,0.0,0.0,0.0,0.7,0.0,STI-driven
42,20454/11/128167,2685,2290,3721,0.0,0.0,0.0,0.7,0.0,STI-driven
42,20454/16/107407,2723,2188,4392,0.0,0.0,0.0,0.6,0.0,Jointly-driven
42,20454/16/184951,264,216,4040,0.0,0.0,0.0,0.6,0.0,Jointly-driven
42,20458/5/205163,224,250,487,0.0,0.0,0.0,0.6,0.2,STI-driven
42,20458/12/205695,135,58,1395,0.0,0.0,0.0,0.6,0.3,STI-driven
42,20543/10/169419,3,2,45,0.5,0.6309297535714575,0.0,0.7,0.1,STI-driven
42,20548/10/187714,2392,2392,837,0.0,0.0,0.0,1.0,0.0,STI-driven
42,20548/13/104180,2122,2122,64,0.0,0.0,0.0,1.0,0.0,STI-driven
42,20548/16/129416,588,588,848,0.0,0.0,0.0,1.0,0.0,STI-driven
42,20621/4/205163,206,138,425,0.0,0.0,0.0,0.8,0.7,Jointly-driven
42,20621/4/205744,2057,1881,1942,0.0,0.0,0.0,0.8,0.7,Jointly-driven
42,20621/7/205430,32,27,209,0.0,0.0,0.0,0.7,0.7,Jointly-driven
42,20621/7/124848,2028,1310,2926,0.0,0.0,0.0,0.7,0.7,Jointly-driven
42,20639/5/99583,8,4,386,0.31546487678572877,0.43067655807339306,0.0,0.9,0.2,STI-driven
42,20639/7/205817,569,389,2298,0.0,0.0,0.0,0.9,0.2,STI-driven
42,20639/11/136632,139,148,304,0.0,0.0,0.0,1.0,0.2,STI-driven
