model,seed,train_time_s,epochs_run,n_parameters,model_size_mb,gpu_peak_mem_mb,inference_time_s,cpu_inference_ms_per_sample
LTP-only,42,2.72,6,515597,2.062,,0.022,0.0179
STI-only,42,3.09,7,515597,2.062,,0.018,0.0147
Naive fusion,42,2.65,6,515597,2.062,,0.02,0.0162
Adaptive fusion,42,2.48,5,526862,2.107,,0.024,0.0198
Sequential (GRU),42,10.09,8,492877,1.972,,0.035,0.029
Conversation-aware,42,1.55,7,476173,1.905,,0.022,0.018
AIPA w/o relationship,42,5.97,6,547222,2.189,,0.061,0.0508
AIPA w/o counterfactual,42,4.93,6,547222,2.189,,0.042,0.0347
AIPA w/o clarification,42,5.13,7,547542,2.19,,0.04,0.0334
AIPA w/o persistence,42,3.57,5,547542,2.19,,0.048,0.0396
AIPA (rule policy),42,4.7,6,535378,2.142,,0.06,0.0502
AIPA (full),42,3.54,5,547542,2.19,,0.046,0.0385
LTP-only,7,2.18,5,515597,2.062,,0.014,0.0117
STI-only,7,3.13,7,515597,2.062,,0.046,0.0383
Naive fusion,7,2.37,5,515597,2.062,,0.02,0.0167
Adaptive fusion,7,3.12,6,526862,2.107,,0.029,0.024
Sequential (GRU),7,5.85,5,492877,1.972,,0.047,0.039
Conversation-aware,7,1.57,7,476173,1.905,,0.017,0.0138
AIPA w/o relationship,7,4.21,5,547222,2.189,,0.03,0.0252
AIPA w/o counterfactual,7,5.59,7,547222,2.189,,0.044,0.0363
AIPA w/o clarification,7,6.17,7,547542,2.19,,0.058,0.0481
AIPA w/o persistence,7,4.48,6,547542,2.19,,0.046,0.0379
AIPA (rule policy),7,6.22,8,535378,2.142,,0.051,0.0423
AIPA (full),7,4.5,6,547542,2.19,,0.059,0.0493
