split,seed,k,n_shifts,n_seekers_shifted,n_multi_session,n_seekers_multi_session,n_affected,hit10_multi_without,hit10_multi_with,hit10_affected_without,hit10_affected_with,n_rank_changed
valid,42,1,173,128,2929,148,1319,0.1590986684875384,0.15705018777739843,0.16603487490523122,0.16376042456406367,1167
valid,42,2,9,8,2929,148,100,0.1590986684875384,0.15875725503584842,0.19,0.18,91
valid,42,3,1,1,2929,148,3,0.1590986684875384,0.1590986684875384,0.3333333333333333,0.3333333333333333,3
test,42,1,195,90,4261,51,4258,0.12133302041774231,0.11804740671203942,0.12235791451385628,0.11930483795209018,3893
test,42,2,37,22,4261,51,1806,0.12133302041774231,0.12062896033794884,0.12070874861572536,0.11904761904761904,1649
test,42,3,14,9,4261,51,794,0.12133302041774231,0.12109833372447783,0.12594458438287154,0.12468513853904283,732
valid,7,1,195,142,2929,148,1439,0.1611471491976784,0.15841584158415842,0.1674774148714385,0.16191799861014594,1302
valid,7,2,13,13,2929,148,156,0.1611471491976784,0.1608057357459884,0.14743589743589744,0.14102564102564102,139
valid,7,3,0,0,2929,148,0,0.1611471491976784,0.1611471491976784,,,0
test,7,1,196,90,4261,51,4251,0.11570053977939451,0.11476179300633654,0.11409080216419666,0.11314984709480122,3936
test,7,2,43,25,4261,51,2021,0.11570053977939451,0.11476179300633654,0.11380504700643246,0.11182582879762494,1892
test,7,3,16,12,4261,51,1003,0.11570053977939451,0.11570053977939451,0.1226321036889332,0.1226321036889332,935
valid,123,1,144,114,2929,148,1082,0.15534312051894844,0.15807442813246841,0.17005545286506468,0.17929759704251386,955
valid,123,2,2,2,2929,148,40,0.15534312051894844,0.15534312051894844,0.175,0.175,33
valid,123,3,0,0,2929,148,0,0.15534312051894844,0.15534312051894844,,,0
test,123,1,160,90,4261,51,4259,0.1100680591410467,0.11194555268716264,0.11082413712139,0.11270251232683728,3894
test,123,2,21,17,4261,51,1126,0.1100680591410467,0.11147617930063365,0.1127886323268206,0.11811722912966252,1028
test,123,3,5,4,4261,51,249,0.1100680591410467,0.11053743252757568,0.12048192771084337,0.1285140562248996,228
valid,2024,1,169,128,2929,148,1336,0.15705018777739843,0.15534312051894844,0.16991017964071856,0.16691616766467066,1188
valid,2024,2,6,6,2929,148,62,0.15705018777739843,0.15670877432570843,0.1774193548387097,0.16129032258064516,53
valid,2024,3,0,0,2929,148,0,0.15705018777739843,0.15705018777739843,,,0
test,2024,1,184,90,4261,51,4258,0.11382304623327857,0.11523116639286553,0.1143729450446219,0.11531235321747299,3911
test,2024,2,31,18,4261,51,1743,0.11382304623327857,0.11546585308613001,0.11015490533562823,0.11417096959265634,1618
test,2024,3,10,7,4261,51,677,0.11382304623327857,0.11429241961980756,0.103397341211226,0.10635155096011817,628
valid,31337,1,158,118,2929,148,1280,0.15090474564697848,0.15090474564697848,0.1625,0.16328125,1098
valid,31337,2,6,6,2929,148,90,0.15090474564697848,0.1505633321952885,0.17777777777777778,0.16666666666666666,71
valid,31337,3,0,0,2929,148,0,0.15090474564697848,0.15090474564697848,,,0
test,31337,1,179,90,4261,51,4251,0.1187514667918329,0.11757803332551045,0.11785462244177841,0.1166784286050341,3753
test,31337,2,30,19,4261,51,1605,0.1187514667918329,0.11898615348509739,0.11713395638629283,0.11775700934579439,1456
test,31337,3,7,5,4261,51,332,0.1187514667918329,0.11804740671203942,0.1144578313253012,0.10542168674698796,306
