model,seed,subset,ECE,Brier
AIPA (full),7,natural,0.05650991038138265,0.06493403613567353
AIPA (full),7,synthetic,0.06476737189292908,0.015749416624506313
AIPA (full),7,all,0.04826511809611679,0.059322325699031356
AIPA (full),42,natural,0.04088424089448586,0.07198011968284845
AIPA (full),42,synthetic,0.09397874593734742,0.018426392537852127
AIPA (full),42,all,0.04202603921914061,0.06578492224216462
AIPA (rule policy),7,natural,0.08192596509153353,0.07562214247882366
AIPA (rule policy),7,synthetic,0.05220970749855042,0.016132988113289077
AIPA (rule policy),7,all,0.07301967215419014,0.06893169153481722
AIPA (rule policy),42,natural,0.061054723121108226,0.06569647416472435
AIPA (rule policy),42,synthetic,0.046553445339202866,0.026849740805725258
AIPA (rule policy),42,all,0.05063682110258029,0.0607927743345499
AIPA w/o clarification,7,natural,0.05193902215917794,0.0650866985321045
AIPA w/o clarification,7,synthetic,0.060723788022995,0.014428708081444105
AIPA w/o clarification,7,all,0.042322592013290854,0.05936170481145382
AIPA w/o clarification,42,natural,0.030726612278345895,0.07181107122451066
AIPA w/o clarification,42,synthetic,0.09788652896881105,0.01826258252064387
AIPA w/o clarification,42,all,0.03327075408123893,0.06562274489551782
AIPA w/o counterfactual,7,natural,0.05667114440445119,0.0658478144556284
AIPA w/o counterfactual,7,synthetic,0.05273412322998047,0.013887708851446709
AIPA w/o counterfactual,7,all,0.0458862694002031,0.06003486905246973
AIPA w/o counterfactual,42,natural,0.042621200629263535,0.06687707416713237
AIPA w/o counterfactual,42,synthetic,0.049148308277130126,0.018012024462223053
AIPA w/o counterfactual,42,all,0.03639181699609992,0.06132785677909851
AIPA w/o persistence,7,natural,0.05092898866260286,0.06574980020523072
AIPA w/o persistence,7,synthetic,0.06476737189292908,0.015749416624506313
AIPA w/o persistence,7,all,0.04055675088169175,0.06005325745791197
AIPA w/o persistence,42,natural,0.04394205430645354,0.07222512904554605
AIPA w/o persistence,42,synthetic,0.09397874593734742,0.018426392537852127
AIPA w/o persistence,42,all,0.045600481616478776,0.06600445993244648
AIPA w/o relationship,7,natural,0.05154184046562001,0.06539334561675787
AIPA w/o relationship,7,synthetic,0.05419713497161864,0.013251506568243107
AIPA w/o relationship,7,all,0.04130234892872132,0.05958159416913986
AIPA w/o relationship,42,natural,0.04147260941170716,0.06640943009406328
AIPA w/o relationship,42,synthetic,0.07026405358314514,0.01725118358929952
AIPA w/o relationship,42,all,0.034697358104432904,0.060834564827382566
