model,n,seeds,Recall@10_mean,Recall@10_std,Recall@10_ci_low,Recall@10_ci_high,Hit@10_mean,Hit@10_std,Hit@10_ci_low,Hit@10_ci_high,NDCG@10_mean,NDCG@10_std,NDCG@10_ci_low,NDCG@10_ci_high,MRR@10_mean,MRR@10_std,MRR@10_ci_low,MRR@10_ci_high,Recall@20_mean,Recall@20_std,Recall@20_ci_low,Recall@20_ci_high,Hit@20_mean,Hit@20_std,Hit@20_ci_low,Hit@20_ci_high,NDCG@20_mean,NDCG@20_std,NDCG@20_ci_low,NDCG@20_ci_high,MRR@20_mean,MRR@20_std,MRR@20_ci_low,MRR@20_ci_high
LTP-only,226,5,0.02743362831858407,0.009024813298394309,0.019469026548672566,0.036283185840707964,0.02743362831858407,0.009024813298394309,0.019469026548672566,0.036283185840707964,0.0097340081521,0.0034455474574236473,0.0067075417476225585,0.013015723653636343,0.004636887203258885,0.0018667631572350193,0.003066907220115185,0.006468552465233881,0.05486725663716815,0.0091111771159177,0.04247787610619469,0.06814159292035399,0.05486725663716815,0.0091111771159177,0.04247787610619469,0.06814159292035399,0.01661499585307529,0.002419138486685185,0.012791885444689193,0.02086340094118865,0.006495777754853346,0.0013235723203192235,0.004776294762549522,0.008450318287910586
STI-only,226,5,0.23805309734513275,0.011673368104666309,0.2150442477876106,0.2628539823008849,0.23805309734513275,0.011673368104666309,0.2150442477876106,0.2628539823008849,0.12443402778589967,0.006891972015317676,0.11096930643878045,0.13912533410409444,0.09021702486304257,0.005811813392456604,0.07875917439247083,0.10278328241326029,0.37699115044247783,0.017114229739658156,0.3495575221238938,0.4061946902654867,0.37699115044247783,0.017114229739658156,0.3495575221238938,0.4061946902654867,0.1596851579704485,0.007105483803766894,0.14689930028477227,0.17443696344176626,0.0999568478173029,0.005721065326283023,0.08867158184034246,0.11247952516056522
Naive fusion,226,5,0.23716814159292038,0.024008247727877043,0.21327433628318584,0.2628539823008849,0.23716814159292038,0.024008247727877043,0.21327433628318584,0.2628539823008849,0.12193439368155426,0.010607950937040256,0.10815473594058611,0.13762432140061628,0.08714952942829049,0.007352479338778433,0.0746929782975137,0.09982505443180222,0.3823008849557522,0.022141585846366017,0.3548672566371681,0.41061946902654867,0.3823008849557522,0.022141585846366017,0.3548672566371681,0.41061946902654867,0.1584584209197267,0.010192396908703561,0.14497771274971996,0.17283232228973977,0.09707901291198096,0.007242051736115582,0.08500386413358173,0.1094831003886757
Adaptive fusion,226,5,0.26460176991150447,0.013244804908934303,0.23893805309734514,0.2920353982300885,0.26460176991150447,0.013244804908934303,0.23893805309734514,0.2920353982300885,0.13459235809059222,0.012171056637261186,0.11975535241221016,0.1504391393118838,0.09538348082595868,0.014680611775395317,0.08305815423514538,0.10891497225733952,0.40442477876106186,0.01889748363191383,0.37610619469026546,0.4345132743362832,0.40442477876106186,0.01889748363191383,0.37610619469026546,0.4345132743362832,0.16967502731152034,0.015153380925457814,0.15525787852371625,0.18537331174993085,0.10487238333675908,0.015573971921403596,0.09260614146796045,0.11823935199259525
Sequential (GRU),226,5,0.016814159292035398,0.005870132372310443,0.009734513274336283,0.024778761061946902,0.016814159292035398,0.005870132372310443,0.009734513274336283,0.024778761061946902,0.006032323085626254,0.0022360176252632998,0.003445680565501621,0.008837483156347296,0.002883129653041157,0.0011600783526624213,0.0015882585335018965,0.004210282343025706,0.034513274336283185,0.009448741815956911,0.024778761061946902,0.04601769911504425,0.034513274336283185,0.009448741815956911,0.024778761061946902,0.04601769911504425,0.010430021698873582,0.0030742382413457806,0.0072498763330206065,0.013941531512856589,0.00404885028165803,0.0013873578105029615,0.002699914678073326,0.005559874005841703
Conversation-aware,226,5,0.22743362831858405,0.012701504508325065,0.20442477876106194,0.252212389380531,0.22743362831858405,0.012701504508325065,0.20442477876106194,0.252212389380531,0.12377006040077294,0.011285469089181521,0.10927322221639964,0.13966569373810334,0.09250561876668072,0.0109681451959927,0.07930292175867397,0.10643734197218709,0.3433628318584071,0.028484029981293936,0.3141592920353982,0.37168141592920356,0.3433628318584071,0.028484029981293936,0.3141592920353982,0.37168141592920356,0.15268693906977288,0.01517658920583517,0.13659472682730633,0.16779311643069728,0.10024216278514342,0.011960341500373077,0.08680213678059082,0.113905426995069
SASRec,226,5,0.007079646017699115,0.004512406649197154,0.002654867256637168,0.011504424778761062,0.007079646017699115,0.004512406649197154,0.002654867256637168,0.011504424778761062,0.002491763832527612,0.0016345977466916191,0.0009030164183983384,0.0041283177717561115,0.001163787048742801,0.0008146654635087258,0.00039786135693215343,0.001970238095238095,0.015929203539823005,0.009531265145370803,0.008849557522123894,0.023008849557522124,0.015929203539823005,0.009531265145370803,0.008849557522123894,0.023008849557522124,0.004709587847630916,0.0027280102652223956,0.0026362742786561815,0.006887799776992764,0.0017590823486190483,0.0010310246425941272,0.0009161636631053602,0.0026689226348583454
KBRD-style,226,5,0.25840707964601767,0.017831364318238833,0.2327433628318584,0.2831858407079646,0.25840707964601767,0.017831364318238833,0.2327433628318584,0.2831858407079646,0.14024596723591148,0.00505368044188517,0.12478540573227423,0.154716200766763,0.10406061244556822,0.0024339603646372004,0.09088644823711196,0.11770929905885656,0.384070796460177,0.011332963252093533,0.35575221238938054,0.41327433628318583,0.384070796460177,0.011332963252093533,0.35575221238938054,0.41327433628318583,0.17202871809569595,0.0039409496281085955,0.15688883163220008,0.18713692393172857,0.11279104720483253,0.0031831761274780995,0.09962409155809061,0.12602228100489182
AIPA w/o relationship,226,5,0.24336283185840707,0.014808142062550012,0.21944690265486724,0.26904867256637166,0.24336283185840707,0.014808142062550012,0.21944690265486724,0.26904867256637166,0.12776003784283635,0.011000195357149717,0.11264370249047129,0.14246334627664115,0.09282588846748138,0.010105484760193777,0.0797789454277286,0.1059915894086248,0.38141592920353984,0.009448741815956917,0.3548451327433628,0.41064159292035396,0.38141592920353984,0.009448741815956917,0.3548451327433628,0.41064159292035396,0.16237969894312393,0.007886298927130726,0.14752934367972786,0.17718016468271494,0.10217997560856269,0.00897264749853477,0.08917350728182274,0.11508849969801895
AIPA w/o counterfactual,226,5,0.2424778761061947,0.020829384594583753,0.2168141592920354,0.26904867256637166,0.2424778761061947,0.020829384594583753,0.2168141592920354,0.26904867256637166,0.12381441297935318,0.01626675160655502,0.10994367936911636,0.13903832318994225,0.08825396825396825,0.015534785019391822,0.07634939071498806,0.10127524055344853,0.35221238938053095,0.03490811136870091,0.3238938053097345,0.38141592920353984,0.35221238938053095,0.03490811136870091,0.3238938053097345,0.38141592920353984,0.1511237090517796,0.019807100030465267,0.13714030771047084,0.16625173818558422,0.09551234547254986,0.016437100282877246,0.08374847089536962,0.10843964892456374
