subset,relationship_label,n,miss_rate@10,relationship_error_rate,clarification_rate,mean_target_rank,median_target_rank,cold_seeker_share
natural,Complement,744,0.8454301075268817,0.44489247311827956,0.007526881720430108,944.2158602150538,165.0,0.0
natural,Conflict,292,0.8534246575342466,0.6383561643835617,0.0013698630136986301,988.1109589041096,144.0,0.0
natural,Consistent,2070,0.8885024154589372,0.11739130434782609,0.0008695652173913044,920.1537198067633,186.0,0.0
natural,Override,39,0.8256410256410256,0.6205128205128205,0.0,1012.3435897435897,115.0,0.0
natural,Uncertain,1327,0.9044461190655614,0.08168801808590806,0.653956292388847,1156.5549359457423,274.0,0.3044461190655614
synthetic,Complement,134,0.7417910447761193,0.06119402985074627,0.0,283.0716417910448,42.0,0.0
synthetic,Conflict,112,0.7125,0.11428571428571428,0.0,206.77678571428572,29.5,0.0
synthetic,Consistent,123,0.8780487804878049,0.0,0.0,884.9512195121952,212.0,0.0
synthetic,Override,114,0.7929824561403509,0.021052631578947368,0.0,193.33684210526314,42.0,0.0
synthetic,Uncertain,141,0.9333333333333333,0.0,1.0,1058.1205673758866,427.0,0.0
