target_genre,model,n,seeds,Hit@10_mean,Hit@10_std,NDCG@10_mean,NDCG@10_std
Action,LTP-only,327,2,0.09174311926605505,0.00611620795107034,0.056590447994599155,0.00016334876575186535
Action,STI-only,327,2,0.15749235474006118,0.0015290519877675796,0.08736039917290009,0.006842426062636582
Action,Naive fusion,327,2,0.15902140672782875,0.006116207951070346,0.08989161835292045,0.006011709128461995
Action,Adaptive fusion,327,2,0.1513761467889908,0.0015290519877675796,0.09072814156051978,0.0008458275783349775
Action,Sequential (GRU),327,2,0.09785932721712538,0.012232415902140678,0.056246107269692334,0.0006904667704333775
Action,Conversation-aware,327,2,0.12691131498470948,0.016819571865443417,0.07218471061928192,0.0053836586442768675
Action,SASRec,327,2,0.08409785932721713,0.0076452599388379255,0.05255098801383891,0.009239661541040074
Action,KBRD-style,327,2,0.16972477064220182,0.0015290519877675796,0.08790680949096369,0.0013825000861919998
Action,AIPA w/o relationship,327,2,0.1636085626911315,0.0015290519877675934,0.09250611467611831,0.002079499843185284
Action,AIPA w/o counterfactual,327,2,0.16666666666666669,0.0015290519877675796,0.09369697606478865,0.001149564621258134
Action,AIPA w/o clarification,327,2,0.14831804281345565,0.013761467889908258,0.09139674495919031,0.00884798371136649
Action,AIPA w/o persistence,327,2,0.14984709480122324,0.012232415902140664,0.09294011009959516,0.008933364733097547
Action,AIPA (rule policy),327,2,0.1330275229357798,0.0076452599388379255,0.07572455383459978,0.006631061436232273
Action,AIPA (full),327,2,0.14984709480122324,0.012232415902140664,0.09296218178326757,0.008955436416769949
Adventure,LTP-only,229,2,0.15065502183406113,0.024017467248908297,0.09087535838937838,0.010277060958070947
Adventure,STI-only,229,2,0.22052401746724892,0.010917030567685601,0.12694851615084432,0.013669322420064085
Adventure,Naive fusion,229,2,0.2096069868995633,0.017467248908296942,0.1241193922121223,0.015267171711700098
Adventure,Adaptive fusion,229,2,0.2292576419213974,0.002183406113537123,0.14275492098111742,0.004800113969534128
Adventure,Sequential (GRU),229,2,0.17685589519650655,0.010917030567685587,0.10745714634329119,0.007259070488152983
Adventure,Conversation-aware,229,2,0.20305676855895197,0.002183406113537123,0.11940371589651538,0.0017554430937979926
Adventure,SASRec,229,2,0.15283842794759825,0.0,0.09369503555451664,0.013861408938704287
Adventure,KBRD-style,229,2,0.23580786026200873,0.0,0.13292091115097665,0.007249702111447362
Adventure,AIPA w/o relationship,229,2,0.23580786026200873,0.01310043668122271,0.13900093410502795,0.0036061903055697453
Adventure,AIPA w/o counterfactual,229,2,0.2336244541484716,0.010917030567685587,0.1377744520519163,0.003421987692642278
Adventure,AIPA w/o clarification,229,2,0.21179039301310043,0.002183406113537123,0.13699816858074748,0.003349534591174236
Adventure,AIPA w/o persistence,229,2,0.21397379912663755,0.008733624454148464,0.14030542314424352,0.004105070329182836
Adventure,AIPA (rule policy),229,2,0.20305676855895197,0.010917030567685587,0.12924484053914778,0.004903114359534187
Adventure,AIPA (full),229,2,0.21397379912663755,0.008733624454148464,0.14030542314424352,0.004105070329182836
Comedy,LTP-only,391,2,0.017902813299232736,0.005115089514066497,0.0075358280238936644,0.0017826589329898953
Comedy,STI-only,391,2,0.0741687979539642,0.005115089514066501,0.03362012589025951,0.0026394302807173226
Comedy,Naive fusion,391,2,0.06649616368286446,0.0025575447570332435,0.029711528145481392,0.0015925775617525884
Comedy,Adaptive fusion,391,2,0.06265984654731457,0.0038363171355498757,0.03171592190850873,0.0030516441583203647
Comedy,Sequential (GRU),391,2,0.0370843989769821,0.0038363171355498722,0.016917997642684455,0.00030298745243394903
