model,n,seeds,Recall@10_mean,Recall@10_std,Recall@10_ci_low,Recall@10_ci_high,Hit@10_mean,Hit@10_std,Hit@10_ci_low,Hit@10_ci_high,NDCG@10_mean,NDCG@10_std,NDCG@10_ci_low,NDCG@10_ci_high,MRR@10_mean,MRR@10_std,MRR@10_ci_low,MRR@10_ci_high,Recall@20_mean,Recall@20_std,Recall@20_ci_low,Recall@20_ci_high,Hit@20_mean,Hit@20_std,Hit@20_ci_low,Hit@20_ci_high,NDCG@20_mean,NDCG@20_std,NDCG@20_ci_low,NDCG@20_ci_high,MRR@20_mean,MRR@20_std,MRR@20_ci_low,MRR@20_ci_high
LTP-only,821,2,0.06090133982947625,0.003654080389768572,0.049939098660170524,0.07190925700365408,0.06090133982947625,0.003654080389768572,0.049939098660170524,0.07190925700365408,0.03439465133994035,0.002041531548524895,0.02863831021448507,0.042435965045176084,0.02629415347137637,0.0015044080969781326,0.02149680751309862,0.03369999202482454,0.09196102314250913,0.0018270401948842913,0.07732947624847746,0.10535931790499391,0.09196102314250913,0.0018270401948842913,0.07732947624847746,0.10535931790499391,0.04223829414775046,0.001693667004177505,0.03650867435700466,0.05072611846442662,0.028443715261851226,0.0014689181536462481,0.023692450491429286,0.03584587323513897
STI-only,821,2,0.09805115712545676,0.006699147381242387,0.0846376370280146,0.11207369062119367,0.09805115712545676,0.006699147381242387,0.0846376370280146,0.11207369062119367,0.053820226018281625,0.00185842736697742,0.04505583535875155,0.06110667329024379,0.04033142895810374,0.00038111671790112475,0.03256581332289311,0.04674012890783597,0.13459196102314253,0.004263093788063346,0.11752436053593178,0.15105054811205848,0.13459196102314253,0.004263093788063346,0.11752436053593178,0.15105054811205848,0.06295180602202546,0.0012613535864637107,0.05381289277063994,0.07011945246779865,0.04278481890715706,0.00022796659359900634,0.03506912501416415,0.04933865741713589
Naive fusion,821,2,0.09744214372716199,0.0,0.08160779537149818,0.10968331303288674,0.09744214372716199,0.0,0.08160779537149818,0.10968331303288674,0.0525816249994606,0.0006816562871300932,0.04445671087605393,0.060667583841683616,0.039189045492334165,0.0006563811070510218,0.031226527608607387,0.0465259229453048,0.1364190012180268,0.0036540803897685686,0.11936662606577345,0.15347137637028013,0.1364190012180268,0.0036540803897685686,0.11936662606577345,0.15347137637028013,0.06238587255417252,0.0015315020433941985,0.053330249170534014,0.07047403809709989,0.041854661086215335,0.0008512292287317438,0.03376095146404765,0.04946413468067618
Adaptive fusion,821,2,0.09561510353227771,0.0006090133982947638,0.08220158343483557,0.10840438489646773,0.09561510353227771,0.0006090133982947638,0.08220158343483557,0.10840438489646773,0.05531896199839039,0.0015726712682420166,0.04761326066586602,0.06326799047632294,0.04309833149662626,0.001769522262823113,0.0356720414515786,0.05082921282601551,0.14068209500609014,0.0006090133982947638,0.1254415347137637,0.1571406820950061,0.14068209500609014,0.0006090133982947638,0.1254415347137637,0.1571406820950061,0.06661836767233277,0.0014999904621608856,0.05834394732507916,0.074613279771544,0.04614526005930715,0.0017123735726313934,0.03898419590408294,0.053438233383873525
Sequential (GRU),821,2,0.07247259439707673,0.004263093788063332,0.06090133982947625,0.08405907429963459,0.07247259439707673,0.004263093788063332,0.06090133982947625,0.08405907429963459,0.041627655422264834,0.0002280785703883577,0.034059178121499514,0.04954416295785723,0.03213029019971773,0.001106857684202385,0.025913169673066137,0.03931084817199311,0.1023142509135201,0.007308160779537151,0.08585566382460413,0.11755481120584653,0.1023142509135201,0.007308160779537151,0.08585566382460413,0.11755481120584653,0.04912053446649936,0.0009537243038584865,0.04106573491919452,0.057046229102327234,0.03416162201555213,0.0009280539577306325,0.02780310040152241,0.04119487220125211
Conversation-aware,821,2,0.08221680876979293,0.0018270401948842843,0.0700213154689403,0.09561510353227771,0.08221680876979293,0.0018270401948842843,0.0700213154689403,0.09561510353227771,0.04705320078692457,0.0010737792804308872,0.03971728181721476,0.05536924039272493,0.036314598921176264,0.0008192680238965251,0.030141148521934148,0.04463402403186204,0.10962241169305725,0.0036540803897685756,0.09559987819732034,0.12606577344701583,0.10962241169305725,0.0036540803897685756,0.09559987819732034,0.12606577344701583,0.05389766156930592,0.0016249170976539613,0.04620942894184184,0.06332910833313532,0.038151832280368045,0.0010196056481074772,0.03191916617192217,0.0468699044606319
SASRec,821,2,0.06272838002436054,0.0018270401948842843,0.052359926918392204,0.07490864799025579,0.06272838002436054,0.0018270401948842843,0.052359926918392204,0.07490864799025579,0.03367833207335103,0.0032083025165953877,0.027266237328267662,0.03991371280467883,0.024813912572743266,0.0047039034858766884,0.01983981980936914,0.030348962260503067,0.09013398294762484,0.007308160779537144,0.07612667478684532,0.10292326431181487,0.09013398294762484,0.007308160779537144,0.07612667478684532,0.10292326431181487,0.040571088030023614,0.0019244693100881095,0.034040363697900256,0.04693064015333023,0.026682694320797062,0.004406649232722172,0.021568185339623958,0.03201728408326128
KBRD-style,821,2,0.09439707673568819,0.006699147381242387,0.08096833130328868,0.10963763702801463,0.09439707673568819,0.006699147381242387,0.08096833130328868,0.10963763702801463,0.05080294626458061,0.0017669492595719857,0.043831044594209514,0.05832819901299208,0.03748694971289368,0.00030088161939562444,0.031785810954507665,0.044171820321713746,0.14677222898903775,0.0030450669914738188,0.12968940316686967,0.16383982947624848,0.14677222898903775,0.0030450669914738188,0.12968940316686967,0.16383982947624848,0.06404337328790222,0.0009120538052197966,0.05643169685148843,0.07212309063035874,0.041118591848677305,9.949249523901957e-05,0.03555573459074591,0.04783187017461615
AIPA w/o relationship,821,2,0.10292326431181487,0.0018270401948842843,0.09013398294762484,0.11633678440925702,0.10292326431181487,0.0018270401948842843,0.09013398294762484,0.11633678440925702,0.053521258894136295,0.004312356655307426,0.04624758520535164,0.06171510662743505,0.03879342845542602,0.005007201825106819,0.03245500671848114,0.04623324608974731,0.1425091352009744,0.002436053593179055,0.12786236297198536,0.1601857490864799,0.1425091352009744,0.002436053593179055,0.12786236297198536,0.1601857490864799,0.06348658088342435,0.004390279828732958,0.055902050005961275,0.07301043682133512,0.04150477723734211,0.004987203009347147,0.034814056874224404,0.04908026554699619
AIPA w/o counterfactual,821,2,0.10170523751522534,0.0018270401948842843,0.08950974421437272,0.11450974421437272,0.10170523751522534,0.0018270401948842843,0.08950974421437272,0.11450974421437272,0.05316249229252313,0.0037229167040266423,0.04616702071441188,0.060915729147897044,0.038653742048991746,0.004196150648647607,0.03219510662567909,0.04542658730158731,0.14372716199756394,0.0012180267965895275,0.12906516443361754,0.1589677222898904,0.14372716199756394,0.0012180267965895275,0.12906516443361754,0.1589677222898904,0.06373289992089444,0.0035624452119709486,0.05567275511749073,0.07238999347176411,0.04152625036783335,0.004148246012543499,0.03472187834390304,0.0485117070510147
