model,n,seeds,Recall@10_mean,Recall@10_std,Recall@10_ci_low,Recall@10_ci_high,Hit@10_mean,Hit@10_std,Hit@10_ci_low,Hit@10_ci_high,NDCG@10_mean,NDCG@10_std,NDCG@10_ci_low,NDCG@10_ci_high,MRR@10_mean,MRR@10_std,MRR@10_ci_low,MRR@10_ci_high,Recall@20_mean,Recall@20_std,Recall@20_ci_low,Recall@20_ci_high,Hit@20_mean,Hit@20_std,Hit@20_ci_low,Hit@20_ci_high,NDCG@20_mean,NDCG@20_std,NDCG@20_ci_low,NDCG@20_ci_high,MRR@20_mean,MRR@20_std,MRR@20_ci_low,MRR@20_ci_high
LTP-only,1077,2,0.05292479108635098,0.0018570102135561754,0.045020891364902504,0.06313834726090993,0.05292479108635098,0.0018570102135561754,0.045020891364902504,0.06313834726090993,0.029864385298776806,0.00083779858351965,0.024658719048375532,0.03651173174971066,0.02282427672399817,0.0004904128163181094,0.018026148288160824,0.02882448766414644,0.08310120705663882,0.00232126276694522,0.07334029712163417,0.09657613741875581,0.08310120705663882,0.00232126276694522,0.07334029712163417,0.09657613741875581,0.03740548426860922,0.0010402020407834535,0.03213530711603846,0.043499029207110615,0.02485010806010185,0.0005913656564867798,0.020141910149966746,0.030596325297040056
STI-only,1077,2,0.09656453110492108,0.0027855153203342614,0.08448235840297122,0.10911095636025998,0.09656453110492108,0.0027855153203342614,0.08448235840297122,0.10911095636025998,0.05232707921096791,0.0008352418801830692,0.045788328247714165,0.05950250928663468,0.0389146806974105,0.0019671780813842084,0.03262146560109652,0.04463729808698472,0.13556174558960074,0.001857010213556165,0.12115831012070567,0.14996518105849582,0.13556174558960074,0.001857010213556165,0.12115831012070567,0.14996518105849582,0.06213003971179121,0.0010949047044972737,0.05514611292595122,0.06906033135411391,0.041577371893782286,0.002052161772575372,0.03524439066333098,0.04728577317868095
Naive fusion,1077,2,0.09238625812441968,0.005106778087279482,0.07844707520891366,0.10355153203342618,0.09238625812441968,0.005106778087279482,0.07844707520891366,0.10355153203342618,0.04981674544308027,0.0032595653815632175,0.04313645435068732,0.056872500250486305,0.03706725029844807,0.00283967811822965,0.03112700991879265,0.043275255707358774,0.13231197771587744,0.00046425255338905513,0.12022980501392758,0.14579851439182917,0.13231197771587744,0.00046425255338905513,0.12022980501392758,0.14579851439182917,0.05989484741900722,0.0021476900655229073,0.053388650035593316,0.06683482097288787,0.039825232241170905,0.002565443754418976,0.03405805037437615,0.04570214434778858
Adaptive fusion,1077,2,0.09424326833797586,0.00232126276694522,0.08169684308263696,0.10633704735376044,0.09424326833797586,0.00232126276694522,0.08169684308263696,0.10633704735376044,0.053208365561837646,0.0005897808422654569,0.04627125775355575,0.06103230330318149,0.04075916346111333,0.00010758868697587423,0.0340680774785928,0.048229525909713925,0.13602599814298977,0.0013927576601671238,0.12440807799442898,0.1495009285051068,0.13602599814298977,0.0013927576601671238,0.12440807799442898,0.1495009285051068,0.06368114461220623,0.0003541667363426357,0.05594104984720946,0.07190438338520058,0.043582130743265904,4.318453134609032e-05,0.036806739193402466,0.05094245488196209
Sequential (GRU),1077,2,0.06592386258124419,0.004642525533890437,0.056638811513463325,0.07707753017641598,0.06592386258124419,0.004642525533890437,0.056638811513463325,0.07707753017641598,0.03698641953183158,0.0008170393446848973,0.031592211483988164,0.043580280145292305,0.028169629040102576,0.0024802508437605907,0.02310909658663837,0.0341687898851896,0.09424326833797586,0.0069637883008356535,0.08263695450324977,0.10584958217270195,0.09424326833797586,0.0069637883008356535,0.08263695450324977,0.10584958217270195,0.0440966520773861,0.0002417955996295018,0.03823126865269601,0.05080093500000764,0.0300961018498015,0.002326177848947066,0.02492926456449977,0.03582045615940993
Conversation-aware,1077,2,0.07753017641597029,0.0013927576601671307,0.06684076137418757,0.08824280408542248,0.07753017641597029,0.0013927576601671307,0.06684076137418757,0.08824280408542248,0.04295088493224418,0.001358716937924078,0.03552073385626676,0.050180368959653006,0.03243319921592902,0.0013113292361203246,0.025654771116122094,0.03886849033175635,0.10817084493964717,0.00046425255338904126,0.0947075208913649,0.11978876508820799,0.10817084493964717,0.00046425255338904126,0.0947075208913649,0.11978876508820799,0.05064434357169402,0.0010328297033753292,0.043639945774218196,0.0580763065634141,0.03451874344123195,0.001173041123195058,0.027776849071937174,0.041078046070749455
SASRec,1077,2,0.058031569173630455,0.00232126276694522,0.0510677808727948,0.06731662024141133,0.058031569173630455,0.00232126276694522,0.0510677808727948,0.06731662024141133,0.031300326585532466,0.0015666280456105713,0.02653422509556041,0.03720362639899087,0.02315385919146365,0.0027558547405344067,0.01898799391313319,0.028241316450752382,0.08263695450324976,0.004642525533890433,0.0728644382544104,0.09333797585886723,0.08263695450324976,0.004642525533890433,0.0728644382544104,0.09333797585886723,0.03749161460107202,0.0010473017974654136,0.03225276109295513,0.04358102205178951,0.024834885970802734,0.002649713271538602,0.020531065782837452,0.029874175077225833
KBRD-style,1077,2,0.09935004642525533,0.001857010213556172,0.08772051996285979,0.1114322191272052,0.09935004642525533,0.001857010213556172,0.08772051996285979,0.1114322191272052,0.05217150956745791,8.705390570145494e-05,0.044871893650819776,0.05848656598695423,0.037768050581421055,0.0006164242236665618,0.03184352938792354,0.043365338204300594,0.15413184772516247,0.0009285051067780964,0.1397284122562674,0.16621402042711236,0.15413184772516247,0.0009285051067780964,0.1397284122562674,0.16621402042711236,0.0660086644397884,0.00021959367064112306,0.058201056972574834,0.07200641168415768,0.04155832501097341,0.0006012090624813449,0.035323547314457734,0.0467290268457215
AIPA w/o relationship,1077,2,0.10445682451253482,0.00232126276694522,0.092838904363974,0.11656220984215414,0.10445682451253482,0.00232126276694522,0.092838904363974,0.11656220984215414,0.05423094405501693,0.001937451898163127,0.04732862596729257,0.06171157041249733,0.03917315146423782,0.001831034177830839,0.032905838712767685,0.04541152672768272,0.14531104921077065,0.0032497678737233027,0.12952646239554316,0.1583101207056639,0.14531104921077065,0.0032497678737233027,0.12952646239554316,0.1583101207056639,0.06454942006297285,0.002079129156590198,0.05710903232028566,0.07111070404357175,0.04199851955323812,0.0018193874918781584,0.03581888325379717,0.048313397683495546
AIPA w/o counterfactual,1077,2,0.10259981429897864,0.00232126276694522,0.09099350046425256,0.11559888579387187,0.10259981429897864,0.00232126276694522,0.09099350046425256,0.11559888579387187,0.05343143759610938,0.001879875598546358,0.04617373795523861,0.06055049534531402,0.038651972704897494,0.0017099969049829758,0.032732545393583,0.044238349471636386,0.14531104921077065,0.00046425255338904126,0.13133704735376045,0.15878597957288765,0.14531104921077065,0.00046425255338904126,0.13133704735376045,0.15878597957288765,0.06417024806595578,0.0014055015536276125,0.05692238417421745,0.07088389846211925,0.04156632776228834,0.0015773176048105575,0.035533926924164794,0.0469743205044909
