model,n,seeds,Recall@10_mean,Recall@10_std,Recall@10_ci_low,Recall@10_ci_high,Hit@10_mean,Hit@10_std,Hit@10_ci_low,Hit@10_ci_high,NDCG@10_mean,NDCG@10_std,NDCG@10_ci_low,NDCG@10_ci_high,MRR@10_mean,MRR@10_std,MRR@10_ci_low,MRR@10_ci_high,Recall@20_mean,Recall@20_std,Recall@20_ci_low,Recall@20_ci_high,Hit@20_mean,Hit@20_std,Hit@20_ci_low,Hit@20_ci_high,NDCG@20_mean,NDCG@20_std,NDCG@20_ci_low,NDCG@20_ci_high,MRR@20_mean,MRR@20_std,MRR@20_ci_low,MRR@20_ci_high
LTP-only,125,2,0.048,0.0,0.02,0.08,0.048,0.0,0.02,0.08,0.02555354657535419,0.0027446194222395335,0.01097712659916488,0.04538583694405633,0.018904761904761903,0.0034952380952380955,0.0069925000000000005,0.03594535714285715,0.068,0.003999999999999997,0.036,0.108,0.068,0.003999999999999997,0.036,0.108,0.03077947128428967,0.0014758990502498643,0.016097974962508615,0.0505681616866556,0.02042609057609058,0.0030072427572427566,0.008481463952713953,0.036906152597402604
STI-only,125,2,0.16399999999999998,0.011999999999999997,0.1239,0.2081,0.16399999999999998,0.011999999999999997,0.1239,0.2081,0.0782804613676355,0.011727744226318927,0.05291856903823494,0.10293308965655641,0.05235238095238095,0.011536507936507935,0.03243972222222223,0.07374563492063493,0.272,0.0,0.2199,0.32820000000000005,0.272,0.0,0.2199,0.32820000000000005,0.10567744362576073,0.008190302168715337,0.08212917811159864,0.13134794803483524,0.05991619099854395,0.010294368376721322,0.04057980145671322,0.0815775976474506
Naive fusion,125,2,0.172,0.00399999999999999,0.124,0.22010000000000002,0.172,0.00399999999999999,0.124,0.22010000000000002,0.08145290300433913,0.00478108075896988,0.054079000731664814,0.10874521306067209,0.05470793650793651,0.006876190476190477,0.033528333333333334,0.08084523809523811,0.268,0.01999999999999999,0.216,0.32,0.268,0.01999999999999999,0.216,0.32,0.10528328531522724,0.010121658151432393,0.08159622962897865,0.13084328679635585,0.06102877081638691,0.007959070581980806,0.04187543427332901,0.08573599824152456
Adaptive fusion,125,2,0.16799999999999998,0.007999999999999993,0.1239,0.2121,0.16799999999999998,0.007999999999999993,0.1239,0.2121,0.0821981566475397,0.007388195365958222,0.05625069649237122,0.1108313271921379,0.05709047619047619,0.011550793650793655,0.035560317460317466,0.08501706349206349,0.26,0.020000000000000018,0.216,0.312,0.26,0.020000000000000018,0.216,0.312,0.10568897746463948,0.01508138037072835,0.08449383047930402,0.13693223439441493,0.06365959881192079,0.013983960071576172,0.0432697012236989,0.09223072888497812
Sequential (GRU),125,2,0.04,0.008,0.0199,0.072,0.04,0.008,0.0199,0.072,0.022202668836139427,0.00836109335596308,0.010166324163530844,0.04284907202613077,0.016704761904761903,0.00843809523809524,0.006034761904761905,0.034609523809523805,0.064,0.0,0.036,0.1,0.064,0.0,0.036,0.1,0.027999346584842162,0.006366186646738497,0.016177293146474463,0.04896025683284279,0.018155684838037776,0.007902204984557926,0.007453377145730087,0.035858489190548015
Conversation-aware,125,2,0.092,0.011999999999999997,0.06,0.124,0.092,0.011999999999999997,0.06,0.124,0.04633824239701509,0.0018358673446982818,0.02766338229255838,0.06844448589819231,0.03313809523809523,0.0011063492063492046,0.01625198412698413,0.05303527777777778,0.16399999999999998,0.044,0.124,0.212,0.16399999999999998,0.044,0.124,0.212,0.06456404014177512,0.009927841855621539,0.04473862089950725,0.0867744880309552,0.03814733476018306,0.0011138135514296536,0.02163687346494235,0.057913127969811413
SASRec,125,2,0.052000000000000005,0.004,0.024,0.084,0.052000000000000005,0.004,0.024,0.084,0.02748731127682248,0.004902634741772164,0.012655961454558039,0.044679065711846114,0.0204,0.004933333333333333,0.00818027777777778,0.03734583333333334,0.08399999999999999,0.012000000000000004,0.048,0.11210000000000002,0.08399999999999999,0.012000000000000004,0.048,0.11210000000000002,0.03553048253003253,0.006946901294473553,0.019722901880093104,0.054202705297852746,0.02258046520043424,0.0055059553965126715,0.009715982726423903,0.0396259259836311
KBRD-style,125,2,0.16799999999999998,0.007999999999999993,0.1279,0.2121,0.16799999999999998,0.007999999999999993,0.1279,0.2121,0.07745988028242005,0.001615339673009239,0.05547672633576339,0.10113510534569484,0.05053174603174603,0.004411111111111109,0.032754761904761905,0.06784896825396827,0.272,0.008000000000000007,0.2199,0.33210000000000006,0.272,0.008000000000000007,0.2199,0.33210000000000006,0.10309749385864668,0.005545185591200916,0.0829426606515829,0.12591516855641213,0.05722135681655806,0.005424470215027486,0.04028264403209449,0.07468772456430739
AIPA w/o relationship,125,2,0.152,0.008000000000000007,0.11180000000000001,0.2,0.152,0.008000000000000007,0.11180000000000001,0.2,0.07812323319601958,0.003679141464031137,0.05273793210058666,0.10764184127778177,0.05576825396825397,0.002263492063492061,0.03376857142857142,0.0798618253968254,0.28,0.0,0.23190000000000002,0.34020000000000006,0.28,0.0,0.23190000000000002,0.34020000000000006,0.11035710615121891,0.0015441017862798457,0.08714485302596917,0.1398817199120939,0.06453662716712252,0.0016277664372091605,0.04402828993890526,0.08809428769115303
AIPA w/o counterfactual,125,2,0.156,0.0040000000000000036,0.11580000000000001,0.204,0.156,0.0040000000000000036,0.11580000000000001,0.204,0.07870051733644892,0.0026018237106475786,0.055355624109102004,0.1073956999846465,0.05543650793650794,0.0020174603174603206,0.0347372619047619,0.0802279761904762,0.28,0.0,0.23190000000000002,0.34020000000000006,0.28,0.0,0.23190000000000002,0.34020000000000006,0.11015762876852359,0.0015470422693736677,0.08674405727150158,0.13951479442616072,0.0641232962256182,0.0017174806445704287,0.043814550002371215,0.08788144477641383
