model,seed,seeker_id,genre,conv_id
AIPA w/o relationship,42,1008,Horror,21026
AIPA w/o relationship,42,1087,War,22841
AIPA w/o counterfactual,42,1008,Horror,21026
AIPA w/o counterfactual,42,1087,War,22841
AIPA w/o clarification,42,1087,War,22841
AIPA (rule policy),42,1035,Comedy,22801
AIPA (rule policy),42,1087,War,22841
AIPA (full),42,1008,Horror,21026
AIPA (full),42,1034,Comedy,22026
AIPA (full),42,1035,Comedy,22801
AIPA (full),42,1054,Comedy,22083
AIPA (full),42,1059,Crime,23195
AIPA (full),42,1087,War,22841
AIPA (full),42,979,Musical,21644
AIPA w/o relationship,7,1008,Horror,21026
AIPA w/o relationship,7,1011,Horror,21073
AIPA w/o relationship,7,1087,War,22841
AIPA w/o counterfactual,7,1034,Comedy,22026
AIPA w/o counterfactual,7,1087,War,22841
AIPA w/o clarification,7,1035,Comedy,22036
AIPA w/o clarification,7,1087,War,22841
AIPA w/o clarification,7,1087,Comedy,22972
AIPA w/o clarification,7,972,Comedy,22190
AIPA (rule policy),7,1008,Horror,21026
AIPA (rule policy),7,1011,Horror,21073
AIPA (rule policy),7,1034,Comedy,22026
AIPA (rule policy),7,1034,Crime,22073
AIPA (rule policy),7,1054,Crime,21974
AIPA (rule policy),7,1087,War,22841
AIPA (rule policy),7,1087,Comedy,22972
AIPA (rule policy),7,972,Comedy,22169
AIPA (full),7,1034,Comedy,22026
AIPA (full),7,1087,War,22841
