model,intensity,n,Recall@10,Hit@10,NDCG@10,MRR@10,Recall@20,Hit@20,NDCG@20,MRR@20
AIPA (full),1,27,0.3148148148148148,0.3148148148148148,0.13286583945976846,0.07913727219282775,0.46296296296296297,0.46296296296296297,0.1697285623207349,0.08898266988652265
AIPA (full),2,21,0.19047619047619047,0.19047619047619047,0.11376824417903747,0.09146825396825398,0.3333333333333333,0.3333333333333333,0.15105383848145515,0.10233619865972807
AIPA (full),3,30,0.16666666666666666,0.16666666666666666,0.0743185389824521,0.04636243386243386,0.2833333333333333,0.2833333333333333,0.10411619548901258,0.05468960741987058
AIPA (rule policy),1,27,0.25925925925925924,0.25925925925925924,0.12756492047886062,0.08803644914756026,0.5185185185185185,0.5185185185185185,0.19175382742202765,0.10496148993956013
AIPA (rule policy),2,21,0.14285714285714285,0.14285714285714285,0.09738321004718735,0.08439153439153439,0.3333333333333333,0.3333333333333333,0.14538417989677388,0.0975101826605586
AIPA (rule policy),3,30,0.15,0.15,0.06407803258366036,0.03812169312169312,0.36666666666666664,0.36666666666666664,0.1182205519923242,0.05257733007733008
AIPA w/o clarification,1,27,0.2037037037037037,0.2037037037037037,0.11322240454888123,0.08549382716049382,0.5185185185185185,0.5185185185185185,0.1919406899753177,0.10661388126773404
AIPA w/o clarification,2,21,0.21428571428571427,0.21428571428571427,0.11427559554806488,0.08435374149659863,0.30952380952380953,0.30952380952380953,0.1390505488398483,0.09152580224008795
AIPA w/o clarification,3,30,0.23333333333333334,0.23333333333333334,0.09540605511413223,0.055039682539682534,0.35,0.35,0.1250650098738979,0.06324780847807163
AIPA w/o counterfactual,1,27,0.2222222222222222,0.2222222222222222,0.10479377112302417,0.06884920634920634,0.3888888888888889,0.3888888888888889,0.1456324860809183,0.07936388493019039
AIPA w/o counterfactual,2,21,0.21428571428571427,0.21428571428571427,0.10940437206177825,0.07826908541194255,0.30952380952380953,0.30952380952380953,0.13261348616702837,0.08417971889610545
AIPA w/o counterfactual,3,30,0.25,0.25,0.11027810104837825,0.06876322751322751,0.4,0.4,0.14997945599248536,0.0805883305148011
AIPA w/o persistence,1,27,0.3148148148148148,0.3148148148148148,0.13286583945976846,0.07913727219282775,0.46296296296296297,0.46296296296296297,0.1697285623207349,0.08898266988652265
AIPA w/o persistence,2,21,0.19047619047619047,0.19047619047619047,0.11376824417903747,0.09146825396825398,0.3333333333333333,0.3333333333333333,0.15105383848145515,0.10233619865972807
AIPA w/o persistence,3,30,0.16666666666666666,0.16666666666666666,0.0743185389824521,0.04636243386243386,0.2833333333333333,0.2833333333333333,0.10411619548901258,0.05468960741987058
AIPA w/o relationship,1,27,0.24074074074074073,0.24074074074074073,0.12560211656636872,0.08986625514403292,0.4444444444444444,0.4444444444444444,0.17615999390125056,0.10325978034311367
AIPA w/o relationship,2,21,0.16666666666666666,0.16666666666666666,0.11110906597440622,0.09447278911564624,0.30952380952380953,0.30952380952380953,0.14634823808134984,0.10365625219948527
AIPA w/o relationship,3,30,0.18333333333333332,0.18333333333333332,0.07768738667595537,0.045436507936507935,0.35,0.35,0.12138561606286467,0.058242003094944275
