treatment,control,metric,n,mean_diff,t_p,wilcoxon_p,perm_p,cohen_d,cliffs_delta,n_samples,n_seeds,seed_std_diff,t_p_holm,wilcoxon_p_holm,perm_p_holm,subset
AIPA (full),AIPA (rule policy),Hit@10,22360,-0.002772808586762075,0.12853904552074236,0.4399799584600733,0.1344327836081959,-0.010164636509367901,-0.002772808586762071,4472,5,0.004900353050380056,0.7712342731244541,1.0,0.8065967016491755,natural
AIPA (full),AIPA w/o clarification,Hit@10,22360,-0.0012522361359570662,0.4181587929510275,0.7221496376499283,0.44627686156921537,-0.0054144356480699965,-0.001252236135957055,4472,5,0.002704153212492124,1.0,1.0,1.0,natural
AIPA (full),AIPA w/o counterfactual,Hit@10,22360,0.0005366726296958855,0.7701038253365288,0.8812944132231123,0.7901049475262368,0.0019543740123290753,0.0005366726296959085,4472,5,0.00459274236938828,1.0,1.0,1.0,natural
AIPA (full),AIPA w/o persistence,Hit@10,22360,0.00031305903398926656,0.5527029657134792,0.9258677813123408,0.6106946526736632,0.0039705297291046295,0.00031305903398927415,4472,5,0.0010060126904474053,1.0,1.0,1.0,natural
AIPA (full),AIPA w/o relationship,Hit@10,22360,0.00017889087656529517,0.9214166247825695,0.9602323430706889,0.9345327336331835,0.0006597259512493828,0.00017889087656529357,4472,5,0.00394321510646818,1.0,1.0,1.0,natural
AIPA (full),Adaptive fusion,Hit@10,22360,-0.0031753130590339894,0.09194479504356746,0.37868772707066156,0.0864567716141929,-0.011270446997546894,-0.003175313059033985,4472,5,0.006467653616036689,0.6436135653049723,1.0,0.6051974012993504,natural
AIPA (full),Conversation-aware,Hit@10,22360,-0.005948121645796064,0.0032993191481016145,0.10292772764031627,0.00399800099950025,-0.01965254979187907,-0.005948121645796056,4472,5,0.004989339988978739,0.026394553184812916,0.8234218211225302,0.031984007996002,natural
AIPA (full),KBRD-style,Hit@10,22360,-0.010778175313059035,1.6116505075078533e-07,0.0032084531288610377,0.0004997501249375312,-0.03504915916714957,-0.010778175313059038,4472,5,0.0023126446285953307,1.6116505075078533e-06,0.03208453128861038,0.006496751624187906,natural
AIPA (full),LTP-only,Hit@10,22360,0.062254025044722716,2.750614285506453e-178,2.132130822322663e-63,0.0004997501249375312,0.1921345212485174,0.062254025044722716,4472,5,0.005496711471533658,3.575798571158389e-177,2.771770069019462e-62,0.006496751624187906,natural
AIPA (full),Naive fusion,Hit@10,22360,-0.002728085867620751,0.13797190927995628,0.44789377034514655,0.13843078460769614,-0.009920505237539656,-0.0027280858676207442,4472,5,0.00389729694615999,0.7712342731244541,1.0,0.8065967016491755,natural
AIPA (full),SASRec,Hit@10,22360,0.038193202146690516,3.3014850391531706e-65,9.115106768313953e-25,0.0004997501249375312,0.11441738311650679,0.038193202146690516,4472,5,0.006546037375145614,3.961782046983805e-64,1.0938128121976744e-23,0.006496751624187906,natural
AIPA (full),STI-only,Hit@10,22360,-0.00872093023255814,4.580523362069058e-06,0.015768736511455255,0.0004997501249375312,-0.030657291146608954,-0.008720930232558155,4472,5,0.005907801795001299,4.122471025862152e-05,0.14191862860309729,0.006496751624187906,natural
AIPA (full),Sequential (GRU),Hit@10,22360,0.03220035778175313,3.680004097165494e-52,2.0314358106429284e-18,0.0004997501249375312,0.10189677582410805,0.03220035778175313,4472,5,0.0052422963370635425,4.048004506882043e-51,2.234579391707221e-17,0.006496751624187906,natural
AIPA (full),AIPA (rule policy),NDCG@10,22360,-0.0015233938007023623,0.10720867398922317,0.6346709762299994,0.12343828085957022,-0.010773114891348945,-0.0028078367164723478,4472,5,0.002710064875857419,0.42883469595689266,1.0,0.49375312343828087,natural
AIPA (full),AIPA w/o clarification,NDCG@10,22360,-0.0016363815499899745,0.036872473974508595,0.12122094475776478,0.04297851074462768,-0.013958817104965188,-0.0014603907917601217,4472,5,0.0011072175676652665,0.22123484384705155,0.8485466133043534,0.2578710644677661,natural
