model,n,seeds,Recall@10_mean,Recall@10_std,Recall@10_ci_low,Recall@10_ci_high,Hit@10_mean,Hit@10_std,Hit@10_ci_low,Hit@10_ci_high,NDCG@10_mean,NDCG@10_std,NDCG@10_ci_low,NDCG@10_ci_high,MRR@10_mean,MRR@10_std,MRR@10_ci_low,MRR@10_ci_high,Recall@20_mean,Recall@20_std,Recall@20_ci_low,Recall@20_ci_high,Hit@20_mean,Hit@20_std,Hit@20_ci_low,Hit@20_ci_high,NDCG@20_mean,NDCG@20_std,NDCG@20_ci_low,NDCG@20_ci_high,MRR@20_mean,MRR@20_std,MRR@20_ci_low,MRR@20_ci_high
LTP-only,165,2,0.03333333333333333,0.003030303030303029,0.012121212121212121,0.05757575757575758,0.03333333333333333,0.003030303030303029,0.012121212121212121,0.05757575757575758,0.017141016067180194,0.0019080198860891278,0.005891275539252784,0.029675564180269544,0.012205387205387205,0.0014309764309764312,0.0032786195286195288,0.02231481481481482,0.06363636363636363,0.003030303030303029,0.036287878787878786,0.09090909090909091,0.06363636363636363,0.003030303030303029,0.036287878787878786,0.09090909090909091,0.02480495641558117,0.0001798296278985468,0.013434713137303538,0.03628369963677385,0.014308867009401769,0.0008528340346522171,0.005196671520200932,0.024562406349839506
STI-only,165,2,0.09090909090909091,0.0,0.06356060606060605,0.12431818181818183,0.09090909090909091,0.0,0.06356060606060605,0.12431818181818183,0.05178375081368071,0.00015189055658355183,0.034684009842919555,0.07165269273138751,0.039436026936026936,9.25925925925955e-05,0.02496611952861953,0.05539183501683503,0.1484848484848485,0.003030303030303036,0.10909090909090909,0.18492424242424244,0.1484848484848485,0.003030303030303036,0.10909090909090909,0.18492424242424244,0.06606166456766593,0.0009086042624349422,0.04821583145943224,0.0858046733077976,0.04320942042550542,0.00010559973795267949,0.02832625857551097,0.058852073652260105
Naive fusion,165,2,0.07272727272727272,0.018181818181818184,0.04840909090909091,0.1,0.07272727272727272,0.018181818181818184,0.04840909090909091,0.1,0.0383848223615092,0.01242242832308315,0.02408913566488744,0.05516035545741207,0.028063973063973062,0.010622895622895622,0.015449074074074077,0.041643308080808086,0.12424242424242424,0.02121212121212121,0.09393939393939393,0.1606060606060606,0.12424242424242424,0.02121212121212121,0.09393939393939393,0.1606060606060606,0.05147325489094372,0.0128528073378541,0.03521829853971666,0.06754800344232105,0.03169542343022501,0.01055097396323121,0.018827710261041245,0.044868952391855586
Adaptive fusion,165,2,0.08787878787878788,0.009090909090909094,0.06053030303030303,0.12121212121212122,0.08787878787878788,0.009090909090909094,0.06053030303030303,0.12121212121212122,0.04826003000159779,0.004157276630438921,0.03101948638062344,0.06623910087341073,0.036126743626743625,0.0023148148148148112,0.02196942640692641,0.053066919191919186,0.12424242424242424,0.003030303030303022,0.08787878787878788,0.1606060606060606,0.12424242424242424,0.003030303030303022,0.08787878787878788,0.1606060606060606,0.057301612338100015,0.0011839593634294793,0.04082433513552505,0.0751773248736468,0.03852536444958342,0.0015530167651614316,0.024620107380345212,0.05525742015669542
Sequential (GRU),165,2,0.051515151515151514,0.003030303030303029,0.02727272727272727,0.07583333333333335,0.051515151515151514,0.003030303030303029,0.02727272727272727,0.07583333333333335,0.027379959407888177,0.004416450737728889,0.013098179482220834,0.041800800747315375,0.020242905242905243,0.004824434824434825,0.007923250360750362,0.03284851491101491,0.0787878787878788,0.006060606060606065,0.048484848484848485,0.10916666666666668,0.0787878787878788,0.006060606060606065,0.048484848484848485,0.10916666666666668,0.03415926097586323,0.005200144176608629,0.01784528866724537,0.04882334946563413,0.02204482651851073,0.005048674522358734,0.009455083415609732,0.034517124566466675
Conversation-aware,165,2,0.06060606060606061,0.0,0.03939393939393939,0.081969696969697,0.06060606060606061,0.0,0.03939393939393939,0.081969696969697,0.037643370252300516,0.002510344944993498,0.022471841498919058,0.05311498767470094,0.03033189033189033,0.0033621933621933615,0.016015692640692643,0.04483405483405484,0.1,0.003030303030303029,0.07265151515151515,0.12727272727272726,0.1,0.003030303030303029,0.07265151515151515,0.12727272727272726,0.04785779324309326,0.001911340573259663,0.03235668300558619,0.06280317977865706,0.03326591306713739,0.0032907566446125427,0.019155280853907015,0.04675239236402339
AIPA w/o relationship,165,2,0.1,0.003030303030303029,0.06666666666666667,0.13333333333333333,0.1,0.003030303030303029,0.06666666666666667,0.13333333333333333,0.054251228332969456,0.004755640688254025,0.033477693101166585,0.07250853220420078,0.04022486772486772,0.005301827801827804,0.02327101370851371,0.05598060966810966,0.13333333333333333,0.0,0.09992424242424243,0.16681818181818184,0.13333333333333333,0.0,0.09992424242424243,0.16681818181818184,0.06267473644635702,0.003940807243815951,0.04310997462389521,0.08121825881841646,0.042532119791478085,0.0050527136757083264,0.025837618968969234,0.05854918566282204
AIPA w/o counterfactual,165,2,0.10303030303030303,0.006060606060606058,0.0696969696969697,0.13643939393939394,0.10303030303030303,0.006060606060606058,0.0696969696969697,0.13643939393939394,0.05487479038549916,0.006030017512757224,0.036992270332431465,0.07581211654672494,0.03998316498316498,0.0057912457912457915,0.02599263468013468,0.05588068181818182,0.1393939393939394,0.006060606060606058,0.10606060606060606,0.1787878787878788,0.1393939393939394,0.006060606060606058,0.10606060606060606,0.1787878787878788,0.06413095433875922,0.006239493772319249,0.046713251011677795,0.08415010582905424,0.042556649134189245,0.005952098010921541,0.02863809238642126,0.058143756755722
AIPA w/o clarification,165,2,0.06666666666666667,0.024242424242424242,0.03939393939393939,0.09393939393939393,0.06666666666666667,0.024242424242424242,0.03939393939393939,0.09393939393939393,0.03797171217907967,0.016691533029586567,0.021806783296660404,0.053601161697503966,0.029153439153439153,0.014304954304954305,0.01475808682058682,0.041930315055315054,0.10909090909090909,0.018181818181818174,0.07272727272727272,0.14250000000000002,0.10909090909090909,0.018181818181818174,0.07272727272727272,0.14250000000000002,0.04846326353916772,0.015071012606520509,0.031978031934005294,0.06364103920413812,0.0319141796534141,0.013823118667616275,0.018561590046936936,0.045345507794969514
AIPA w/o persistence,165,2,0.08787878787878788,0.009090909090909094,0.06060606060606061,0.1212878787878788,0.08787878787878788,0.009090909090909094,0.06060606060606061,0.1212878787878788,0.04582913592133768,0.011157300866367289,0.02846834483279798,0.061000302254520085,0.03294973544973545,0.011713564213564212,0.01881165824915825,0.046142255892255894,0.13636363636363635,0.015151515151515152,0.09992424242424243,0.1788636363636364,0.13636363636363635,0.015151515151515152,0.09992424242424243,0.1788636363636364,0.058106395126194234,0.012532655574469607,0.040222786235826126,0.07458156516234478,0.03632918972491165,0.012006130629125283,0.02208175818536781,0.049268912905276546
