model,n,seeds,Recall@10_mean,Recall@10_std,Recall@10_ci_low,Recall@10_ci_high,Hit@10_mean,Hit@10_std,Hit@10_ci_low,Hit@10_ci_high,NDCG@10_mean,NDCG@10_std,NDCG@10_ci_low,NDCG@10_ci_high,MRR@10_mean,MRR@10_std,MRR@10_ci_low,MRR@10_ci_high,Recall@20_mean,Recall@20_std,Recall@20_ci_low,Recall@20_ci_high,Hit@20_mean,Hit@20_std,Hit@20_ci_low,Hit@20_ci_high,NDCG@20_mean,NDCG@20_std,NDCG@20_ci_low,NDCG@20_ci_high,MRR@20_mean,MRR@20_std,MRR@20_ci_low,MRR@20_ci_high
LTP-only,134,5,0.029850746268656712,0.01415945220970916,0.01791044776119403,0.04328358208955224,0.029850746268656712,0.01415945220970916,0.01791044776119403,0.04328358208955224,0.013093574581005957,0.005927086681804093,0.007479634632114265,0.019462667110108068,0.007989220563847429,0.003982983338875509,0.004236318407960199,0.012281301824212271,0.07462686567164178,0.018279774199874463,0.05522388059701493,0.0955223880597015,0.07462686567164178,0.018279774199874463,0.05522388059701493,0.0955223880597015,0.024206269935594667,0.006047567795264042,0.017264955528012133,0.03155900727349716,0.010932519185141522,0.0037621021031869427,0.0069942483856769815,0.015229660859609508
STI-only,134,5,0.24925373134328357,0.036741891418182585,0.21936567164179105,0.2791044776119403,0.24925373134328357,0.036741891418182585,0.21936567164179105,0.2791044776119403,0.15475300173349738,0.018234979750837637,0.13317937283673076,0.17750541970143294,0.12604477611940296,0.01285961821437009,0.10562489635157545,0.14708919687277897,0.36268656716417913,0.031520465793944595,0.32686567164179103,0.3970149253731343,0.36268656716417913,0.031520465793944595,0.32686567164179103,0.3970149253731343,0.1832513867896391,0.015952360451049467,0.16200361126783794,0.20516639419521618,0.13377118226258747,0.012052027327864354,0.11355446240693572,0.1545704651363326
Naive fusion,134,5,0.2388059701492537,0.030949912467653315,0.20742537313432838,0.26865671641791045,0.2388059701492537,0.030949912467653315,0.20742537313432838,0.26865671641791045,0.14042198650728763,0.01864256765154842,0.1198054381008669,0.1622476367235623,0.11035477375029615,0.016634360547963908,0.09141785122009002,0.13098637763563137,0.3611940298507462,0.03357379665433431,0.3253731343283582,0.3940671641791045,0.3611940298507462,0.03357379665433431,0.3253731343283582,0.3940671641791045,0.17106291966115608,0.018174612450105723,0.1505163734530416,0.19155023210112618,0.11860864143429643,0.016362413231387336,0.09994938198988526,0.13883073663740567
Adaptive fusion,134,5,0.2253731343283582,0.030733224301453723,0.1925373134328358,0.25223880597014925,0.2253731343283582,0.030733224301453723,0.1925373134328358,0.25223880597014925,0.12405007913356939,0.019308932335631957,0.10389239937429114,0.1437102645686766,0.09354299928926794,0.018374988384042137,0.07597555377872542,0.11218270255863538,0.3402985074626866,0.044676506110733635,0.30593283582089553,0.373134328358209,0.3402985074626866,0.044676506110733635,0.30593283582089553,0.373134328358209,0.15310774583506725,0.023814779219954334,0.13328875827831993,0.1723192002151823,0.10151453276557247,0.019608279847531204,0.08398322999118364,0.1198739442057565
Sequential (GRU),134,5,0.017910447761194027,0.007610476885959379,0.008955223880597015,0.028358208955223882,0.017910447761194027,0.007610476885959379,0.008955223880597015,0.028358208955223882,0.0070414039502699945,0.002641656340402646,0.003379465527465416,0.01090839654881547,0.00378879412461502,0.00167129280156188,0.0016864339019189766,0.006012274934849562,0.043283582089552235,0.0055845632638417035,0.026865671641791045,0.05970149253731343,0.043283582089552235,0.0055845632638417035,0.026865671641791045,0.05970149253731343,0.013411219110005045,0.001994250946356787,0.008444154010358921,0.01833265636071323,0.00551258357777234,0.0015834453993690861,0.0031510515780434566,0.007930616558716866
Conversation-aware,134,5,0.17910447761194032,0.0380523844297969,0.15223880597014924,0.20597014925373133,0.17910447761194032,0.0380523844297969,0.15223880597014924,0.20597014925373133,0.10126078947769919,0.013297409181934283,0.08356705236276618,0.11997852814997706,0.07791222459132907,0.010413049399998861,0.06205665126747216,0.09510658019426677,0.2656716417910448,0.05475801888908699,0.23283582089552238,0.29701492537313434,0.2656716417910448,0.05475801888908699,0.23283582089552238,0.29701492537313434,0.12296120525017666,0.018238412037312347,0.10501394162163968,0.14159271894055508,0.08376558011914512,0.011651428162522586,0.06802957665511815,0.10060554040780521
SASRec,134,5,0.019402985074626865,0.008955223880597015,0.010447761194029851,0.03134328358208955,0.019402985074626865,0.008955223880597015,0.010447761194029851,0.03134328358208955,0.008279922064658324,0.004447452467551909,0.003923427728670309,0.013435633985375443,0.004995261786306562,0.0034154633749317806,0.001931207059938403,0.009119195688225537,0.04029850746268657,0.013841221635068214,0.026865671641791045,0.056716417910447764,0.04029850746268657,0.013841221635068214,0.026865671641791045,0.056716417910447764,0.013682252395736815,0.005515953139116216,0.008397252107934097,0.019741851592561522,0.006541366244822646,0.0035964783161486023,0.003229488892882452,0.010747024981215866
KBRD-style,134,5,0.29402985074626864,0.019800745017047164,0.26119402985074625,0.32985074626865674,0.29402985074626864,0.019800745017047164,0.26119402985074625,0.32985074626865674,0.17688988339163958,0.018140980388816782,0.15461738295021904,0.20143989257638556,0.1414321250888415,0.020325088678111884,0.12087418561952143,0.16457382729211084,0.4208955223880597,0.03357379665433429,0.3850373134328358,0.45671641791044776,0.4208955223880597,0.03357379665433429,0.3850373134328358,0.45671641791044776,0.20863783395907518,0.019766913998172098,0.1864901182326763,0.23241707075478565,0.1499762546201597,0.02075258358010622,0.12962830875931877,0.1724771022098534
AIPA w/o relationship,134,5,0.2671641791044776,0.020245761143657504,0.23432835820895523,0.29850746268656714,0.2671641791044776,0.020245761143657504,0.23432835820895523,0.29850746268656714,0.14911341716947057,0.010545633416184181,0.12785392057812922,0.1693281979424978,0.11319414830608861,0.010583425126395618,0.09466141021085052,0.13194644337834632,0.3746268656716418,0.021833938564668337,0.3402985074626866,0.408955223880597,0.3746268656716418,0.021833938564668337,0.3402985074626866,0.408955223880597,0.1760588529047412,0.012208636740950433,0.15547326548445436,0.19640203326112937,0.12047653700852493,0.01121399058337396,0.10148320583092545,0.1391391101979568
AIPA w/o counterfactual,134,5,0.27164179104477615,0.022437755788616277,0.23880597014925373,0.30597014925373134,0.27164179104477615,0.022437755788616277,0.23880597014925373,0.30597014925373134,0.15216877894104738,0.01096656087107774,0.13160452634142633,0.1734219555472406,0.11572435441838427,0.00838045164137196,0.09701160862354892,0.13460884565268894,0.37910447761194027,0.023787130523148087,0.3432462686567164,0.4134328358208955,0.37910447761194027,0.023787130523148087,0.3432462686567164,0.4134328358208955,0.17912724326036528,0.009927504210264601,0.15820818362387273,0.19962843087261506,0.12301787556743426,0.007808894091897524,0.1041459278962557,0.14133809666291125
AIPA w/o clarification,134,5,0.25970149253731345,0.035130156107283046,0.22835820895522388,0.29402985074626864,0.25970149253731345,0.035130156107283046,0.22835820895522388,0.29402985074626864,0.14304381771277444,0.015005211091996904,0.12321299746153107,0.1639462109597827,0.10728678038379531,0.0091872950164116,0.0890347518360578,0.12666164712153521,0.3776119402985075,0.026948462813832515,0.3402985074626866,0.4134701492537313,0.3776119402985075,0.026948462813832515,0.3402985074626866,0.4134701492537313,0.17266012535060674,0.011668023298239924,0.1534282187098216,0.1939657575702207,0.11531410283466566,0.008193481748239029,0.09776610566005985,0.13491309783803346
AIPA w/o persistence,134,5,0.25820895522388054,0.0367418914181826,0.2253731343283582,0.291044776119403,0.25820895522388054,0.0367418914181826,0.2253731343283582,0.291044776119403,0.14180289917815897,0.023862736512536186,0.12163615369991938,0.1613444584161253,0.10627339493011134,0.019716570469344528,0.08805214996446338,0.12421544065387348,0.3567164179104477,0.036983616995116014,0.3194029850746269,0.3925746268656716,0.3567164179104477,0.036983616995116014,0.3194029850746269,0.3925746268656716,0.1664932413481541,0.021975231634161072,0.14657080950999746,0.1865493332281501,0.11293651630344712,0.019100548995689384,0.09497643041275787,0.13085089685208381
