model,n,seeds,Recall@10_mean,Recall@10_std,Recall@10_ci_low,Recall@10_ci_high,Hit@10_mean,Hit@10_std,Hit@10_ci_low,Hit@10_ci_high,NDCG@10_mean,NDCG@10_std,NDCG@10_ci_low,NDCG@10_ci_high,MRR@10_mean,MRR@10_std,MRR@10_ci_low,MRR@10_ci_high,Recall@20_mean,Recall@20_std,Recall@20_ci_low,Recall@20_ci_high,Hit@20_mean,Hit@20_std,Hit@20_ci_low,Hit@20_ci_high,NDCG@20_mean,NDCG@20_std,NDCG@20_ci_low,NDCG@20_ci_high,MRR@20_mean,MRR@20_std,MRR@20_ci_low,MRR@20_ci_high
LTP-only,48,2,0.010416666666666666,0.010416666666666666,0.0,0.03151041666666673,0.010416666666666666,0.010416666666666666,0.0,0.03151041666666673,0.010416666666666666,0.010416666666666666,0.0,0.03151041666666673,0.010416666666666666,0.010416666666666666,0.0,0.03151041666666673,0.010416666666666666,0.010416666666666666,0.0,0.03151041666666673,0.010416666666666666,0.010416666666666666,0.0,0.03151041666666673,0.010416666666666666,0.010416666666666666,0.0,0.03151041666666673,0.010416666666666666,0.010416666666666666,0.0,0.03151041666666673
STI-only,48,2,0.10416666666666666,0.020833333333333336,0.052083333333333336,0.16666666666666666,0.10416666666666666,0.020833333333333336,0.052083333333333336,0.16666666666666666,0.0425986619666289,0.002527242064228854,0.02010520744416169,0.07463056589021547,0.025157076719576718,0.0030505952380952394,0.008372189153439154,0.04996217757936508,0.1875,0.020833333333333343,0.11458333333333333,0.2604166666666667,0.1875,0.020833333333333343,0.11458333333333333,0.2604166666666667,0.06282398227400919,0.0027423172890186746,0.03873016488132241,0.09395463888045615,0.030272773483396548,0.0028610465650906833,0.013590692193361262,0.05595925206996342
Naive fusion,48,2,0.05208333333333333,0.010416666666666668,0.020833333333333332,0.10416666666666667,0.05208333333333333,0.010416666666666668,0.020833333333333332,0.10416666666666667,0.029819128201133666,1.3366574604642412e-05,0.009687363477045383,0.06043975392416735,0.022858796296296297,0.0031828703703703706,0.004911747685185186,0.05007957175925926,0.10416666666666667,0.0,0.052083333333333336,0.15651041666666674,0.10416666666666667,0.0,0.052083333333333336,0.15651041666666674,0.04284538288872905,0.0028084617261546693,0.020806656071897925,0.07117639252778848,0.026347253645047763,0.004056948634154518,0.00845707380174292,0.052550289613708744
Adaptive fusion,48,2,0.03125,0.010416666666666666,0.0,0.07317708333333339,0.03125,0.010416666666666666,0.0,0.07317708333333339,0.010788031430766705,0.004215846497730689,0.0,0.025483233921313637,0.004873511904761905,0.002269345238095238,0.0,0.011656436011904765,0.09375,0.010416666666666671,0.041666666666666664,0.14583333333333334,0.09375,0.010416666666666671,0.041666666666666664,0.14583333333333334,0.026928434659835805,0.0010862618474359147,0.0124577182248842,0.041758904499286244,0.009480782527657527,0.0007870746151996157,0.004670251623376623,0.016465482578763832
Sequential (GRU),48,2,0.03125,0.03125,0.0,0.07317708333333339,0.03125,0.03125,0.0,0.07317708333333339,0.018613372345639742,0.018613372345639742,0.0,0.052836927394503505,0.014756944444444446,0.014756944444444446,0.0,0.046875,0.0625,0.04166666666666667,0.020833333333333332,0.11458333333333333,0.0625,0.04166666666666667,0.020833333333333332,0.11458333333333333,0.026484695968493475,0.021276362635160143,0.007086581051120407,0.06067177605166967,0.016898148148148148,0.015509259259259257,0.0028703703703703703,0.049327256944444446
Conversation-aware,48,2,0.0625,0.020833333333333332,0.020833333333333332,0.11458333333333333,0.0625,0.020833333333333332,0.020833333333333332,0.11458333333333333,0.032830220141945,0.013414392032873356,0.007595699309721108,0.06230911471595576,0.023900462962962964,0.011168981481481481,0.00449508101851852,0.050363136574074076,0.125,0.0625,0.0625,0.19791666666666666,0.125,0.0625,0.0625,0.19791666666666666,0.049020092941239636,0.02413239951889313,0.023245466534619397,0.07962588651822582,0.02854357204686152,0.014209526462815937,0.009271892976662713,0.05348964738356187
AIPA w/o relationship,48,2,0.08333333333333333,0.04166666666666667,0.03125,0.15625,0.08333333333333333,0.04166666666666667,0.03125,0.15625,0.04043529119810919,0.027219388510665136,0.015283853655384975,0.0803522840036049,0.02767443783068783,0.02238343253968254,0.0074198082010582,0.059943369708994707,0.11458333333333334,0.03125000000000001,0.052083333333333336,0.17708333333333334,0.11458333333333334,0.03125000000000001,0.052083333333333336,0.17708333333333334,0.048527492747852966,0.023870317142107883,0.022056388037104625,0.08621850106937509,0.030010296416546418,0.02108924062049062,0.009927117153679653,0.06288810726310727
AIPA w/o counterfactual,48,2,0.09375,0.03125,0.041406250000000006,0.15625,0.09375,0.03125,0.041406250000000006,0.15625,0.0522903488550087,0.015063604163729219,0.018757045202103303,0.0916212388207035,0.039641203703703706,0.010127314814814813,0.013266782407407406,0.0775462962962963,0.125,0.020833333333333336,0.0625,0.1875,0.125,0.020833333333333336,0.0625,0.1875,0.06004063789872695,0.012133694560839275,0.029517295742107895,0.09915976424113795,0.041685175813465286,0.009179833933123407,0.016204998172514622,0.07841870970160444
AIPA w/o clarification,48,2,0.07291666666666666,0.010416666666666664,0.03125,0.11458333333333333,0.07291666666666666,0.010416666666666664,0.03125,0.11458333333333333,0.038900442757090856,0.004623942477384395,0.016385689114768044,0.07353466657963338,0.029079861111111112,0.0026909722222222213,0.007269965277777777,0.06461588541666667,0.11458333333333333,0.05208333333333333,0.052083333333333336,0.16666666666666666,0.11458333333333333,0.05208333333333333,0.052083333333333336,0.16666666666666666,0.048728687241914495,0.014452186962208038,0.01981671046166927,0.08404911444046072,0.03141272682318541,0.005023837934296524,0.008954486879729962,0.06538313701302892
AIPA w/o persistence,48,2,0.05208333333333333,0.010416666666666668,0.010416666666666666,0.10416666666666667,0.05208333333333333,0.010416666666666668,0.010416666666666666,0.10416666666666667,0.03326895058727452,0.006980210855130455,0.006572184933036016,0.0680235989787959,0.027199074074074077,0.006365740740740743,0.005208333333333333,0.0625,0.14583333333333334,0.041666666666666664,0.08333333333333333,0.1981770833333334,0.14583333333333334,0.041666666666666664,0.08333333333333333,0.1981770833333334,0.05697380700893627,0.014669329522224259,0.02678862975209507,0.09096684363295304,0.033713281714200835,0.008371629901960786,0.010837917316547832,0.06826592943837889
