model,n,seeds,Recall@10_mean,Recall@10_std,Recall@10_ci_low,Recall@10_ci_high,Hit@10_mean,Hit@10_std,Hit@10_ci_low,Hit@10_ci_high,NDCG@10_mean,NDCG@10_std,NDCG@10_ci_low,NDCG@10_ci_high,MRR@10_mean,MRR@10_std,MRR@10_ci_low,MRR@10_ci_high,Recall@20_mean,Recall@20_std,Recall@20_ci_low,Recall@20_ci_high,Hit@20_mean,Hit@20_std,Hit@20_ci_low,Hit@20_ci_high,NDCG@20_mean,NDCG@20_std,NDCG@20_ci_low,NDCG@20_ci_high,MRR@20_mean,MRR@20_std,MRR@20_ci_low,MRR@20_ci_high
LTP-only,39,2,0.038461538461538464,0.01282051282051282,0.0,0.07692307692307693,0.038461538461538464,0.01282051282051282,0.0,0.07692307692307693,0.014525567206329018,0.003482578537780478,0.0,0.02963585811906922,0.007371794871794872,0.0009615384615384616,0.0,0.015408653846153851,0.038461538461538464,0.01282051282051282,0.0,0.07692307692307693,0.038461538461538464,0.01282051282051282,0.0,0.07692307692307693,0.014525567206329018,0.003482578537780478,0.0,0.02963585811906922,0.007371794871794872,0.0009615384615384616,0.0,0.015408653846153851
STI-only,39,2,0.16666666666666666,0.038461538461538464,0.08974358974358974,0.2564102564102564,0.16666666666666666,0.038461538461538464,0.08974358974358974,0.2564102564102564,0.08093163138448015,0.02511578541185157,0.04469638982655735,0.1258578718898314,0.054380341880341874,0.02126068376068376,0.028178418803418807,0.08867254273504277,0.3076923076923077,0.051282051282051294,0.21794871794871795,0.4105769230769231,0.3076923076923077,0.051282051282051294,0.21794871794871795,0.4105769230769231,0.11590054494293411,0.02870938870812456,0.07922249727893554,0.16224616719396823,0.06363419344188576,0.022416792609100296,0.03743875693394924,0.09875668313168313
Naive fusion,39,2,0.1923076923076923,0.012820512820512817,0.11538461538461539,0.28205128205128205,0.1923076923076923,0.012820512820512817,0.11538461538461539,0.28205128205128205,0.08782606623031874,0.005784273350509274,0.05117500595009867,0.13478692808072765,0.05781440781440782,0.0034391534391534397,0.026251271876271874,0.09503523097273099,0.2948717948717949,0.0641025641025641,0.20512820512820512,0.41025641025641024,0.2948717948717949,0.0641025641025641,0.20512820512820512,0.41025641025641024,0.11289830698867151,0.012553363945351358,0.07549429558656606,0.15961881549646842,0.06425362386900849,0.0010276760276760194,0.03271480033499265,0.10103083615102847
Adaptive fusion,39,2,0.16666666666666669,0.012820512820512817,0.08974358974358974,0.2564102564102564,0.16666666666666669,0.012820512820512817,0.08974358974358974,0.2564102564102564,0.08374561521716373,0.008655200504097536,0.041309686596315905,0.13578641795067992,0.06010887260887261,0.014321326821326825,0.02237230362230362,0.1093266687016687,0.3205128205128205,0.038461538461538464,0.21794871794871795,0.4230769230769231,0.3205128205128205,0.038461538461538464,0.21794871794871795,0.4230769230769231,0.12243174542551347,0.02238131173616778,0.07507251925094559,0.17750544795228285,0.07060128052775111,0.01848248429130782,0.03401898924876866,0.12303645258608494
Sequential (GRU),39,2,0.038461538461538464,0.01282051282051282,0.0,0.07692307692307693,0.038461538461538464,0.01282051282051282,0.0,0.07692307692307693,0.019065858213839482,0.0028881722248277515,0.0,0.039856390451957914,0.01282051282051282,0.0,0.0,0.027777777777777776,0.038461538461538464,0.01282051282051282,0.0,0.07692307692307693,0.038461538461538464,0.01282051282051282,0.0,0.07692307692307693,0.019065858213839482,0.0028881722248277515,0.0,0.039856390451957914,0.01282051282051282,0.0,0.0,0.027777777777777776
Conversation-aware,39,2,0.0641025641025641,0.03846153846153846,0.025320512820512828,0.11538461538461539,0.0641025641025641,0.03846153846153846,0.025320512820512828,0.11538461538461539,0.023840447010157355,0.013921144260553723,0.007866442315877785,0.04308015189829895,0.012001424501424501,0.006873219373219374,0.0037215099715099714,0.02256499287749289,0.21794871794871795,0.01282051282051283,0.1282051282051282,0.3076923076923077,0.21794871794871795,0.01282051282051283,0.1282051282051282,0.3076923076923077,0.06224239940107951,0.007999394542185345,0.036608951350787435,0.08753872329107378,0.02228189860513033,0.005532093873067915,0.01209314119865739,0.03397326740607879
SASRec,39,2,0.038461538461538464,0.01282051282051282,0.0,0.07724358974358982,0.038461538461538464,0.01282051282051282,0.0,0.07724358974358982,0.015992623410527786,0.008273905572989808,0.0,0.03602966831830851,0.009437321937321937,0.006588319088319088,0.0,0.022467058404558413,0.0641025641025641,0.012820512820512824,0.02564102564102564,0.11570512820512828,0.0641025641025641,0.012820512820512824,0.02564102564102564,0.11570512820512828,0.0223486553512707,0.008480899909421656,0.00635603194074291,0.04182747548178514,0.011107220666044195,0.0067499221910986605,0.0016698987287222578,0.024620270116593648
KBRD-style,39,2,0.15384615384615385,0.0,0.07660256410256411,0.24358974358974358,0.15384615384615385,0.0,0.07660256410256411,0.24358974358974358,0.060284260683201155,0.0011573504998816549,0.02426410342894387,0.09576199065408121,0.032885632885632884,0.0014041514041514026,0.011581323768823768,0.0542074938949939,0.3205128205128205,0.012820512820512803,0.23044871794871796,0.42339743589743595,0.3205128205128205,0.012820512820512803,0.23044871794871796,0.42339743589743595,0.10164986956751168,0.004760627990782425,0.06887622626425823,0.1405951946191558,0.04383983518003522,0.0025994066926431775,0.02501731041807548,0.06582984707087916
AIPA w/o relationship,39,2,0.16666666666666669,0.012820512820512817,0.08974358974358974,0.2692307692307692,0.16666666666666669,0.012820512820512817,0.08974358974358974,0.2692307692307692,0.07093511902947348,0.0025612531083180623,0.03473329216546226,0.11428552197096502,0.04255189255189255,0.0014957264957264937,0.01796512515262515,0.07785027472527473,0.34615384615384615,0.038461538461538464,0.24358974358974358,0.46153846153846156,0.34615384615384615,0.038461538461538464,0.24358974358974358,0.46153846153846156,0.11623898215039927,0.009235568415279116,0.08016051429188391,0.16466124686275058,0.05492759789318494,0.0004609949954079498,0.03049294394689132,0.0935293473255265
AIPA w/o counterfactual,39,2,0.16666666666666669,0.012820512820512817,0.08974358974358974,0.2692307692307692,0.16666666666666669,0.012820512820512817,0.08974358974358974,0.2692307692307692,0.07133252614531731,0.0010401600735293337,0.03531817573893385,0.11391143015910529,0.042923280423280426,0.0031491656491656472,0.017946555759055755,0.07762248168498169,0.34615384615384615,0.038461538461538464,0.24358974358974358,0.46153846153846156,0.34615384615384615,0.038461538461538464,0.24358974358974358,0.46153846153846156,0.11715037108705811,0.008333703102139545,0.08093759057350108,0.16495290386644973,0.055720880360675545,0.0006950657194762962,0.03131147402164311,0.09126401338951945
