model,n,seeds,Recall@10_mean,Recall@10_std,Recall@10_ci_low,Recall@10_ci_high,Hit@10_mean,Hit@10_std,Hit@10_ci_low,Hit@10_ci_high,NDCG@10_mean,NDCG@10_std,NDCG@10_ci_low,NDCG@10_ci_high,MRR@10_mean,MRR@10_std,MRR@10_ci_low,MRR@10_ci_high,Recall@20_mean,Recall@20_std,Recall@20_ci_low,Recall@20_ci_high,Hit@20_mean,Hit@20_std,Hit@20_ci_low,Hit@20_ci_high,NDCG@20_mean,NDCG@20_std,NDCG@20_ci_low,NDCG@20_ci_high,MRR@20_mean,MRR@20_std,MRR@20_ci_low,MRR@20_ci_high
LTP-only,514,2,0.058365758754863814,0.0038910505836575876,0.04474708171206226,0.07490272373540856,0.058365758754863814,0.0038910505836575876,0.04474708171206226,0.07490272373540856,0.030426109572673755,0.0018560249496206108,0.022465572042853602,0.03990314804908106,0.021947378173059105,0.0012437465258476905,0.015168081418689397,0.0299696301185844,0.08463035019455253,0.0029182879377431872,0.06712062256809338,0.10311284046692606,0.08463035019455253,0.0029182879377431872,0.06712062256809338,0.10311284046692606,0.037094410092709126,0.0016983823108454692,0.029225980335938703,0.04662776909452226,0.02379368246527418,0.001245379833157357,0.0170900448654677,0.032120298632167164
STI-only,514,2,0.11284046692607003,0.005836575875486381,0.09333657587548638,0.13134727626459144,0.11284046692607003,0.005836575875486381,0.09333657587548638,0.13134727626459144,0.05633112412118166,0.006107487990305187,0.04524063371091034,0.0667926731911563,0.03937179605953925,0.006210626273855848,0.02977380373355568,0.047648076091655854,0.1575875486381323,0.013618677042801564,0.1390807392996109,0.17898832684824903,0.1575875486381323,0.013618677042801564,0.1390807392996109,0.17898832684824903,0.06771152210974056,0.008115267962937503,0.05768561330245945,0.07783578340941276,0.04253287619358832,0.006780032378861146,0.03368844293529821,0.05055732829903667
Naive fusion,514,2,0.10116731517509728,0.0038910505836575876,0.08171206225680934,0.11967412451361868,0.10116731517509728,0.0038910505836575876,0.08171206225680934,0.11967412451361868,0.05262615491639801,0.0017816700392142802,0.04041976211463742,0.06356176271599685,0.03804814403063431,0.0009858872212957816,0.027681592010993763,0.04686178857081094,0.14785992217898833,0.005836575875486388,0.12935311284046694,0.1731760700389105,0.14785992217898833,0.005836575875486388,0.12935311284046694,0.1731760700389105,0.06442590998400287,0.000591323228947338,0.052814846802623334,0.07564406306816643,0.04127924108152632,0.00037839412297315314,0.030834391953028523,0.050063121768846384
Adaptive fusion,514,2,0.10603112840466926,0.0009727626459143934,0.08655155642023346,0.1254863813229572,0.10603112840466926,0.0009727626459143934,0.08655155642023346,0.1254863813229572,0.05625457850786886,0.0006244139436849885,0.0451999192868584,0.06867486312608014,0.041116592551417454,0.00037019022913964417,0.03192732459391019,0.05213368924093632,0.14591439688715951,0.001945525291828801,0.12546206225680934,0.16828793774319067,0.14591439688715951,0.001945525291828801,0.12546206225680934,0.16828793774319067,0.06631328013848273,2.4060698385335033e-05,0.05451349235313969,0.07851420280343592,0.04386635246141064,0.00028193332111638505,0.034541602989502596,0.05462664337457569
Sequential (GRU),514,2,0.06614785992217899,0.0038910505836575876,0.053477626459143966,0.08073929961089495,0.06614785992217899,0.0038910505836575876,0.053477626459143966,0.08073929961089495,0.04012406891120461,0.004521851448328295,0.030671177658732115,0.04835864324368414,0.03207183002902847,0.004761904761904762,0.02336429189055648,0.039877777391760856,0.10700389105058367,0.0019455252918287938,0.09041828793774319,0.12456225680933854,0.10700389105058367,0.0019455252918287938,0.09041828793774319,0.12456225680933854,0.050545805008559944,0.004017147120315038,0.04145761305895964,0.05994152305928096,0.034979744751265994,0.004617942897432963,0.026547033225945697,0.04301601017937181
Conversation-aware,514,2,0.08463035019455253,0.004863813229571988,0.06809338521400778,0.10119163424124514,0.08463035019455253,0.004863813229571988,0.06809338521400778,0.10119163424124514,0.04910151749599443,0.0033812152195152323,0.03839694747141215,0.05911365260347028,0.038384750787474525,0.002850348959298376,0.028300145528379964,0.0467082503396949,0.13132295719844356,0.004863813229571981,0.11276750972762646,0.15663910505836576,0.13132295719844356,0.004863813229571981,0.11276750972762646,0.15663910505836576,0.06093848453779501,0.003241091129690586,0.0507743142149013,0.07235873196240886,0.04165209704547111,0.0027357822596932486,0.03217828259936291,0.050158274725369
AIPA w/o relationship,514,2,0.10505836575875485,0.0019455252918287938,0.08657587548638132,0.12259241245136186,0.10505836575875485,0.0019455252918287938,0.08657587548638132,0.12259241245136186,0.05768193902184006,0.0007422495959870413,0.04576158110072553,0.06822682414036069,0.043377879686245444,0.00042809276758693296,0.03314717667222531,0.05298520397134211,0.15953307392996108,0.009727626459143976,0.1381079766536965,0.18193093385214007,0.15953307392996108,0.009727626459143976,0.1381079766536965,0.18193093385214007,0.07112324648956672,0.002797080563037166,0.05949450835697341,0.08289803553402493,0.046892532663996685,0.0010447976542831416,0.036521200011050005,0.056586257368025
AIPA w/o counterfactual,514,2,0.09922178988326849,0.0019455252918287938,0.08268482490272373,0.11867704280155641,0.09922178988326849,0.0019455252918287938,0.08268482490272373,0.11867704280155641,0.053271799130165554,0.0037316312413714046,0.043787538468657065,0.06216756858892905,0.03931466555493793,0.004199478105120131,0.029966754292508183,0.04740167183929343,0.16050583657587547,0.002918287937743194,0.14199902723735408,0.18385214007782102,0.16050583657587547,0.002918287937743194,0.14199902723735408,0.18385214007782102,0.06864595690467226,0.004020788724136366,0.05830297457116275,0.07961584219301202,0.04347043501794077,0.004308720651961306,0.034171392001370864,0.05140372628315585
AIPA w/o clarification,514,2,0.0943579766536965,0.0009727626459143934,0.08073929961089495,0.1109192607003891,0.0943579766536965,0.0009727626459143934,0.08073929961089495,0.1109192607003891,0.04923839245532709,0.00012861181394309765,0.03864521792099913,0.060161348127355255,0.035848619603483414,0.00013510592304366575,0.02601843809832623,0.04589152538447285,0.13813229571984437,0.0,0.12062256809338522,0.1566877431906615,0.13813229571984437,0.0,0.12062256809338522,0.1566877431906615,0.060269331584207234,0.00021644348730037732,0.04923986393806624,0.07089669109667472,0.03886209351527954,0.0002843808417392034,0.02918192340784678,0.048689527886133795
AIPA w/o persistence,514,2,0.09727626459143968,0.005836575875486381,0.08073929961089495,0.11481031128404669,0.09727626459143968,0.005836575875486381,0.08073929961089495,0.11481031128404669,0.05495047461719861,0.0031712795872676017,0.044053267660963534,0.06752665935506684,0.04206040392810821,0.0023755481440306363,0.031795268204558094,0.053335601182755855,0.15369649805447472,0.007782101167315175,0.13618677042801555,0.1780398832684825,0.15369649805447472,0.007782101167315175,0.13618677042801555,0.1780398832684825,0.06885619422620112,3.166778255394437e-05,0.0570522623083309,0.08102655525406621,0.04568837043151441,0.0016246467418224754,0.035264695405786466,0.057383816597019514
