model,n,seeds,Recall@10_mean,Recall@10_std,Recall@10_ci_low,Recall@10_ci_high,Hit@10_mean,Hit@10_std,Hit@10_ci_low,Hit@10_ci_high,NDCG@10_mean,NDCG@10_std,NDCG@10_ci_low,NDCG@10_ci_high,MRR@10_mean,MRR@10_std,MRR@10_ci_low,MRR@10_ci_high,Recall@20_mean,Recall@20_std,Recall@20_ci_low,Recall@20_ci_high,Hit@20_mean,Hit@20_std,Hit@20_ci_low,Hit@20_ci_high,NDCG@20_mean,NDCG@20_std,NDCG@20_ci_low,NDCG@20_ci_high,MRR@20_mean,MRR@20_std,MRR@20_ci_low,MRR@20_ci_high
LTP-only,47,2,0.07446808510638298,0.010638297872340427,0.031914893617021274,0.13829787234042554,0.07446808510638298,0.010638297872340427,0.031914893617021274,0.13829787234042554,0.04797075496686981,0.008963662768288253,0.016578430850512346,0.09114417406300002,0.04017223910840932,0.008763931104356634,0.009309777102330294,0.08318515704154002,0.10638297872340426,0.0,0.05319148936170213,0.1702127659574468,0.10638297872340426,0.0,0.05319148936170213,0.1702127659574468,0.05647268156344906,0.0057808851078792155,0.024745556675903186,0.09956818465482081,0.042735101777654966,0.007619508151423048,0.013959945196647325,0.0866010983697154
STI-only,47,2,0.0425531914893617,0.0,0.010638297872340425,0.08537234042553198,0.0425531914893617,0.0,0.010638297872340425,0.08537234042553198,0.02150229932161549,0.006866495004625643,0.0032024467623827787,0.05009974594857783,0.015467747382641,0.008848362039851402,0.001182033096926714,0.03846251266464037,0.07446808510638298,0.010638297872340427,0.03164893617021277,0.13829787234042554,0.07446808510638298,0.010638297872340427,0.03164893617021277,0.13829787234042554,0.02997500499889693,0.009893285260421646,0.008452426902521707,0.059430091250064855,0.01800067544748396,0.009861533265788586,0.0029445288753799388,0.04163753799392101
Naive fusion,47,2,0.0425531914893617,0.0,0.010638297872340425,0.09574468085106383,0.0425531914893617,0.0,0.010638297872340425,0.09574468085106383,0.02282204269602032,0.004604868502232615,0.0030751577267860413,0.05183555125874909,0.01702127659574468,0.006382978723404258,0.0010638297872340426,0.04576241134751773,0.07446808510638298,0.010638297872340427,0.031914893617021274,0.1276595744680851,0.07446808510638298,0.010638297872340427,0.031914893617021274,0.1276595744680851,0.030339059643834456,0.002190244460123402,0.008071311190284978,0.05958721885072356,0.018797985786326472,0.005857833988391922,0.0023950991370792437,0.04755737251974325
Adaptive fusion,47,2,0.031914893617021274,0.010638297872340425,0.0,0.07446808510638298,0.031914893617021274,0.010638297872340425,0.0,0.07446808510638298,0.024632605072188604,0.0033560093275077536,0.0,0.059903508016717635,0.022606382978723402,0.0013297872340425534,0.0,0.05585106382978723,0.05319148936170212,0.010638297872340424,0.010638297872340425,0.09574468085106383,0.05319148936170212,0.010638297872340424,0.010638297872340425,0.09574468085106383,0.03011014439714122,0.003628217969093857,0.005477539324952615,0.06465334217153103,0.024157801418439716,0.0015514184397163108,0.001551418439716312,0.05675975177304965
Sequential (GRU),47,2,0.06382978723404255,0.0,0.02127659574468085,0.11702127659574468,0.06382978723404255,0.0,0.02127659574468085,0.11702127659574468,0.039682946117255785,0.016294282682136934,0.010634876845925394,0.0819615134419255,0.03226950354609929,0.020921985815602836,0.0056737588652482265,0.07452127659574469,0.09574468085106383,0.010638297872340427,0.0425531914893617,0.1595744680851064,0.09574468085106383,0.010638297872340427,0.0425531914893617,0.1595744680851064,0.04703134410407008,0.013954584979719187,0.015474230890104902,0.08954222186784024,0.033924349881796684,0.02044917257683215,0.007269503546099291,0.0762470449172577
Conversation-aware,47,2,0.06382978723404255,0.0,0.02127659574468085,0.10638297872340426,0.06382978723404255,0.0,0.02127659574468085,0.10638297872340426,0.03768502914404858,0.011018477798885202,0.012237794544010602,0.07184750607551674,0.030243161094224924,0.014437689969604863,0.00425531914893617,0.06492021276595746,0.07446808510638298,0.010638297872340427,0.031914893617021274,0.1276595744680851,0.07446808510638298,0.010638297872340427,0.031914893617021274,0.1276595744680851,0.04055990312731794,0.008143603815615841,0.012759798932038413,0.07264243732495822,0.03112968591691996,0.013551165146909828,0.004711246200607902,0.06580673758865249
SASRec,47,2,0.05319148936170212,0.010638297872340424,0.010638297872340425,0.09574468085106383,0.05319148936170212,0.010638297872340424,0.010638297872340425,0.09574468085106383,0.043208577783455854,0.008507944728743992,0.004581665511419075,0.08577815393016994,0.0398936170212766,0.00797872340425532,0.0026595744680851063,0.08244680851063829,0.07446808510638298,0.010638297872340427,0.031914893617021274,0.12792553191489367,0.07446808510638298,0.010638297872340427,0.031914893617021274,0.12792553191489367,0.04868611710840848,0.008235736087157896,0.012353796964304754,0.09125569325512252,0.04144503546099291,0.007757092198581561,0.0046376329787234044,0.08402593085106383
KBRD-style,47,2,0.010638297872340425,0.010638297872340425,0.0,0.03218085106382985,0.010638297872340425,0.010638297872340425,0.0,0.03218085106382985,0.004581665511419075,0.004581665511419075,0.0,0.013859538172042727,0.0026595744680851063,0.0026595744680851063,0.0,0.008045212765957462,0.0425531914893617,0.021276595744680847,0.010638297872340425,0.0851063829787234,0.0425531914893617,0.021276595744680847,0.010638297872340425,0.0851063829787234,0.012604690251694603,0.007502297345989678,0.002550025295086108,0.025714034348336936,0.004843491232727779,0.003591926777158317,0.0006249130858016966,0.011801328365001711
AIPA w/o relationship,47,2,0.0425531914893617,0.0,0.010638297872340425,0.09574468085106383,0.0425531914893617,0.0,0.010638297872340425,0.09574468085106383,0.030385182841574702,0.0015297107754465716,0.00378943816072364,0.06767571857939814,0.026595744680851064,0.00177304964539007,0.0017730496453900709,0.06205673758865248,0.06382978723404255,0.0,0.02127659574468085,0.11702127659574468,0.06382978723404255,0.0,0.02127659574468085,0.11702127659574468,0.03549219832545624,0.0014313955759615998,0.00896548709994711,0.07275591019912374,0.0278516548463357,0.0016991725768321485,0.0030843676122931443,0.06331449468085107
AIPA w/o counterfactual,47,2,0.0425531914893617,0.0,0.010638297872340425,0.09574468085106383,0.0425531914893617,0.0,0.010638297872340425,0.09574468085106383,0.02964769941682357,0.0007922273506954357,0.00378943816072364,0.06620212032804446,0.02570921985815603,0.000886524822695035,0.0017730496453900709,0.060305851063829796,0.06382978723404255,0.0,0.02127659574468085,0.11702127659574468,0.06382978723404255,0.0,0.02127659574468085,0.11702127659574468,0.03485303010019007,0.000792227350695434,0.008949507894315457,0.07135679407939198,0.027039007092198582,0.0008865248226950333,0.0030917553191489363,0.06163563829787234
