model,n,seeds,Recall@10_mean,Recall@10_std,Recall@10_ci_low,Recall@10_ci_high,Hit@10_mean,Hit@10_std,Hit@10_ci_low,Hit@10_ci_high,NDCG@10_mean,NDCG@10_std,NDCG@10_ci_low,NDCG@10_ci_high,MRR@10_mean,MRR@10_std,MRR@10_ci_low,MRR@10_ci_high,Recall@20_mean,Recall@20_std,Recall@20_ci_low,Recall@20_ci_high,Hit@20_mean,Hit@20_std,Hit@20_ci_low,Hit@20_ci_high,NDCG@20_mean,NDCG@20_std,NDCG@20_ci_low,NDCG@20_ci_high,MRR@20_mean,MRR@20_std,MRR@20_ci_low,MRR@20_ci_high
LTP-only,39,5,0.010256410256410256,0.012561485860426554,0.0,0.02564102564102564,0.010256410256410256,0.012561485860426554,0.0,0.02564102564102564,0.0031001523236082905,0.0038029250984948646,0.0,0.007818073246117753,0.001153846153846154,0.0014276318879051337,0.0,0.0029487179487179484,0.03076923076923077,0.010256410256410256,0.010256410256410256,0.05641025641025641,0.03076923076923077,0.010256410256410256,0.010256410256410256,0.05641025641025641,0.008330916050847912,0.003390665544680067,0.0025930618861228615,0.01526901968459939,0.0026171976171976167,0.0014390045999114823,0.0007122507122507123,0.004853211603211604
STI-only,39,5,0.18974358974358976,0.020512820512820506,0.13846153846153847,0.24102564102564103,0.18974358974358976,0.020512820512820506,0.13846153846153847,0.24102564102564103,0.09954471227624673,0.010148206361540088,0.06960423849812214,0.13250584737185775,0.07183760683760684,0.008739196292075565,0.04531181318681319,0.1006382783882784,0.2974358974358974,0.026148818018424544,0.2358974358974359,0.358974358974359,0.2974358974358974,0.026148818018424544,0.2358974358974359,0.358974358974359,0.1271659335466949,0.011820684957717303,0.09677685643671496,0.15984571657658442,0.07962163642325586,0.009370096152424205,0.05396745288749338,0.10864143144305087
Naive fusion,39,5,0.17435897435897435,0.01918798659884072,0.12307692307692308,0.23076923076923078,0.17435897435897435,0.01918798659884072,0.12307692307692308,0.23076923076923078,0.09332458116179082,0.01711017525919515,0.06425021217564225,0.1267029805907181,0.06827431827431828,0.01819857275326885,0.04311426536426537,0.09717068579568577,0.28205128205128205,0.028088336282316214,0.2205128205128205,0.3437179487179486,0.28205128205128205,0.028088336282316214,0.2205128205128205,0.3437179487179486,0.12073613264054268,0.019059414266950955,0.09011619681599739,0.152838524177657,0.07590717977655344,0.0187470656293806,0.049928250526056546,0.10378162937787253
Adaptive fusion,39,5,0.18974358974358974,0.02614881801842454,0.13333333333333333,0.24615384615384617,0.18974358974358974,0.02614881801842454,0.13333333333333333,0.24615384615384617,0.08994561255797746,0.016796589494801922,0.06335697633080684,0.11886109506659182,0.05949735449735449,0.017623441434554306,0.037937983312983314,0.08192852055352054,0.3025641025641026,0.02990231740946308,0.2358974358974359,0.3641025641025641,0.3025641025641026,0.02990231740946308,0.2358974358974359,0.3641025641025641,0.11855764263540056,0.019952630316131946,0.08991905642924813,0.1457570363570947,0.06738671919667394,0.01862927567892225,0.04535793072981986,0.08992225807751825
Sequential (GRU),39,5,0.13333333333333333,0.01918798659884073,0.08717948717948718,0.1796153846153845,0.13333333333333333,0.01918798659884073,0.08717948717948718,0.1796153846153845,0.06349315347884457,0.011578223914957261,0.03934527047506781,0.09082600444485532,0.04246845746845747,0.012592967490425037,0.023582722832722832,0.06551505901505901,0.1948717948717949,0.020512820512820516,0.13846153846153847,0.2512820512820513,0.1948717948717949,0.020512820512820516,0.13846153846153847,0.2512820512820513,0.07898584170026082,0.013004136249543082,0.054815233859374306,0.10621174225185097,0.046676668285980036,0.0130323874091124,0.027999479246948882,0.07036823638012908
Conversation-aware,39,5,0.2,0.037684457581279654,0.14358974358974358,0.2564102564102564,0.2,0.037684457581279654,0.14358974358974358,0.2564102564102564,0.08956437188452,0.02152020806789632,0.06312807796801047,0.11648591751329292,0.05629833129833128,0.01863600487998322,0.03653734228734228,0.07771108058608057,0.30769230769230765,0.028088336282316214,0.2358974358974359,0.37435897435897436,0.30769230769230765,0.028088336282316214,0.2358974358974359,0.37435897435897436,0.11676674186053673,0.019956719205276783,0.08875044406089917,0.1450847925236871,0.06374644271167253,0.018140330953543532,0.04413505267224902,0.08503416225025537
SASRec,39,5,0.0923076923076923,0.020512820512820506,0.05641025641025641,0.13333333333333333,0.0923076923076923,0.020512820512820506,0.05641025641025641,0.13333333333333333,0.03717981095783753,0.007117051009061983,0.02141697394355552,0.05441711206477613,0.02087301587301587,0.003618732605697504,0.011020400895400897,0.03287489824989824,0.14871794871794872,0.010256410256410265,0.09743589743589744,0.2,0.14871794871794872,0.010256410256410265,0.09743589743589744,0.2,0.051175877363942,0.004312098648788299,0.03376386474985849,0.07053537671035802,0.0245679096643612,0.002921416901404186,0.014504926024246101,0.03665125635722801
KBRD-style,39,5,0.22051282051282048,0.012561485860426564,0.15897435897435896,0.28205128205128205,0.22051282051282048,0.012561485860426564,0.15897435897435896,0.28205128205128205,0.11173699773091586,0.025154470356303513,0.07850567331276707,0.14476185227857902,0.07885836385836385,0.02880295066575653,0.05104482091982092,0.1078917378917379,0.33333333333333337,0.04290564238636284,0.2717948717948718,0.4,0.33333333333333337,0.04290564238636284,0.2717948717948718,0.4,0.1401221344298549,0.024472195141000793,0.1067090328268664,0.17393476857991047,0.08657414782742241,0.028157994848272878,0.05841044945601089,0.11560213685358064
AIPA w/o relationship,39,5,0.15897435897435896,0.02990231740946308,0.1076923076923077,0.21025641025641026,0.15897435897435896,0.02990231740946308,0.1076923076923077,0.21025641025641026,0.07028252691877093,0.009742573708723515,0.047321786831689396,0.09681214739658545,0.04421855921855922,0.011510518026008556,0.02639082214082214,0.06715338827838828,0.28205128205128205,0.03972290611494787,0.2205128205128205,0.3487179487179487,0.28205128205128205,0.03972290611494787,0.2205128205128205,0.3487179487179487,0.10176937576953086,0.016257772487775216,0.07629597763958788,0.12913277905062165,0.053052263001655706,0.013812891098994997,0.03555756183387762,0.07501564890912056
AIPA w/o counterfactual,39,5,0.1692307692307692,0.030769230769230767,0.11794871794871795,0.2205128205128205,0.1692307692307692,0.030769230769230767,0.11794871794871795,0.2205128205128205,0.08254999247513223,0.010554647533064607,0.056582479451415355,0.11429347400854374,0.05692307692307692,0.006960550660873214,0.03472781847781847,0.08387856125356122,0.2923076923076923,0.03478117940064241,0.23064102564102565,0.358974358974359,0.2923076923076923,0.03478117940064241,0.23064102564102565,0.358974358974359,0.11413308428217457,0.004733099786488484,0.08631087530588405,0.1445415910189604,0.06583926201870952,0.005080639395253144,0.04366800341030812,0.09233095948940494
