model,n,seeds,Recall@10_mean,Recall@10_std,Recall@10_ci_low,Recall@10_ci_high,Hit@10_mean,Hit@10_std,Hit@10_ci_low,Hit@10_ci_high,NDCG@10_mean,NDCG@10_std,NDCG@10_ci_low,NDCG@10_ci_high,MRR@10_mean,MRR@10_std,MRR@10_ci_low,MRR@10_ci_high,Recall@20_mean,Recall@20_std,Recall@20_ci_low,Recall@20_ci_high,Hit@20_mean,Hit@20_std,Hit@20_ci_low,Hit@20_ci_high,NDCG@20_mean,NDCG@20_std,NDCG@20_ci_low,NDCG@20_ci_high,MRR@20_mean,MRR@20_std,MRR@20_ci_low,MRR@20_ci_high
LTP-only,336,2,0.05654761904761905,0.005952380952380952,0.03869047619047619,0.07738095238095238,0.05654761904761905,0.005952380952380952,0.03869047619047619,0.07738095238095238,0.03706899606508293,0.004124410273137688,0.025451538276966407,0.05370177551782485,0.031009660808767953,0.0037527163643235086,0.019772342096560848,0.04634770053854876,0.08035714285714285,0.008928571428571432,0.06097470238095238,0.1056547619047619,0.08035714285714285,0.008928571428571432,0.06097470238095238,0.1056547619047619,0.04314740052709681,0.004985718922831766,0.031379148995223774,0.058884999575644935,0.032707902412437186,0.0040473588259067605,0.021375637718154167,0.04762987781013804
STI-only,336,2,0.08482142857142858,0.0014880952380952397,0.06692708333333333,0.10863095238095238,0.08482142857142858,0.0014880952380952397,0.06692708333333333,0.10863095238095238,0.05141185437169104,0.0021423109202857796,0.03916712113506094,0.06557621046573998,0.041250354308390025,0.003329908352229783,0.029223134566326532,0.053892919146825397,0.11904761904761904,0.0029761904761904726,0.0966889880952381,0.14289434523809524,0.11904761904761904,0.0029761904761904726,0.0966889880952381,0.14289434523809524,0.06017928620317952,0.0016715843197361302,0.04699929070465993,0.0741358067934942,0.043715390618378785,0.003154579382257952,0.031969210727667646,0.056729334603900956
Naive fusion,336,2,0.07589285714285715,0.004464285714285719,0.05357142857142857,0.09527529761904763,0.07589285714285715,0.004464285714285719,0.05357142857142857,0.09527529761904763,0.04696317932556698,0.005449424708852499,0.03448754440138698,0.06016437920342139,0.03822515117157974,0.005954743008314438,0.02662586215041572,0.051271022297808014,0.11160714285714285,0.0014880952380952397,0.08928571428571429,0.1369419642857143,0.11160714285714285,0.0014880952380952397,0.08928571428571429,0.1369419642857143,0.05582747356083907,0.004579859280892461,0.043083771369035934,0.07138066421507008,0.04057446119396722,0.00565479439715812,0.02878997496501591,0.05273836933971157
Adaptive fusion,336,2,0.07886904761904762,0.007440476190476192,0.05952380952380952,0.10119047619047619,0.07886904761904762,0.007440476190476192,0.05952380952380952,0.10119047619047619,0.050070230482502254,0.0002779920417190912,0.03588061915231706,0.06324714211517617,0.04135428476946334,0.0018170115268329526,0.029110006849962206,0.05342995618386244,0.12053571428571427,0.0014880952380952397,0.09817708333333333,0.14583333333333334,0.12053571428571427,0.0014880952380952397,0.09817708333333333,0.14583333333333334,0.06062630561136874,0.0013442763590415137,0.04650381178777906,0.07371047505700562,0.044264446586255245,0.0023281728844463806,0.03172410838047673,0.05697516627721996
Sequential (GRU),336,2,0.07142857142857142,0.011904761904761904,0.05353422619047619,0.09077380952380952,0.07142857142857142,0.011904761904761904,0.05353422619047619,0.09077380952380952,0.041038722133076716,0.009510239431145203,0.02948409698558907,0.0535868918899201,0.03172595427059713,0.008827003023431593,0.021511464828987147,0.04394969706632653,0.11607142857142858,0.011904761904761897,0.09520089285714285,0.13988095238095238,0.11607142857142858,0.011904761904761897,0.09520089285714285,0.13988095238095238,0.052269634201307966,0.00958139763869384,0.04006638292878646,0.06523230206899074,0.0347793943416732,0.008885939947278954,0.024741660019827,0.04662726330765483
Conversation-aware,336,2,0.07142857142857142,0.005952380952380952,0.052046130952380955,0.08783482142857144,0.07142857142857142,0.005952380952380952,0.052046130952380955,0.08783482142857144,0.04382253212826415,0.0024021605162479233,0.03191109773227038,0.05712108495061787,0.035500519652305364,0.0013829837490551763,0.02586404006046864,0.04817681760204082,0.11607142857142858,0.008928571428571432,0.09371279761904762,0.14140625,0.11607142857142858,0.008928571428571432,0.09371279761904762,0.14140625,0.05479203968240837,0.0011260827447622905,0.04194739942849602,0.0691044182375843,0.03834792178255386,0.0005399397764156121,0.028562487321125648,0.05106985899132712
AIPA w/o relationship,336,2,0.09077380952380953,0.0014880952380952397,0.07142857142857142,0.11160714285714286,0.09077380952380953,0.0014880952380952397,0.07142857142857142,0.11160714285714286,0.05601872725130096,0.0012435057525383778,0.04241979749494786,0.07111491145485141,0.045535714285714284,0.001222363945578231,0.03310719600340136,0.05990832270408163,0.11755952380952381,0.004464285714285712,0.09375,0.13843005952380955,0.11755952380952381,0.004464285714285712,0.09375,0.13843005952380955,0.06257691803760626,0.0020774561883187166,0.04875528762690257,0.07700881253660873,0.04722505901360667,0.0014949102289466035,0.03480183744110018,0.06118133886026014
AIPA w/o counterfactual,336,2,0.07886904761904762,0.010416666666666664,0.06101190476190476,0.10122767857142859,0.07886904761904762,0.010416666666666664,0.06101190476190476,0.10122767857142859,0.0480273033748481,0.006411007919046828,0.034110501156622494,0.061845795613041016,0.03869342876039305,0.005194751511715799,0.027124462632275134,0.0531117577239229,0.10714285714285715,0.005952380952380952,0.08329613095238095,0.13258928571428574,0.10714285714285715,0.005952380952380952,0.08329613095238095,0.13258928571428574,0.05498491558927371,0.005252973248799805,0.04178921602394243,0.069951397562692,0.040501015229426326,0.004862087276533315,0.028558347292202267,0.05506979960669476
AIPA w/o clarification,336,2,0.08779761904761904,0.0014880952380952397,0.06696428571428571,0.1130952380952381,0.08779761904761904,0.0014880952380952397,0.06696428571428571,0.1130952380952381,0.05294805692876975,0.00042355597311331816,0.04062848480715116,0.07086919669806584,0.0423634731670446,0.0003094293272864722,0.030711333144368858,0.058020656179138326,0.11011904761904762,0.008928571428571425,0.09077380952380952,0.13396577380952382,0.11011904761904762,0.008928571428571425,0.09077380952380952,0.13396577380952382,0.058548853541449786,0.002365547985542466,0.04636437968610576,0.07603716888869362,0.043878079438948524,0.0008700927514505574,0.03173595432491178,0.059600052992892866
AIPA w/o persistence,336,2,0.0818452380952381,0.004464285714285712,0.06101190476190476,0.1056919642857143,0.0818452380952381,0.004464285714285712,0.06101190476190476,0.1056919642857143,0.05136930097311974,0.001746237936196049,0.03832974297867499,0.06686847273935703,0.04215738378684807,0.001103670634920631,0.029781554114701434,0.057032549130763416,0.12053571428571427,0.007440476190476185,0.10111607142857143,0.14136904761904762,0.12053571428571427,0.007440476190476185,0.10111607142857143,0.14136904761904762,0.061164596193973325,0.0025748556390915167,0.048160751192507734,0.07652541233958884,0.04485277001447943,0.0013706833666890066,0.03205590380682725,0.059272559186167306
AIPA (rule policy),336,2,0.07291666666666666,0.0014880952380952397,0.052008928571428574,0.09527529761904763,0.07291666666666666,0.0014880952380952397,0.052008928571428574,0.09527529761904763,0.047032282232233644,0.006465821820701982,0.03278674021638688,0.06217082821286098,0.039090844671201816,0.007883361678004535,0.02580862032312925,0.053098072562358295,0.1130952380952381,0.0,0.09077380952380952,0.1369419642857143,0.1130952380952381,0.0,0.09077380952380952,0.1369419642857143,0.05703840172968964,0.006179950794940971,0.04194830674266793,0.07112570716885247,0.041752054050262805,0.007848056180514162,0.028665397772976862,0.05500504827353949
AIPA (full),336,2,0.0818452380952381,0.004464285714285712,0.06101190476190476,0.1056919642857143,0.0818452380952381,0.004464285714285712,0.06101190476190476,0.1056919642857143,0.051395890938220334,0.0017196479710954518,0.0383563329437756,0.06689506270445765,0.042183956916099774,0.001077097505668933,0.02980746291572184,0.057059122260015124,0.12053571428571427,0.007440476190476185,0.10111607142857143,0.14136904761904762,0.12053571428571427,0.007440476190476185,0.10111607142857143,0.14136904761904762,0.06119118615907393,0.002548265673990916,0.04816141594163525,0.07655200230468945,0.04487934314373114,0.001344110237437305,0.03205656813505854,0.059299132315419015
