model,n,seeds,Recall@10_mean,Recall@10_std,Recall@10_ci_low,Recall@10_ci_high,Hit@10_mean,Hit@10_std,Hit@10_ci_low,Hit@10_ci_high,NDCG@10_mean,NDCG@10_std,NDCG@10_ci_low,NDCG@10_ci_high,MRR@10_mean,MRR@10_std,MRR@10_ci_low,MRR@10_ci_high,Recall@20_mean,Recall@20_std,Recall@20_ci_low,Recall@20_ci_high,Hit@20_mean,Hit@20_std,Hit@20_ci_low,Hit@20_ci_high,NDCG@20_mean,NDCG@20_std,NDCG@20_ci_low,NDCG@20_ci_high,MRR@20_mean,MRR@20_std,MRR@20_ci_low,MRR@20_ci_high
LTP-only,141,5,0.07375886524822695,0.003474453535862662,0.05531914893617021,0.09361702127659574,0.07375886524822695,0.003474453535862662,0.05531914893617021,0.09361702127659574,0.05424289940487992,0.0039333055660804835,0.03926779219704963,0.07018810910763976,0.04823595632106271,0.00455253831176999,0.03394984802431611,0.06338755206574355,0.11914893617021279,0.009408864653490496,0.095,0.14326241134751774,0.11914893617021279,0.009408864653490496,0.095,0.14326241134751774,0.06563721494766106,0.005390513389363197,0.05036131836034747,0.08098692663699601,0.05131677050720592,0.004955745374718714,0.03706885106466821,0.06600513108298331
STI-only,141,5,0.075177304964539,0.014603730696435464,0.05670212765957447,0.0950354609929078,0.075177304964539,0.014603730696435464,0.05670212765957447,0.0950354609929078,0.04188814577215104,0.0029198459679249996,0.030377675735268832,0.05485109138490044,0.031372284138241585,0.0024591545458086906,0.022026623888326016,0.042753771248452095,0.10212765957446808,0.010614630884465081,0.08085106382978724,0.12482269503546099,0.10212765957446808,0.010614630884465081,0.08085106382978724,0.12482269503546099,0.04871764142290742,0.00245937578597667,0.03691502768934244,0.06229220243090704,0.03325155844406882,0.0026109030276534988,0.02379497736598718,0.04465892434936387
Naive fusion,141,5,0.062411347517730496,0.012201879811407981,0.04535460992907802,0.08085106382978724,0.062411347517730496,0.012201879811407981,0.04535460992907802,0.08085106382978724,0.03500661860447504,0.005184975909761357,0.024827582148842193,0.04606311616565133,0.026390296071147134,0.0030855576444424842,0.01771860576381853,0.03584557581898007,0.08936170212765956,0.003474453535862662,0.06950354609929078,0.11205673758865248,0.08936170212765956,0.003474453535862662,0.06950354609929078,0.11205673758865248,0.04180328068828541,0.002917528776750734,0.031042329056221316,0.053359234050072,0.02824337979927203,0.002525274094172702,0.01956595903093581,0.03762828017599607
Adaptive fusion,141,5,0.06099290780141844,0.013154068787937168,0.04397163120567376,0.07943262411347518,0.06099290780141844,0.013154068787937168,0.04397163120567376,0.07943262411347518,0.034288147250904864,0.008707252184224256,0.024245612702331894,0.04494748938946351,0.025856692558820216,0.00830908389002058,0.01759558989080266,0.03462545029832264,0.09219858156028368,0.016172701065236002,0.07092198581560284,0.11347517730496454,0.09219858156028368,0.016172701065236002,0.07092198581560284,0.11347517730496454,0.0421350756538027,0.00833418588198723,0.0319583472666702,0.05321855291745252,0.027990901634600995,0.008148454322302889,0.01968494021257344,0.03692465470497221
Sequential (GRU),141,5,0.08085106382978723,0.008510638297872342,0.06095744680851064,0.10070921985815603,0.08085106382978723,0.008510638297872342,0.06095744680851064,0.10070921985815603,0.05522670478417578,0.004984529808140397,0.04046791607507179,0.06989440207630829,0.04735900033772374,0.005146681755766878,0.0340035320274682,0.061023936170212775,0.10921985815602837,0.013154068787937167,0.08652482269503546,0.13191489361702127,0.10921985815602837,0.013154068787937167,0.08652482269503546,0.13191489361702127,0.06241073231974268,0.005253324167820456,0.047318661236865255,0.07725379795743681,0.04933591020031307,0.00499363949515821,0.03549420374547589,0.06276659339789238
Conversation-aware,141,5,0.06808510638297874,0.013154068787937168,0.05106382978723404,0.08656028368794323,0.06808510638297874,0.013154068787937168,0.05106382978723404,0.08656028368794323,0.03448968251036065,0.00616292063408392,0.02459789737802762,0.045526352137233855,0.024317798041202297,0.0046276528564794285,0.016158589440504332,0.033715256670043894,0.10070921985815603,0.018164891453710204,0.07943262411347518,0.12340425531914893,0.10070921985815603,0.018164891453710204,0.07943262411347518,0.12340425531914893,0.04261031226783487,0.00755394276120967,0.03249922618218775,0.05374169952041809,0.026478710847494192,0.0050113838463278475,0.018402406071173775,0.035853849278504275
SASRec,141,5,0.03687943262411347,0.012201879811407981,0.024113475177304965,0.05106382978723404,0.03687943262411347,0.012201879811407981,0.024113475177304965,0.05106382978723404,0.02008912873001717,0.0046211336280613585,0.012165784783063639,0.02911624605058261,0.01519081391421817,0.00375910512321497,0.008297422042102895,0.0232451874366768,0.08368794326241136,0.011347517730496451,0.06382978723404255,0.10354609929078014,0.08368794326241136,0.011347517730496451,0.06382978723404255,0.10354609929078014,0.031766767210274466,0.004395042610627665,0.023129720255212365,0.04128569905709336,0.018314787402956827,0.0037009725297310397,0.011429638095968541,0.026247540997215758
KBRD-style,141,5,0.08368794326241134,0.006948907071725324,0.06382978723404255,0.1049645390070922,0.08368794326241134,0.006948907071725324,0.06382978723404255,0.1049645390070922,0.03864742542910891,0.00451970697921452,0.02890924694897036,0.05031327797517723,0.02512158054711246,0.004149047009868986,0.017506937408533152,0.033398260722728806,0.09929078014184398,0.004485500227189193,0.07801418439716312,0.12202127659574465,0.09929078014184398,0.004485500227189193,0.07801418439716312,0.12202127659574465,0.042446952988400934,0.0035053810747900254,0.03264069097079131,0.05393123895168959,0.02608968564389814,0.003904826947373078,0.018409232629335057,0.03438183947365654
AIPA w/o relationship,141,5,0.06808510638297871,0.007232651792330193,0.05106382978723404,0.08652482269503546,0.06808510638297871,0.007232651792330193,0.05106382978723404,0.08652482269503546,0.03725243945100325,0.007818189833304354,0.026461003352086794,0.0485018994422831,0.027792975346166836,0.008916480942763653,0.018902214904874478,0.037766407745131146,0.09361702127659574,0.012201879811407981,0.07234042553191489,0.11634751773049642,0.09361702127659574,0.012201879811407981,0.07234042553191489,0.11634751773049642,0.04354312868606696,0.007787967036981044,0.03161665484251708,0.05505883560068862,0.029439101666886396,0.00884834849689508,0.020501227296205394,0.039370541264001836
AIPA w/o counterfactual,141,5,0.06808510638297871,0.009620326217198962,0.04964539007092199,0.08652482269503546,0.06808510638297871,0.009620326217198962,0.04964539007092199,0.08652482269503546,0.03733599608110111,0.007559016929942026,0.026096394500056137,0.04899213892978466,0.027979849150061915,0.00764242669689403,0.018539218169537318,0.038458586626139823,0.08510638297872342,0.004485500227189188,0.06382978723404255,0.10638297872340426,0.08510638297872342,0.004485500227189188,0.06382978723404255,0.10638297872340426,0.04157229854890758,0.005804020722896021,0.030361347905835938,0.05346278399114013,0.029108201136558952,0.007194005808972909,0.019702528519001415,0.03946240746018017
AIPA w/o clarification,141,5,0.06524822695035462,0.010423360607587992,0.04680851063829787,0.0851063829787234,0.06524822695035462,0.010423360607587992,0.04680851063829787,0.0851063829787234,0.04005362158395734,0.004436128162576975,0.028493837117856084,0.052690180793634606,0.032229539569965104,0.005888867507405517,0.022052107959022852,0.04368633907463695,0.09361702127659574,0.020749984167840838,0.07234042553191489,0.1148936170212766,0.09361702127659574,0.020749984167840838,0.07234042553191489,0.1148936170212766,0.04726034480465523,0.00539220755488136,0.03489950232385267,0.060734644508785796,0.03422590527721943,0.0054955565317083895,0.024307126294532428,0.04570423843296184
AIPA w/o persistence,141,5,0.06666666666666667,0.015277063282651075,0.04964539007092199,0.0851063829787234,0.06666666666666667,0.015277063282651075,0.04964539007092199,0.0851063829787234,0.036772517327307866,0.011694447696776909,0.026321395684450955,0.048545380204411674,0.027550939997748512,0.010835560786485246,0.018588047393898455,0.038070302825621974,0.08652482269503546,0.016419626812468405,0.06808510638297872,0.10780141843971631,0.08652482269503546,0.016419626812468405,0.06808510638297872,0.10780141843971631,0.04175427120326356,0.011603350046733883,0.03138161053796495,0.053370535804031796,0.028895011955087046,0.010756425116351281,0.02019023200296667,0.039415888421364
AIPA (rule policy),141,5,0.06382978723404255,0.00897100045437838,0.04680851063829787,0.08368794326241134,0.06382978723404255,0.00897100045437838,0.04680851063829787,0.08368794326241134,0.03920867979747322,0.006771476845167643,0.027487006930034145,0.05224142392315563,0.031695373184734886,0.007593467772170498,0.02101916582235731,0.04335460992907801,0.09787234042553192,0.020749984167840838,0.07659574468085106,0.11914893617021277,0.09787234042553192,0.020749984167840838,0.07659574468085106,0.11914893617021277,0.04770583962192584,0.00792084094837707,0.03541302394921304,0.06160114902407976,0.03397427196419357,0.0073976693248480755,0.023592454829086968,0.04589470514295542
AIPA (full),141,5,0.06666666666666667,0.015277063282651075,0.04964539007092199,0.0851063829787234,0.06666666666666667,0.015277063282651075,0.04964539007092199,0.0851063829787234,0.036772517327307866,0.011694447696776909,0.026321395684450955,0.048545380204411674,0.027550939997748512,0.010835560786485246,0.018588047393898455,0.038070302825621974,0.08652482269503546,0.016419626812468405,0.06808510638297872,0.10780141843971631,0.08652482269503546,0.016419626812468405,0.06808510638297872,0.10780141843971631,0.04175427120326356,0.011603350046733883,0.03138161053796495,0.053370535804031796,0.028895011955087046,0.010756425116351281,0.02019023200296667,0.039415888421364
