model,seed,epoch,rec,rel,act,valid_hit@10,n_self_train_relabelled
LTP-only,42,1,8.207117205317987,0.0,0.0,0.06269415419373059,0
LTP-only,42,2,7.62006994890804,0.0,0.0,0.06523580909347641,0
LTP-only,42,3,7.491324560737201,0.0,0.0,0.061846935893815305,0
LTP-only,42,4,7.404410383691822,0.0,0.0,0.059305280994069474,0
LTP-only,42,5,7.318041943147598,0.0,0.0,0.061846935893815305,0
STI-only,42,1,7.758685992589739,0.0,0.0,0.13781417678621857,0
STI-only,42,2,6.755269323360944,0.0,0.0,0.16661959898333803,0
STI-only,42,3,6.484556393519537,0.0,0.0,0.16746681728325333,0
STI-only,42,4,6.318422783637349,0.0,0.0,0.16577238068342276,0
STI-only,42,5,6.189942045480444,0.0,0.0,0.17142050268285794,0
STI-only,42,6,6.060967391410509,0.0,0.0,0.16294831968370516,0
STI-only,42,7,5.935071867413342,0.0,0.0,0.15673538548432647,0
STI-only,42,8,5.8203699365438,0.0,0.0,0.16040666478395935,0
Naive fusion,42,1,7.740402281369983,0.0,0.0,0.14261508048573848,0
Naive fusion,42,2,6.716067328485514,0.0,0.0,0.15927704038407228,0
Naive fusion,42,3,6.438092323878069,0.0,0.0,0.16012425868398758,0
Naive fusion,42,4,6.253270400480946,0.0,0.0,0.1683140355831686,0
Naive fusion,42,5,6.09649149028229,0.0,0.0,0.15955944648404405,0
Naive fusion,42,6,5.931459329063817,0.0,0.0,0.15730019768426998,0
Naive fusion,42,7,5.772868552584292,0.0,0.0,0.15927704038407228,0
Adaptive fusion,42,1,7.753844247245577,0.0,0.0,0.1412030499858797,0
Adaptive fusion,42,2,6.708831158350913,0.0,0.0,0.16097147698390285,0
Adaptive fusion,42,3,6.434492000655543,0.0,0.0,0.1640779440835922,0
Adaptive fusion,42,4,6.248145170682126,0.0,0.0,0.16746681728325333,0
Adaptive fusion,42,5,6.094824987207282,0.0,0.0,0.15588816718441117,0
Adaptive fusion,42,6,5.937837775253963,0.0,0.0,0.1550409488844959,0
Adaptive fusion,42,7,5.786738407171312,0.0,0.0,0.15193448178480656,0
Sequential (GRU),42,1,8.14864963955493,0.0,0.0,0.08613386049138662,0
Sequential (GRU),42,2,7.33303479949477,0.0,0.0,0.10194860208980513,0
Sequential (GRU),42,3,7.118087012813752,0.0,0.0,0.10787913018921208,0
Sequential (GRU),42,4,6.968781160906863,0.0,0.0,0.10872634848912736,0
Sequential (GRU),42,5,6.8274693712994114,0.0,0.0,0.10674950578932504,0
Sequential (GRU),42,6,6.671564094415828,0.0,0.0,0.10533747528946626,0
Sequential (GRU),42,7,6.50720152347998,0.0,0.0,0.10138378988986162,0
Conversation-aware,42,1,7.995168196005343,0.0,0.0,0.12143462298785654,0
Conversation-aware,42,2,6.895994727751104,0.0,0.0,0.14543914148545609,0
Conversation-aware,42,3,6.600966193433394,0.0,0.0,0.15334651228466534,0
Conversation-aware,42,4,6.420756687838858,0.0,0.0,0.15984185258401581,0
Conversation-aware,42,5,6.279413585028317,0.0,0.0,0.1578650098842135,0
Conversation-aware,42,6,6.148810426541743,0.0,0.0,0.1649251623835075,0
Conversation-aware,42,7,6.025950366832802,0.0,0.0,0.158429822084157,0
Conversation-aware,42,8,5.902997298784041,0.0,0.0,0.1649251623835075,0
Conversation-aware,42,9,5.783799951649169,0.0,0.0,0.16238350748376165,0
SASRec,42,1,13.26713094162365,0.0,0.0,0.054221971194577806,0
SASRec,42,2,8.247921601308322,0.0,0.0,0.061564529793843546,0
SASRec,42,3,7.846125145962772,0.0,0.0,0.05987009319401299,0
SASRec,42,4,7.695103144712272,0.0,0.0,0.07709686529229032,0
SASRec,42,5,7.575616066288354,0.0,0.0,0.07681445919231855,0
SASRec,42,6,7.492422489043905,0.0,0.0,0.08246258119175374,0
SASRec,42,7,7.424433092684038,0.0,0.0,0.08387461169161253,0
SASRec,42,8,7.360598239232095,0.0,0.0,0.08641626659135837,0
SASRec,42,9,7.289102363976863,0.0,0.0,0.08669867269133014,0
SASRec,42,10,7.232826506151306,0.0,0.0,0.09093476419090653,0
SASRec,42,11,7.165411794405098,0.0,0.0,0.09488844959051115,0
SASRec,42,12,7.100114129207154,0.0,0.0,0.09206438859079356,0
SASRec,42,13,7.030784941739653,0.0,0.0,0.0917819824908218,0
SASRec,42,14,6.957228061599076,0.0,0.0,0.09573566789042644,0
SASRec,42,15,6.888022918166971,0.0,0.0,0.09404123129059588,0
SASRec,42,16,6.819601199077661,0.0,0.0,0.09375882519062412,0
SASRec,42,17,6.74082393580047,0.0,0.0,0.09601807399039819,0
SASRec,42,18,6.667972863976158,0.0,0.0,0.09714769839028523,0
SASRec,42,19,6.589694695097407,0.0,0.0,0.09630048009036996,0
SASRec,42,20,6.511138789007295,0.0,0.0,0.0946060434905394,0
KBRD-style,42,1,8.002308182708225,0.0,0.0,0.12792996328720702,0
KBRD-style,42,2,6.744262365212368,0.0,0.0,0.15758260378424174,0
KBRD-style,42,3,6.458842869400671,0.0,0.0,0.16012425868398758,0
KBRD-style,42,4,6.301079093959066,0.0,0.0,0.16125388308387462,0
KBRD-style,42,5,6.168805347962658,0.0,0.0,0.15758260378424174,0
KBRD-style,42,6,6.042085839827905,0.0,0.0,0.15814741598418525,0
KBRD-style,42,7,5.928912148831048,0.0,0.0,0.15984185258401581,0
AIPA w/o relationship,42,1,7.74614063377278,0.7616110324416823,0.41673143779824556,0.13047161818695283,0
AIPA w/o relationship,42,2,6.752887951908526,0.5569210079623655,0.21689027328538787,0.14600395368539962,0
AIPA w/o relationship,42,3,6.482455406078298,0.5151070282661135,0.16862600794215493,0.15617057328438294,0
AIPA w/o relationship,42,4,6.301568472776166,0.49318571033150826,0.14644829383196653,0.16068907088393108,314
AIPA w/o relationship,42,5,6.149767778385384,0.47961321881173397,0.13008144282371592,0.1640779440835922,443
AIPA w/o relationship,42,6,5.998171954274814,0.4680339685845937,0.11848319464345508,0.150240045184976,436
AIPA w/o relationship,42,7,5.845786541961354,0.4594357036941142,0.10966305480801555,0.15758260378424174,472
AIPA w/o relationship,42,8,5.701089912312469,0.45234135162063377,0.10158583578485388,0.14543914148545609,729
AIPA w/o counterfactual,42,1,7.74550737604332,0.7618257645360528,0.41348849521187364,0.13047161818695283,0
AIPA w/o counterfactual,42,2,6.750288699488576,0.5576362260474018,0.2051310003512035,0.14515673538548432,0
AIPA w/o counterfactual,42,3,6.477561034036136,0.5165805826540596,0.16351205580577066,0.15588816718441117,0
AIPA w/o counterfactual,42,4,6.298359184595069,0.4958084791998114,0.14383629346831248,0.16040666478395935,271
AIPA w/o counterfactual,42,5,6.144280658828246,0.4834409545227015,0.1307422300535599,0.1635131318836487,456
AIPA w/o counterfactual,42,6,5.992988574984172,0.47211010306503937,0.11990042975956132,0.14854560858514543,441
AIPA w/o counterfactual,42,7,5.8393661671203505,0.46376967935614105,0.1110026567477038,0.16238350748376165,457
AIPA w/o counterfactual,42,8,5.691382414606276,0.4570199160652079,0.10411942524756837,0.14798079638520192,667
AIPA w/o clarification,42,1,7.730665219113563,0.7691842861574765,0.28624706800854444,0.13470770968652923,0
AIPA w/o clarification,42,2,6.735279057485707,0.5659578193193324,0.16476541325270966,0.15391132448460887,0
AIPA w/o clarification,42,3,6.464577321365237,0.5242112360338558,0.12363943026442235,0.15334651228466534,0
AIPA w/o clarification,42,4,6.284988538240807,0.5032821462466156,0.10672623371050459,0.16181869528381812,150
