model,seed,subset,arbitration_accuracy,conflict_resolution_accuracy,conflict_arbitration_f1,override_success_rate,clarification_rate,clarification_precision,clarification_efficiency,unnecessary_clarification_rate,wrong_override_rate,n,n_conflict,n_asked
AIPA (full),7,natural,0.8802228412256268,0.14516129032258066,0.1267605633802817,0.14285714285714285,0.20705663881151345,0.9775784753363229,0.615819209039548,0.004642525533890436,0.004642525533890436,1077,62,223
AIPA (full),7,synthetic,0.928,0.8846153846153846,0.46938775510204084,0.3076923076923077,0.0,,,0.0,0.0,125,78,0
AIPA (full),7,all,0.8851913477537438,0.5571428571428572,0.3577981651376147,0.2826086956521739,0.18552412645590682,0.9775784753363229,0.615819209039548,0.004159733777038269,0.004159733777038269,1202,140,223
AIPA (full),42,natural,0.8644382544103992,0.25806451612903225,0.20512820512820512,0.125,0.19870009285051068,0.9906542056074766,0.5988700564971752,0.0018570102135561746,0.032497678737233054,1077,62,214
AIPA (full),42,synthetic,0.944,0.9102564102564102,0.47651006711409394,0.20512820512820512,0.0,,,0.0,0.0,125,78,0
AIPA (full),42,all,0.872712146422629,0.6214285714285714,0.3832599118942731,0.19148936170212766,0.17803660565723795,0.9906542056074766,0.5988700564971752,0.0016638935108153079,0.029118136439267885,1202,140,214
AIPA (rule policy),7,natural,0.7585886722376973,0.4032258064516129,0.19157088122605362,0.2222222222222222,0.3008356545961003,0.6851851851851852,0.6271186440677966,0.0947075208913649,0.04549675023212628,1077,62,324
AIPA (rule policy),7,synthetic,0.976,0.9615384615384616,0.32679738562091504,0.1794871794871795,0.008,0.0,,0.008,0.0,125,78,1
AIPA (rule policy),7,all,0.781198003327787,0.7142857142857143,0.2777777777777778,0.1875,0.2703826955074875,0.683076923076923,0.6271186440677966,0.08569051580698835,0.04076539101497504,1202,140,325
AIPA (rule policy),42,natural,0.841225626740947,0.1935483870967742,0.10810810810810811,0.4,0.2720519962859796,0.7508532423208191,0.6214689265536724,0.06778087279480037,0.012070566388115135,1077,62,293
AIPA (rule policy),42,synthetic,0.944,0.9102564102564102,0.3176733780760626,0.23076923076923078,0.024,0.0,,0.024,0.0,125,78,3
AIPA (rule policy),42,all,0.8519134775374376,0.5928571428571429,0.24813153961136025,0.25,0.24625623960066556,0.7432432432432432,0.6214689265536724,0.0632279534109817,0.010815307820299502,1202,140,296
AIPA w/o clarification,7,natural,0.6889507892293407,0.1774193548387097,0.1506849315068493,0.5,0.0,,0.0,0.0,0.01021355617455896,1077,62,0
AIPA w/o clarification,7,synthetic,0.912,0.8589743589743589,0.46206896551724136,0.2972972972972973,0.0,,,0.0,0.0,125,78,0
AIPA w/o clarification,7,all,0.7121464226289518,0.5571428571428572,0.3577981651376147,0.32558139534883723,0.0,,0.0,0.0,0.009151414309484194,1202,140,0
AIPA w/o clarification,42,natural,0.6880222841225627,0.12903225806451613,0.11428571428571428,0.6666666666666666,0.0,,0.0,0.0,0.004642525533890436,1077,62,0
AIPA w/o clarification,42,synthetic,0.92,0.8717948717948718,0.4657534246575342,0.2894736842105263,0.0,,,0.0,0.0,125,78,0
AIPA w/o clarification,42,all,0.7121464226289518,0.5428571428571428,0.35185185185185186,0.3170731707317073,0.0,,0.0,0.0,0.004159733777038269,1202,140,0
AIPA w/o counterfactual,7,natural,0.8783658310120706,0.20967741935483872,0.17333333333333334,0.3333333333333333,0.20148560817084493,0.9815668202764977,0.6016949152542372,0.003714020427112349,0.009285051067780872,1077,62,217
AIPA w/o counterfactual,7,synthetic,0.936,0.8974358974358975,0.47297297297297297,0.28205128205128205,0.0,,,0.0,0.0,125,78,0
AIPA w/o counterfactual,7,all,0.8843594009983361,0.5928571428571429,0.3721973094170404,0.28888888888888886,0.1805324459234609,0.9815668202764977,0.6016949152542372,0.0033277870216306157,0.008319467554076539,1202,140,217
AIPA w/o counterfactual,42,natural,0.8904363974001857,0.1935483870967742,0.16216216216216217,0.16666666666666666,0.1968430826369545,0.9952830188679245,0.596045197740113,0.0009285051067780873,0.009285051067780872,1077,62,212
AIPA w/o counterfactual,42,synthetic,0.928,0.8846153846153846,0.46938775510204084,0.2564102564102564,0.0,,,0.0,0.0,125,78,0
AIPA w/o counterfactual,42,all,0.8943427620632279,0.5785714285714286,0.3665158371040724,0.24444444444444444,0.17637271214642264,0.9952830188679245,0.596045197740113,0.0008319467554076539,0.008319467554076539,1202,140,212
AIPA w/o persistence,7,natural,0.8802228412256268,0.14516129032258066,0.1267605633802817,0.14285714285714285,0.20705663881151345,0.9775784753363229,0.615819209039548,0.004642525533890436,0.004642525533890436,1077,62,223
AIPA w/o persistence,7,synthetic,0.928,0.8846153846153846,0.46938775510204084,0.3076923076923077,0.0,,,0.0,0.0,125,78,0
AIPA w/o persistence,7,all,0.8851913477537438,0.5571428571428572,0.3577981651376147,0.2826086956521739,0.18552412645590682,0.9775784753363229,0.615819209039548,0.004159733777038269,0.004159733777038269,1202,140,223
AIPA w/o persistence,42,natural,0.8644382544103992,0.25806451612903225,0.20512820512820512,0.125,0.19870009285051068,0.9906542056074766,0.5988700564971752,0.0018570102135561746,0.032497678737233054,1077,62,214
AIPA w/o persistence,42,synthetic,0.944,0.9102564102564102,0.47651006711409394,0.20512820512820512,0.0,,,0.0,0.0,125,78,0
AIPA w/o persistence,42,all,0.872712146422629,0.6214285714285714,0.3832599118942731,0.19148936170212766,0.17803660565723795,0.9906542056074766,0.5988700564971752,0.0016638935108153079,0.029118136439267885,1202,140,214
AIPA w/o relationship,7,natural,0.8755803156917363,0.12903225806451613,0.11428571428571428,0.6,0.2116991643454039,0.9736842105263158,0.6271186440677966,0.005571030640668524,0.013927576601671309,1077,62,228
AIPA w/o relationship,7,synthetic,0.928,0.8846153846153846,0.46938775510204084,0.28205128205128205,0.0,,,0.0,0.0,125,78,0
AIPA w/o relationship,7,all,0.8810316139767055,0.55,0.3548387096774194,0.3181818181818182,0.1896838602329451,0.9736842105263158,0.6271186440677966,0.004991680532445923,0.012479201331114808,1202,140,228
AIPA w/o relationship,42,natural,0.8867223769730733,0.1935483870967742,0.16216216216216217,0.16666666666666666,0.1959145775301764,1.0,0.596045197740113,0.0,0.009285051067780872,1077,62,211
AIPA w/o relationship,42,synthetic,0.936,0.8974358974358975,0.47297297297297297,0.23076923076923078,0.0,,,0.0,0.0,125,78,0
AIPA w/o relationship,42,all,0.891846921797005,0.5857142857142857,0.36936936936936937,0.2222222222222222,0.17554076539101499,1.0,0.596045197740113,0.0,0.008319467554076539,1202,140,211
