model,seed,subset,ECE,Brier
AIPA (full),7,natural,0.03638244359645734,0.058900636807084086
AIPA (full),7,synthetic,0.09495379398457515,0.016026739263907075
AIPA (full),7,all,0.03814187378065552,0.05365077089518309
AIPA (full),42,natural,0.05313563903990286,0.05868898313492536
AIPA (full),42,synthetic,0.10219006369320249,0.013249644776806235
AIPA (full),42,all,0.05588144505487132,0.05312498239800334
AIPA (full),123,natural,0.03907722016140047,0.05489446558058262
AIPA (full),123,synthetic,0.11884431158884981,0.0157156765460968
AIPA (full),123,all,0.04444324708246925,0.05009706187993288
AIPA (full),2024,natural,0.030577098347633155,0.05634309267625213
AIPA (full),2024,synthetic,0.0817466785605901,0.016374814976006746
AIPA (full),2024,all,0.030931469123208172,0.051449017599225044
AIPA (full),31337,natural,0.06079777358816222,0.05644541047513485
AIPA (full),31337,synthetic,0.11821420696110296,0.018299091793596744
AIPA (full),31337,all,0.06782832528863635,0.05177443213760853
AIPA (rule policy),7,natural,0.053945004506859656,0.05668200952932238
AIPA (rule policy),7,synthetic,0.09538083084118668,0.01746057136915624
AIPA (rule policy),7,all,0.056426421579798124,0.051879383623600006
AIPA (rule policy),42,natural,0.04120846071375503,0.05978380888700485
AIPA (rule policy),42,synthetic,0.10426083522347303,0.009936730656772853
AIPA (rule policy),42,all,0.045373886186202625,0.05368008464574814
AIPA (rule policy),123,natural,0.04616395761267232,0.05309980120509863
AIPA (rule policy),123,synthetic,0.11527042535062021,0.015122828772291541
AIPA (rule policy),123,all,0.050607853485753806,0.04844956137239933
AIPA (rule policy),2024,natural,0.03667522151829519,0.057490399666130544
AIPA (rule policy),2024,synthetic,0.10519515866270432,0.015798361878842114
AIPA (rule policy),2024,all,0.039527963765047386,0.05238525569438934
AIPA (rule policy),31337,natural,0.056215378614092565,0.05579346306622028
AIPA (rule policy),31337,synthetic,0.09921888753962821,0.014255626453086733
AIPA (rule policy),31337,all,0.06136498252862664,0.05070719765499234
AIPA w/o clarification,7,natural,0.0514523712968144,0.05482733715325594
AIPA w/o clarification,7,synthetic,0.11215351197199941,0.013250298704952002
AIPA w/o clarification,7,all,0.05831396940575102,0.04973627217113972
AIPA w/o clarification,42,natural,0.040926306386859776,0.05813569761812687
AIPA w/o clarification,42,synthetic,0.09410841896747932,0.012973324162885547
AIPA w/o clarification,42,all,0.044490906335354984,0.05260561164468527
