model,n,seeds,Recall@10_mean,Recall@10_std,Recall@10_ci_low,Recall@10_ci_high,Hit@10_mean,Hit@10_std,Hit@10_ci_low,Hit@10_ci_high,NDCG@10_mean,NDCG@10_std,NDCG@10_ci_low,NDCG@10_ci_high,MRR@10_mean,MRR@10_std,MRR@10_ci_low,MRR@10_ci_high,Recall@20_mean,Recall@20_std,Recall@20_ci_low,Recall@20_ci_high,Hit@20_mean,Hit@20_std,Hit@20_ci_low,Hit@20_ci_high,NDCG@20_mean,NDCG@20_std,NDCG@20_ci_low,NDCG@20_ci_high,MRR@20_mean,MRR@20_std,MRR@20_ci_low,MRR@20_ci_high
LTP-only,78,2,0.03205128205128205,0.006410256410256412,0.00641025641025641,0.0641025641025641,0.03205128205128205,0.006410256410256412,0.00641025641025641,0.0641025641025641,0.012045741518928111,0.0010027528503795706,0.0024683853139315474,0.023847488379045538,0.00608974358974359,0.00032051282051282024,0.0012700320512820515,0.012035256410256415,0.04487179487179487,0.006410256410256408,0.01282051282051282,0.08333333333333333,0.04487179487179487,0.006410256410256408,0.01282051282051282,0.08333333333333333,0.015297665090437212,0.0011181310101165418,0.0040330730461844225,0.027211905656298187,0.0069834812623274165,0.0002280571992110455,0.0015925480769230771,0.012882920364891526
STI-only,78,2,0.23717948717948717,0.019230769230769218,0.16666666666666666,0.29503205128205134,0.23717948717948717,0.019230769230769218,0.16666666666666666,0.29503205128205134,0.11249294362613474,0.022931965301375264,0.07664361755163474,0.1483895108684535,0.07457773707773707,0.02381969881969882,0.04619772588522589,0.10253567612942614,0.391025641025641,0.0064102564102563875,0.3076923076923077,0.46153846153846156,0.391025641025641,0.0064102564102563875,0.3076923076923077,0.46153846153846156,0.15129301561887093,0.019086822799092754,0.11440265394977653,0.18473479815039529,0.08517297601008009,0.02243959116131062,0.05617381366957159,0.11342319623145415
Naive fusion,78,2,0.25,0.006410256410256401,0.1858974358974359,0.32051282051282054,0.25,0.006410256410256401,0.1858974358974359,0.32051282051282054,0.11678175472858252,0.010436716852258547,0.08373478552021558,0.15141297611524812,0.07741656491656491,0.014865689865689868,0.04833689458689459,0.10743074633699636,0.3846153846153846,0.025641025641025633,0.3076923076923077,0.4551282051282051,0.3846153846153846,0.025641025641025633,0.3076923076923077,0.4551282051282051,0.15044198539927162,0.017540368699421147,0.11564830269807212,0.18677306841243335,0.08647552589860283,0.01628464128464128,0.058114933944260865,0.11578564909093757
Adaptive fusion,78,2,0.25,0.019230769230769218,0.1794871794871795,0.32051282051282054,0.25,0.019230769230769218,0.1794871794871795,0.32051282051282054,0.11688509157114868,0.009817845927588616,0.08126014211896278,0.15070386390816257,0.07786935286935287,0.01770960520960521,0.049159925722425724,0.1054257605820106,0.3846153846153846,0.025641025641025633,0.2948717948717949,0.46169871794871803,0.3846153846153846,0.025641025641025633,0.2948717948717949,0.46169871794871803,0.1512300691847987,0.021982644894790168,0.11405729062120754,0.1838526069588821,0.08746196390799271,0.021475363362568646,0.059218689332611554,0.11429711356181946
Sequential (GRU),78,2,0.02564102564102564,0.012820512820512822,0.00641025641025641,0.05128205128205128,0.02564102564102564,0.012820512820512822,0.00641025641025641,0.05128205128205128,0.011669681243671877,0.003580838249166012,0.0021367521367521365,0.024413465625126106,0.007326007326007325,0.0009157509157509151,0.0009157509157509158,0.01590354090354091,0.04487179487179487,0.006410256410256408,0.01282051282051282,0.07692307692307693,0.04487179487179487,0.006410256410256408,0.01282051282051282,0.07692307692307693,0.01653134807966637,0.0017936902153270545,0.005356590046044704,0.028386537275256703,0.008654053337311255,0.000341852717418328,0.0017850409394527043,0.017592690429228893
Conversation-aware,78,2,0.10897435897435898,0.019230769230769225,0.0641025641025641,0.1540064102564103,0.10897435897435898,0.019230769230769225,0.0641025641025641,0.1540064102564103,0.05155235807508465,0.009581434290190895,0.028976617603206096,0.07883540711881547,0.03488247863247863,0.006926638176638177,0.01639423076923077,0.0590678418803419,0.21794871794871795,0.0641025641025641,0.15384615384615385,0.2758012820512821,0.21794871794871795,0.0641025641025641,0.15384615384615385,0.2758012820512821,0.07902807141971728,0.020817046298546627,0.054555692319892775,0.10544927518810453,0.042375918037533905,0.009950403279916257,0.02288508583688612,0.06631304587886512
SASRec,78,2,0.05128205128205128,0.0,0.019230769230769232,0.08333333333333333,0.05128205128205128,0.0,0.019230769230769232,0.08333333333333333,0.01801424043308185,0.0027302043650070888,0.005804474076751324,0.03192759008109535,0.008653846153846154,0.003098290598290598,0.0021541132478632478,0.017045495014245012,0.08974358974358974,0.012820512820512817,0.04487179487179487,0.13477564102564105,0.08974358974358974,0.012820512820512817,0.04487179487179487,0.13477564102564105,0.027603369386652154,0.006170295714266329,0.012495794300524297,0.04256910588303748,0.011213352351123248,0.0041495011696250075,0.004217015354786253,0.0198823448223603
KBRD-style,78,2,0.26282051282051283,0.019230769230769232,0.1987179487179487,0.3270833333333334,0.26282051282051283,0.019230769230769232,0.1987179487179487,0.3270833333333334,0.1213736763623822,0.00017206179372488556,0.09022172039772966,0.16086517021446264,0.07937779812779813,0.005466524216524216,0.053402841371591375,0.11216734076109076,0.41025641025641024,0.0,0.3269230769230769,0.4935897435897436,0.41025641025641024,0.0,0.3269230769230769,0.4935897435897436,0.15762520885257933,0.004365900303058973,0.12491520089447893,0.196081100163492,0.08878237838630193,0.006528695107076862,0.0628019332694739,0.12122979971541385
AIPA w/o relationship,78,2,0.21794871794871795,0.01282051282051283,0.15384615384615385,0.2822115384615385,0.21794871794871795,0.01282051282051283,0.15384615384615385,0.2822115384615385,0.1068884686660056,0.00681780883910104,0.07383388799457241,0.139214094800407,0.07334656084656084,0.004695767195767198,0.047590621184371185,0.09998511904761903,0.41025641025641024,0.0,0.3267628205128205,0.4935897435897436,0.41025641025641024,0.0,0.3267628205128205,0.4935897435897436,0.15546801214879385,0.003337029684040718,0.12023583031957823,0.18648555032834954,0.08664167459118638,0.003632460458490465,0.06111299142428205,0.11271053824701271
AIPA w/o counterfactual,78,2,0.22435897435897437,0.006410256410256415,0.16025641025641027,0.28846153846153844,0.22435897435897437,0.006410256410256415,0.16025641025641027,0.28846153846153844,0.10825798454442831,0.004646957042482476,0.07625093931606941,0.14099452799016035,0.0733491045991046,0.003767297517297513,0.04725153897028897,0.09992413258038259,0.41025641025641024,0.0,0.3267628205128205,0.4935897435897436,0.41025641025641024,0.0,0.3267628205128205,0.4935897435897436,0.15553347668405787,0.002956602168646058,0.11991483583576866,0.18617322529458114,0.0864689576265249,0.0032865608620252576,0.061135722175125154,0.11349136192930846
AIPA w/o clarification,78,2,0.20512820512820512,0.012820512820512817,0.14102564102564102,0.26282051282051283,0.20512820512820512,0.012820512820512817,0.14102564102564102,0.26282051282051283,0.09469054022902867,0.00436984064857604,0.06520656453031075,0.12115567426440414,0.06095594220594221,0.0021799959299959315,0.037702609890109894,0.08170405982905983,0.39743589743589747,0.012820512820512803,0.3137820512820513,0.47435897435897434,0.39743589743589747,0.012820512820512803,0.3137820512820513,0.47435897435897434,0.14341721127199353,0.0013373171030897357,0.10826144660704666,0.17004264471648475,0.07436690892945358,0.0010308875090668385,0.052764045038693766,0.09323717534364787
