model,seed,subset,STI_driven_rate,LTP_driven_rate,Jointly_driven_rate,Neither_driven_rate,mean_abs_delta_LTP,mean_abs_delta_STI,mean_topk_overlap_noLTP,mean_topk_overlap_noSTI,n
AIPA (full),7,natural,0.6285778175313059,0.00022361359570661896,0.37119856887298747,0.0,0.54621821641922,0.9319523572921753,0.45378175377845764,0.06804762780666351,4472
AIPA (full),7,synthetic,0.6458333333333334,0.0,0.3541666666666667,0.0,0.5765649080276489,0.9400914311408997,0.4234350025653839,0.059908609837293625,624
AIPA (full),7,all,0.630690737833595,0.00019623233908948196,0.36911302982731553,0.0,0.5499341487884521,0.9329490065574646,0.45006585121154785,0.06705101579427719,5096
AIPA (full),42,natural,0.5780411449016101,0.005813953488372093,0.4161449016100179,0.0,0.5449586510658264,0.9007889032363892,0.4550412893295288,0.09921113401651382,4472
AIPA (full),42,synthetic,0.5865384615384616,0.017628205128205128,0.3958333333333333,0.0,0.5698171854019165,0.9007433652877808,0.4301828145980835,0.09925665706396103,624
AIPA (full),42,all,0.5790816326530612,0.007260596546310832,0.41365777080062793,0.0,0.5480025410652161,0.9007833003997803,0.45199742913246155,0.09921670705080032,5096
AIPA (full),123,natural,0.5507602862254025,0.0022361359570661895,0.4470035778175313,0.0,0.5267620086669922,0.8706916570663452,0.4732379913330078,0.1293083280324936,4472
AIPA (full),123,synthetic,0.5865384615384616,0.004807692307692308,0.40865384615384615,0.0,0.5550997853279114,0.8792998194694519,0.4449002146720886,0.1207001730799675,624
AIPA (full),123,all,0.5551412872841445,0.002551020408163265,0.4423076923076923,0.0,0.5302318930625916,0.8717457056045532,0.46976810693740845,0.1282542645931244,5096
AIPA (full),2024,natural,0.6198568872987478,0.0006708407871198568,0.37947227191413235,0.0,0.5435563325881958,0.9244778752326965,0.4564436674118042,0.07552217692136765,4472
AIPA (full),2024,synthetic,0.6041666666666666,0.0,0.3958333333333333,0.0,0.5861738920211792,0.9291179180145264,0.4138260781764984,0.07088209688663483,624
AIPA (full),2024,all,0.6179356357927787,0.0005886970172684458,0.3814756671899529,0.0,0.548774778842926,0.9250459671020508,0.4512251913547516,0.07495400309562683,5096
AIPA (full),31337,natural,0.6375223613595706,0.009615384615384616,0.35286225402504473,0.0,0.47356948256492615,0.8440628051757812,0.5264304876327515,0.15593716502189636,4472
AIPA (full),31337,synthetic,0.6394230769230769,0.022435897435897436,0.33814102564102566,0.0,0.5067091584205627,0.8436650037765503,0.49329084157943726,0.1563350111246109,624
AIPA (full),31337,all,0.6377551020408163,0.011185243328100471,0.3510596546310832,0.0,0.47762739658355713,0.844014048576355,0.5223726034164429,0.15598587691783905,5096
AIPA (rule policy),7,natural,0.693649373881932,0.0004472271914132379,0.30590339892665475,0.0,0.5016982555389404,0.9212877750396729,0.4983017146587372,0.07871224731206894,4472
AIPA (rule policy),7,synthetic,0.7163461538461539,0.0,0.28365384615384615,0.0,0.5164852738380432,0.922435462474823,0.4835147261619568,0.07756455987691879,624
AIPA (rule policy),7,all,0.6964285714285714,0.0003924646781789639,0.3031789638932496,0.0,0.5035089254379272,0.9214283227920532,0.49649104475975037,0.07857171446084976,5096
AIPA (rule policy),42,natural,0.5715563506261181,0.0011180679785330948,0.4273255813953488,0.0,0.5510239601135254,0.9111534357070923,0.448976069688797,0.08884655684232712,4472
AIPA (rule policy),42,synthetic,0.6201923076923077,0.004807692307692308,0.375,0.0,0.5674956440925598,0.9142027497291565,0.4325043559074402,0.08579719811677933,624
AIPA (rule policy),42,all,0.5775117739403454,0.0015698587127158557,0.42091836734693877,0.0,0.5530408620834351,0.9115267992019653,0.44695910811424255,0.08847316354513168,5096
AIPA (rule policy),123,natural,0.5509838998211091,0.0022361359570661895,0.4467799642218247,0.0,0.5338039994239807,0.8735786080360413,0.46619608998298645,0.12642136216163635,4472
AIPA (rule policy),123,synthetic,0.5785256410256411,0.008012820512820512,0.41346153846153844,0.0,0.5641829371452332,0.8842703104019165,0.43581703305244446,0.11572971194982529,624
AIPA (rule policy),123,all,0.5543563579277865,0.0029434850863422294,0.4427001569858713,0.0,0.5375238060951233,0.8748878836631775,0.4624761641025543,0.12511217594146729,5096
AIPA (rule policy),2024,natural,0.5185599284436494,0.0022361359570661895,0.4792039355992844,0.0,0.5791648626327515,0.9114912152290344,0.42083510756492615,0.0885087251663208,4472
AIPA (rule policy),2024,synthetic,0.5657051282051282,0.003205128205128205,0.4310897435897436,0.0,0.5896704792976379,0.9171614050865173,0.4103294909000397,0.08283864706754684,624
AIPA (rule policy),2024,all,0.5243328100470958,0.002354788069073783,0.47331240188383045,0.0,0.5804513096809387,0.912185549736023,0.41954872012138367,0.08781443536281586,5096
AIPA (rule policy),31337,natural,0.7497763864042933,0.00022361359570661896,0.25,0.0,0.4760993421077728,0.915709376335144,0.5239006876945496,0.08429064601659775,4472
AIPA (rule policy),31337,synthetic,0.6939102564102564,0.003205128205128205,0.30288461538461536,0.0,0.5258267521858215,0.9091798663139343,0.4741732180118561,0.0908200815320015,624
AIPA (rule policy),31337,all,0.7429356357927787,0.0005886970172684458,0.2564756671899529,0.0,0.4821883738040924,0.9149098992347717,0.51781165599823,0.08509016782045364,5096
AIPA w/o clarification,7,natural,0.686046511627907,0.00022361359570661896,0.3137298747763864,0.0,0.5247681736946106,0.9372835755348206,0.4752318561077118,0.06271649152040482,4472
AIPA w/o clarification,7,synthetic,0.6682692307692307,0.0,0.3317307692307692,0.0,0.5672289133071899,0.9496798515319824,0.43277105689048767,0.050320204347372055,624
AIPA w/o clarification,7,all,0.6838697017268446,0.00019623233908948196,0.3159340659340659,0.0,0.5299674272537231,0.9388014078140259,0.47003260254859924,0.06119856983423233,5096
AIPA w/o clarification,42,natural,0.6547406082289803,0.0013416815742397137,0.34391771019677997,0.0,0.5225125551223755,0.9219259023666382,0.4774874150753021,0.07807411253452301,4472
AIPA w/o clarification,42,synthetic,0.5961538461538461,0.008012820512820512,0.3958333333333333,0.0,0.5908663272857666,0.9241481423377991,0.4091336727142334,0.07585180550813675,624
AIPA w/o clarification,42,all,0.6475667189952904,0.0021585557299843012,0.35027472527472525,0.0,0.5308824181556702,0.9221979975700378,0.46911755204200745,0.07780198752880096,5096
AIPA w/o clarification,123,natural,0.554561717352415,0.0017889087656529517,0.44364937388193204,0.0,0.5358208417892456,0.8785446286201477,0.464179128408432,0.1214553490281105,4472
