history_bucket,model,n,seeds,Hit@10_mean,Hit@10_std,NDCG@10_mean,NDCG@10_std
cold,LTP-only,404,5,0.02623762376237624,0.007275712107276767,0.011282037441430498,0.003433048105057207
cold,STI-only,404,5,0.1292079207920792,0.006143402795044984,0.0701467234443455,0.0035482930375005353
cold,Naive fusion,404,5,0.1306930693069307,0.005048534171874048,0.06880350454727871,0.004017700705322441
cold,Adaptive fusion,404,5,0.12178217821782178,0.006715178201114127,0.06357018036280346,0.003917287298386118
cold,Sequential (GRU),404,5,0.07623762376237624,0.01446696950119055,0.04050984079484023,0.005925362673414646
cold,Conversation-aware,404,5,0.1297029702970297,0.016611843302537146,0.06861974305666288,0.006802399505912795
cold,SASRec,404,5,0.07079207920792079,0.016831683168316833,0.035685347838926094,0.0073581997120066205
cold,KBRD-style,404,5,0.1381188118811881,0.00804360238082768,0.07403316786680166,0.0041224170562645
cold,AIPA w/o relationship,404,5,0.13217821782178218,0.008224380062295122,0.07068801903853847,0.0047003429146752545
cold,AIPA w/o counterfactual,404,5,0.1292079207920792,0.013772700735884708,0.06902925797197741,0.006687447945931034
cold,AIPA w/o clarification,404,5,0.13415841584158414,0.007241949919964248,0.07016362790884684,0.006210366930915652
cold,AIPA w/o persistence,404,5,0.13267326732673268,0.012966139459117617,0.07138486301392374,0.008670621126054342
cold,AIPA (rule policy),404,5,0.1316831683168317,0.006895241721378283,0.06850063873025689,0.0019144359049306963
cold,AIPA (full),404,5,0.13267326732673268,0.012966139459117617,0.07138486301392374,0.008670621126054342
short,LTP-only,291,5,0.037800687285223365,0.01129324860835394,0.019610623763985802,0.005488791841225885
short,STI-only,291,5,0.11065292096219932,0.009322790354811365,0.06160690616580818,0.005179904756537895
short,Naive fusion,291,5,0.09278350515463918,0.006147265917525194,0.05071797019420282,0.0038691070017075548
short,Adaptive fusion,291,5,0.09828178694158075,0.008584189688520132,0.05065860704261891,0.005017611376080138
short,Sequential (GRU),291,5,0.07560137457044673,0.012485156099371102,0.03683568355408099,0.0056785819305124425
short,Conversation-aware,291,5,0.11546391752577319,0.00885505067128875,0.06231205452252296,0.004415909988398536
short,SASRec,291,5,0.06460481099656358,0.012931194310808783,0.028841293860040206,0.006093169048942131
short,KBRD-style,291,5,0.10034364261168385,0.006299073120214209,0.05150323097786208,0.002466117862087445
short,AIPA w/o relationship,291,5,0.09072164948453608,0.005991613668097149,0.04813803572032886,0.0025405166461075234
short,AIPA w/o counterfactual,291,5,0.0831615120274914,0.005050494315016864,0.045107147412371935,0.003262115519875936
short,AIPA w/o clarification,291,5,0.09484536082474226,0.011209282769965698,0.04869412095826234,0.00720275696366325
short,AIPA w/o persistence,291,5,0.09003436426116838,0.005912251042640983,0.04793712685891137,0.0046487698938244065
short,AIPA (rule policy),291,5,0.08453608247422681,0.009864398690314316,0.04798844533369385,0.003460530057133175
short,AIPA (full),291,5,0.08934707903780069,0.005323688448395077,0.04773023339110107,0.004834386558229901
mid,LTP-only,504,5,0.0623015873015873,0.007995810190321384,0.03528804208664599,0.003392700777231373
mid,STI-only,504,5,0.12777777777777777,0.006472026361230201,0.06836792144460058,0.005543694577392848
mid,Naive fusion,504,5,0.1257936507936508,0.011878277418329976,0.0677183477008605,0.0062667390490733065
mid,Adaptive fusion,504,5,0.1257936507936508,0.008657708027488659,0.0676233490990551,0.004593711655907551
mid,Sequential (GRU),504,5,0.08611111111111111,0.005112737589970285,0.045845047374751355,0.0022735373918866706
mid,Conversation-aware,504,5,0.125,0.007208691319279747,0.06840293482146156,0.0022769174665128932
mid,SASRec,504,5,0.08849206349206348,0.010765603147817885,0.04576260675556596,0.004927581695647969
mid,KBRD-style,504,5,0.13055555555555556,0.007252248762895661,0.06967467162893137,0.004408495581770587
mid,AIPA w/o relationship,504,5,0.12420634920634921,0.0040855675162646855,0.06789872201262434,0.0035996886186244565
mid,AIPA w/o counterfactual,504,5,0.12182539682539684,0.014773421007131977,0.06543391072202971,0.006860246554871336
mid,AIPA w/o clarification,504,5,0.125,0.004860098695998374,0.06961772540167846,0.00319094910166138
mid,AIPA w/o persistence,504,5,0.12420634920634921,0.007273929674533081,0.06745771013840376,0.00333654110918101
mid,AIPA (rule policy),504,5,0.12976190476190477,0.0032238247637444255,0.06819470163053523,0.003120835170920184
mid,AIPA (full),504,5,0.12420634920634921,0.008190383904980275,0.06748485264284804,0.003529815931185991
long,LTP-only,3273,5,0.05829514207149404,0.004537507660430668,0.03240291674008382,0.002246570093119884
long,STI-only,3273,5,0.12600061106018942,0.004209668108683125,0.06572359080212407,0.0019533323108464947
long,Naive fusion,3273,5,0.11952337305224565,0.0019838292796514403,0.06261878600080739,0.0011057452032745261
long,Adaptive fusion,3273,5,0.12074549343110297,0.005957131735755058,0.062211381671142284,0.0027837607962278286
long,Sequential (GRU),3273,5,0.08615948670944087,0.0030977798608338683,0.04497216074600886,0.0022776963795144664
long,Conversation-aware,3273,5,0.12215093186678887,0.002021122567496633,0.06394738470050568,0.0015992658986173727
long,SASRec,3273,5,0.07925450656889703,0.0032368891263425655,0.038453320324444686,0.001462641545364623
long,KBRD-style,3273,5,0.1282004277421326,0.0014537582955539705,0.066434429815216,0.0017494313675418733
long,AIPA w/o relationship,3273,5,0.11579590589673083,0.0027121712216525698,0.05951349746266893,0.0014579311395673923
long,AIPA w/o counterfactual,3273,5,0.11671249618087383,0.00497929698440901,0.06002729973576966,0.002673320438050816
long,AIPA w/o clarification,3273,5,0.11701802627558815,0.0038791494648588772,0.06111066869969069,0.001420842956473134
