model,n,seeds,Recall@10_mean,Recall@10_std,Recall@10_ci_low,Recall@10_ci_high,Hit@10_mean,Hit@10_std,Hit@10_ci_low,Hit@10_ci_high,NDCG@10_mean,NDCG@10_std,NDCG@10_ci_low,NDCG@10_ci_high,MRR@10_mean,MRR@10_std,MRR@10_ci_low,MRR@10_ci_high,Recall@20_mean,Recall@20_std,Recall@20_ci_low,Recall@20_ci_high,Hit@20_mean,Hit@20_std,Hit@20_ci_low,Hit@20_ci_high,NDCG@20_mean,NDCG@20_std,NDCG@20_ci_low,NDCG@20_ci_high,MRR@20_mean,MRR@20_std,MRR@20_ci_low,MRR@20_ci_high
LTP-only,1015,2,0.053694581280788176,0.0034482758620689655,0.04285714285714286,0.06257389162561577,0.053694581280788176,0.0034482758620689655,0.04285714285714286,0.06257389162561577,0.030465488324440303,0.001995049649925664,0.024576422201191512,0.03673563604893364,0.023363632809445617,0.0016394948784111338,0.01815708812260536,0.028982230823363826,0.07980295566502463,0.004926108374384237,0.06992610837438423,0.09065270935960591,0.07980295566502463,0.004926108374384237,0.06992610837438423,0.09065270935960591,0.0371003656880078,0.002481278992357422,0.031560080074886726,0.04330101190267881,0.025202730102740014,0.001831842545842302,0.020123214066021456,0.0304649347042575
STI-only,1015,2,0.1,0.002463054187192122,0.08717980295566502,0.11332512315270936,0.1,0.002463054187192122,0.08717980295566502,0.11332512315270936,0.05396344803096835,0.0037773432063020716,0.04649672651012957,0.0619190364674305,0.04000410509031199,0.0042624521072796955,0.03375550766283525,0.046457649151614676,0.14334975369458128,0.005418719211822659,0.12853448275862067,0.15911330049261083,0.14334975369458128,0.005418719211822659,0.12853448275862067,0.15911330049261083,0.0649498888495959,0.004515251587270393,0.0574097439974265,0.0728048459354079,0.04303430934136755,0.00446054321025725,0.03686391576152076,0.0493501970801943
Naive fusion,1015,2,0.08817733990147783,0.006403940886699509,0.07631773399014778,0.10100985221674877,0.08817733990147783,0.006403940886699509,0.07631773399014778,0.10100985221674877,0.048436421251298614,0.004725601749398324,0.040515036952276276,0.05647112147745577,0.03648369692704668,0.004197357103761047,0.029755624951129878,0.043573231878958486,0.13201970443349753,0.0009852216748768433,0.11870689655172413,0.14729064039408868,0.13201970443349753,0.0009852216748768433,0.11870689655172413,0.14729064039408868,0.05947392700022179,0.0033060155561052858,0.05167527353102939,0.06757641642362333,0.03948797413109817,0.0037787351729916055,0.03297075064616271,0.04647742526889256
Adaptive fusion,1015,2,0.09408866995073892,0.001477832512315272,0.08076354679802956,0.10788177339901478,0.09408866995073892,0.001477832512315272,0.08076354679802956,0.10788177339901478,0.052907739650668945,0.00026758280881844856,0.04479126171466374,0.06217170920740622,0.04038411916490734,0.0007903276253029973,0.03324017221831261,0.04785534443662523,0.13399014778325122,0.0,0.11772167487684729,0.1497536945812808,0.13399014778325122,0.0,0.11772167487684729,0.1497536945812808,0.06296574454422318,0.0006252836971761162,0.05425375406064301,0.07190119127521423,0.04312989591362374,0.0008803942151446309,0.03600446439426988,0.05071871819902854
Sequential (GRU),1015,2,0.06551724137931034,0.0014778325123152652,0.05517241379310345,0.07832512315270936,0.06551724137931034,0.0014778325123152652,0.05517241379310345,0.07832512315270936,0.038355148137314776,0.00014038860364411557,0.031031936449504346,0.04538230530864171,0.03003440456642427,0.00027367268746579174,0.023256954218469,0.0363898516303073,0.10541871921182266,0.0019704433497536936,0.09261083743842365,0.11677339901477833,0.10541871921182266,0.0019704433497536936,0.09261083743842365,0.11677339901477833,0.048452629484784945,0.00029213024395939244,0.04077053324658664,0.05535304839970949,0.03281070115912038,0.00021771243663449083,0.0258807671225687,0.039163176513937255
Conversation-aware,1015,2,0.07635467980295566,0.0004926108374384217,0.0644950738916256,0.08721674876847291,0.07635467980295566,0.0004926108374384217,0.0644950738916256,0.08721674876847291,0.0454913368272586,0.0005089771166971423,0.037114975794128105,0.05362190676094644,0.03612088513566346,0.0004390491828915495,0.029145129603565564,0.04309166568926421,0.12118226600985221,0.005911330049261081,0.10637931034482759,0.13548029556650246,0.12118226600985221,0.005911330049261081,0.10637931034482759,0.13548029556650246,0.056777381547612055,0.001703363003264284,0.04928997797884564,0.0653554791655074,0.03919502980924919,0.0006717216455621768,0.032352734527396426,0.04627725784205695
AIPA w/o relationship,1015,2,0.09950738916256158,0.0,0.08618226600985222,0.11182266009852217,0.09950738916256158,0.0,0.08618226600985222,0.11182266009852217,0.05657365683606194,0.0008088496099285386,0.048345993472510736,0.06439936185898952,0.04357963875205255,0.001049730236922352,0.03703569473766518,0.05184968038939714,0.1413793103448276,0.0034482758620689724,0.12655172413793103,0.1551847290640394,0.1413793103448276,0.0034482758620689724,0.12655172413793103,0.1551847290640394,0.06692071396051419,8.811914768117046e-05,0.058914499413659616,0.07527653198826309,0.046293774762029574,0.0007871542848437441,0.039556566717426835,0.05459360370820959
AIPA w/o counterfactual,1015,2,0.09310344827586206,0.0034482758620689655,0.08125615763546798,0.10789408866995075,0.09310344827586206,0.0034482758620689655,0.08125615763546798,0.10789408866995075,0.05179627497582406,0.0030317283046893545,0.044358315193043264,0.059760921578194244,0.039217687074829935,0.0029048400969583256,0.032638258464305264,0.047058282508405665,0.13940886699507388,0.002463054187192129,0.12413793103448276,0.15321428571428572,0.13940886699507388,0.002463054187192129,0.12413793103448276,0.15321428571428572,0.0633897152245249,0.0027607565944533473,0.05557438598602092,0.07185857001246287,0.04233890820044338,0.002823889229774633,0.03579996417524489,0.05030732666815028
AIPA w/o clarification,1015,2,0.0876847290640394,0.003940886699507394,0.074371921182266,0.10099753694581282,0.0876847290640394,0.003940886699507394,0.074371921182266,0.10099753694581282,0.048634890009510254,0.0027884840241193184,0.04097102543538672,0.05674908414790662,0.03691688169520682,0.0024962858706701063,0.03051247654234107,0.04388330792086949,0.12413793103448276,0.005911330049261088,0.10836206896551724,0.13794334975369457,0.12413793103448276,0.005911330049261088,0.10836206896551724,0.13794334975369457,0.05778058099327322,0.003342653355360145,0.05009178320798968,0.06660767749928559,0.03939309399128445,0.0026791502436433745,0.0331976086453898,0.04659254796680686
AIPA w/o persistence,1015,2,0.09064039408866995,0.0,0.07730295566502463,0.10149014778325124,0.09064039408866995,0.0,0.07730295566502463,0.10149014778325124,0.052282203455398066,0.0007858649080363828,0.043521218115836216,0.06104854098474367,0.040611462975994994,0.0010665415591523987,0.03304476503244976,0.048632980491046994,0.13990147783251233,0.008866995073891618,0.1256034482758621,0.15467980295566502,0.13990147783251233,0.008866995073891618,0.1256034482758621,0.15467980295566502,0.06456250576282212,0.0029057309406452757,0.056473480733358596,0.07230109826505156,0.043890314710614706,0.0015827514677009095,0.03666722601187916,0.051635463081168655
