model,n,seeds,Recall@10_mean,Recall@10_std,Recall@10_ci_low,Recall@10_ci_high,Hit@10_mean,Hit@10_std,Hit@10_ci_low,Hit@10_ci_high,NDCG@10_mean,NDCG@10_std,NDCG@10_ci_low,NDCG@10_ci_high,MRR@10_mean,MRR@10_std,MRR@10_ci_low,MRR@10_ci_high,Recall@20_mean,Recall@20_std,Recall@20_ci_low,Recall@20_ci_high,Hit@20_mean,Hit@20_std,Hit@20_ci_low,Hit@20_ci_high,NDCG@20_mean,NDCG@20_std,NDCG@20_ci_low,NDCG@20_ci_high,MRR@20_mean,MRR@20_std,MRR@20_ci_low,MRR@20_ci_high
LTP-only,4472,5,0.0545169946332737,0.002865047831493197,0.05165474060822898,0.05742397137745975,0.0545169946332737,0.002865047831493197,0.05165474060822898,0.05742397137745975,0.02998760159741093,0.0013523285019197279,0.02817491373825546,0.03176448891556327,0.022562239117471676,0.0009532944121432584,0.020987449243263196,0.024095281131981713,0.08394454382826476,0.0029347101460685016,0.08031976744186047,0.08774597495527728,0.08394454382826476,0.0029347101460685016,0.08031976744186047,0.08774597495527728,0.03733402646425333,0.0013287177688736382,0.035413967715289964,0.03913765409812391,0.024529505402126305,0.0009482344947285391,0.02289325637958198,0.026069628364239324
STI-only,4472,5,0.12549194991055454,0.004359949054366347,0.12124217352415027,0.1300983899821109,0.12549194991055454,0.004359949054366347,0.12124217352415027,0.1300983899821109,0.06615331642871122,0.0018210445753932209,0.06358383244461402,0.06885276661618471,0.04827267370872022,0.0012947034055070521,0.045890151152142435,0.050597396143907764,0.19642218246869408,0.0034398720076975735,0.19136739713774598,0.20152169051878355,0.19642218246869408,0.0034398720076975735,0.19136739713774598,0.20152169051878355,0.0839982360401677,0.0016585689912979565,0.0815082026677289,0.08671554170324694,0.05312398660401126,0.0013056324195748817,0.05087668790425689,0.05544497674442027
Naive fusion,4472,5,0.11949910554561718,0.0026023857828222133,0.11538461538461539,0.12388305008944545,0.11949910554561718,0.0026023857828222133,0.11538461538461539,0.12388305008944545,0.06297783519353531,0.001388155119446177,0.060453809593868056,0.06551783323226827,0.04595832623448902,0.00122815259717249,0.04378398704815856,0.04815203018073659,0.19051878354203935,0.006794321651103016,0.18542039355992845,0.1956182915921288,0.19051878354203935,0.006794321651103016,0.18542039355992845,0.1956182915921288,0.08083641759209244,0.0025396380475512705,0.07825661298796856,0.08343865096349876,0.050808989849452146,0.0015403546997213684,0.04861827243810448,0.05301893580784267
Adaptive fusion,4472,5,0.11994633273703044,0.004581842030363401,0.11587544722719141,0.12415026833631485,0.11994633273703044,0.004581842030363401,0.11587544722719141,0.12415026833631485,0.06219231388004185,0.0027754288376353902,0.059840955396725216,0.06473206187631908,0.04477413252122554,0.002476290836958949,0.04269423990899281,0.04693655230428487,0.1870304114490161,0.006379222070443455,0.1820639534883721,0.19181686046511628,0.1870304114490161,0.006379222070443455,0.1820639534883721,0.19181686046511628,0.07903913900484447,0.0032795431500218346,0.07658014743315524,0.08161859518980454,0.049338620600725504,0.002607141693335266,0.04725964108866223,0.05149805534289338
Sequential (GRU),4472,5,0.0845706618962433,0.0035424233181239446,0.08108228980322003,0.08823792486583185,0.0845706618962433,0.0035424233181239446,0.08108228980322003,0.08823792486583185,0.044137957422610626,0.0018952089148737703,0.04202047111287154,0.046291472034902324,0.031982813697929977,0.0016953651107087118,0.030162431762359086,0.033819428472044756,0.13237924865831843,0.00471819388010838,0.1281283542039356,0.13694096601073344,0.13237924865831843,0.00471819388010838,0.1281283542039356,0.13694096601073344,0.056063498718478565,0.0016403681205747539,0.05379635355603727,0.05829138231580531,0.03517066381143584,0.0015518859958185717,0.033289956998156005,0.036974570225882096
Conversation-aware,4472,5,0.12271914132379247,0.0023126446285953273,0.11847048300536672,0.12714892665474062,0.12271914132379247,0.0023126446285953273,0.11847048300536672,0.12714892665474062,0.06476521765109969,0.0010091251854450957,0.06232486007090567,0.06737080601041218,0.047315944714200524,0.0011956065639759483,0.04509859984169577,0.0495532471001221,0.18895348837209303,0.005810512260791309,0.18403175313059034,0.1940977191413238,0.18895348837209303,0.005810512260791309,0.18403175313059034,0.1940977191413238,0.08145087380775592,0.0018338987616556138,0.07892672097171372,0.0839896837766536,0.05186455756817021,0.0013461597051873152,0.0496322116743582,0.05409219011882462
SASRec,4472,5,0.07857781753130591,0.004160895652813241,0.07513305008944544,0.08202146690518783,0.07857781753130591,0.004160895652813241,0.07513305008944544,0.08202146690518783,0.03840155819921971,0.001566464395450522,0.03651754088919828,0.04034630063859743,0.026321751568844594,0.0009046739125658902,0.024748722651702307,0.02793927249268819,0.12482110912343472,0.0028050808194215898,0.12070550089445438,0.12920393559928445,0.12482110912343472,0.0028050808194215898,0.12070550089445438,0.12920393559928445,0.05002176683218007,0.001075103409469875,0.048184923440130846,0.05196955269122774,0.029473630215146394,0.0007505057562038108,0.027861001239545224,0.031095915814788478
KBRD-style,4472,5,0.12754919499105546,0.0019524937346102893,0.12321109123434705,0.1316648032200358,0.12754919499105546,0.0019524937346102893,0.12321109123434705,0.1316648032200358,0.06651448195861562,0.0009493368453461893,0.06402005907813287,0.06915920502760253,0.04810700442967885,0.001180470270379072,0.04599833443365419,0.05032965169520402,0.19454382826475847,0.0025180122111376096,0.189578488372093,0.19964333631484793,0.19454382826475847,0.0025180122111376096,0.189578488372093,0.19964333631484793,0.08333248806795551,0.0014545486797568389,0.08082866592986786,0.08600490239604615,0.052660575985621884,0.0013045205839874294,0.0505530118672003,0.054950823133578616
AIPA w/o relationship,4472,5,0.1165921288014311,0.0024025717385623086,0.11256708407871198,0.12066413237924865,0.1165921288014311,0.0024025717385623086,0.11256708407871198,0.12066413237924865,0.060727808849701095,0.0011449997051926374,0.05830981605254199,0.06312664303415114,0.043910540364028736,0.0012267439481777555,0.04176974277337649,0.0461356109975296,0.1873434704830054,0.004644277275759276,0.18215451699463328,0.19217464221824687,0.1873434704830054,0.004644277275759276,0.18215451699463328,0.19217464221824687,0.07845547617817737,0.002071506071855131,0.07596708207126451,0.08102239796920276,0.048690825149876174,0.0015151235554661515,0.046549312117366196,0.05088593153770619
AIPA w/o counterfactual,4472,5,0.11623434704830053,0.003620607271557978,0.11216457960644007,0.1202605098389982,0.11623434704830053,0.003620607271557978,0.11216457960644007,0.1202605098389982,0.060478989972441,0.0023252045649521705,0.05798107408751247,0.0629495683390851,0.04371390237669307,0.0021390729770202213,0.041539139034415196,0.045927361962972424,0.18564400715563506,0.0025589838105402433,0.18076811270125223,0.19087768336314848,0.18564400715563506,0.0025589838105402433,0.18076811270125223,0.19087768336314848,0.07793941307787117,0.0021583242740366845,0.07540043217232707,0.08056856925321908,0.04845984283055575,0.0020974795223247973,0.046221981405030366,0.0506511711595935
