model,n,seeds,Recall@10_mean,Recall@10_std,Recall@10_ci_low,Recall@10_ci_high,Hit@10_mean,Hit@10_std,Hit@10_ci_low,Hit@10_ci_high,NDCG@10_mean,NDCG@10_std,NDCG@10_ci_low,NDCG@10_ci_high,MRR@10_mean,MRR@10_std,MRR@10_ci_low,MRR@10_ci_high,Recall@20_mean,Recall@20_std,Recall@20_ci_low,Recall@20_ci_high,Hit@20_mean,Hit@20_std,Hit@20_ci_low,Hit@20_ci_high,NDCG@20_mean,NDCG@20_std,NDCG@20_ci_low,NDCG@20_ci_high,MRR@20_mean,MRR@20_std,MRR@20_ci_low,MRR@20_ci_high
LTP-only,125,2,0.052000000000000005,0.012,0.028,0.084,0.052000000000000005,0.012,0.028,0.084,0.024956012582924847,0.0030115326281843387,0.012242851400912622,0.041868251901023626,0.016933333333333335,0.0006666666666666678,0.006660833333333333,0.031937499999999994,0.068,0.012,0.036,0.108,0.068,0.012,0.036,0.108,0.029040290828734182,0.0029469503952176037,0.015028982807557878,0.047178828906655215,0.01806972635207929,0.0006162464985994421,0.007706602564102564,0.03318504901960784
STI-only,125,2,0.16399999999999998,0.011999999999999997,0.116,0.2121,0.16399999999999998,0.011999999999999997,0.116,0.2121,0.07872932591368634,0.011501454614946297,0.05366939048154468,0.10283604237195582,0.053423809523809526,0.011626984126984128,0.03430214285714285,0.0738222619047619,0.264,0.023999999999999994,0.208,0.324,0.264,0.023999999999999994,0.208,0.324,0.10412287084707977,0.014626400663835817,0.08039058454107469,0.12937615457982746,0.06044811421808326,0.012528230833493994,0.042031248104320865,0.08169824746117316
Naive fusion,125,2,0.132,0.0040000000000000036,0.096,0.18,0.132,0.0040000000000000036,0.096,0.18,0.07127543358476954,0.001913789290338308,0.04851784454909125,0.1014772747816375,0.05309682539682539,0.003633333333333332,0.032073055555555556,0.08149896825396828,0.22,0.027999999999999997,0.168,0.27610000000000007,0.22,0.027999999999999997,0.168,0.27610000000000007,0.09351461421979845,0.004288219209330403,0.06979497108106736,0.12828941686294762,0.05918487932775858,0.0018744864526598244,0.03924406194081116,0.08682525456097052
Adaptive fusion,125,2,0.14400000000000002,0.016,0.1,0.188,0.14400000000000002,0.016,0.1,0.188,0.07332916571386683,0.013939469977582976,0.04928998579044994,0.10078662200303577,0.052196825396825394,0.01293650793650793,0.03180670634920635,0.07708710317460317,0.26,0.01200000000000001,0.204,0.312,0.26,0.01200000000000001,0.204,0.312,0.10235891726387565,0.013258923984899251,0.07779820345497322,0.13265300978937067,0.06002289336050945,0.012910169483079697,0.04132824197044785,0.08443870236145004
Sequential (GRU),125,2,0.044,0.004,0.02,0.08,0.044,0.004,0.02,0.08,0.019535850228683878,0.004888060347180195,0.008758110564278452,0.03574678482285482,0.012277777777777778,0.005122222222222224,0.004809444444444445,0.026247500000000003,0.056,0.0,0.028,0.096,0.056,0.0,0.028,0.096,0.02267421028246423,0.003911605528818401,0.0115720430260917,0.04028633398751092,0.013196969696969697,0.004869696969696969,0.005526969696969696,0.026708055555555554
Conversation-aware,125,2,0.044,0.004,0.02,0.076,0.044,0.004,0.02,0.076,0.019431086882338758,0.001336210825195439,0.009305113796898058,0.031588154298776434,0.012314285714285715,0.0028857142857142866,0.005029642857142858,0.022602499999999998,0.068,0.019999999999999997,0.04,0.108,0.068,0.019999999999999997,0.04,0.108,0.025341710969153643,0.002574413261619446,0.012694383574917116,0.03929213625748742,0.013851551956815115,0.0018817813765182202,0.006243694813957973,0.02474495855022171
AIPA w/o relationship,125,2,0.14,0.00399999999999999,0.096,0.188,0.14,0.00399999999999999,0.096,0.188,0.07497880638025443,0.0003177933097592983,0.051674253586664,0.10520984753243176,0.0552031746031746,0.0010507936507936494,0.03479396825396825,0.08117420634920634,0.26,0.020000000000000018,0.212,0.316,0.26,0.020000000000000018,0.212,0.316,0.10529276649507854,0.0038839048756859965,0.08193194820869502,0.1339004844871253,0.06351124716356915,0.0003168312939210785,0.04459934481540132,0.08903234155936944
AIPA w/o counterfactual,125,2,0.16399999999999998,0.011999999999999997,0.124,0.21610000000000001,0.16399999999999998,0.011999999999999997,0.124,0.21610000000000001,0.07943068108328066,0.001409922899691815,0.05861717908389647,0.11284215907478287,0.05419047619047619,0.0012857142857142859,0.03553964285714286,0.07847948412698415,0.256,0.008000000000000007,0.2079,0.312,0.256,0.008000000000000007,0.2079,0.312,0.10260481272309255,0.0033939431862416367,0.08200546986271069,0.13353823034361634,0.060503184225475244,0.0024779514603044048,0.04220034194950217,0.08462682391052362
AIPA w/o clarification,125,2,0.14,0.00399999999999999,0.10389999999999999,0.1841,0.14,0.00399999999999999,0.10389999999999999,0.1841,0.07055179266202498,0.0013011544091524746,0.047438361631532366,0.0995860813898959,0.04984761904761904,0.0031047619047619053,0.028703809523809527,0.0761164285714286,0.268,0.01200000000000001,0.224,0.32410000000000005,0.268,0.01200000000000001,0.224,0.32410000000000005,0.10288588174964741,0.005497874429033316,0.07944173796810326,0.1353175189474409,0.05869209947259482,0.0043390828985256195,0.038032046541349944,0.0860723714370425
AIPA w/o persistence,125,2,0.14800000000000002,0.020000000000000004,0.104,0.196,0.14800000000000002,0.020000000000000004,0.104,0.196,0.07364853570117678,0.0072499104210495685,0.05063591165572916,0.10441379698494628,0.051587301587301584,0.0034317460317460358,0.03102904761904762,0.07804138888888888,0.248,0.0,0.19590000000000002,0.312,0.248,0.0,0.19590000000000002,0.312,0.09898340260872912,0.002198647815598337,0.07386498843533838,0.12964366329508473,0.05857951369236199,0.0020624879248718267,0.03902684898563768,0.0855262631889954
AIPA (rule policy),125,2,0.124,0.019999999999999997,0.084,0.164,0.124,0.019999999999999997,0.084,0.164,0.06381684894572569,0.008154215763445046,0.043873982280562836,0.08707350670918021,0.045676190476190474,0.004977777777777775,0.026966547619047616,0.06635190476190475,0.268,0.0040000000000000036,0.2159,0.31610000000000005,0.268,0.0040000000000000036,0.2159,0.31610000000000005,0.09976385253749886,0.004884231048463555,0.07719607705876606,0.12422257031516157,0.05529099935152566,0.0044670426065162895,0.03716936039837356,0.07589972766999081
AIPA (full),125,2,0.14800000000000002,0.020000000000000004,0.104,0.196,0.14800000000000002,0.020000000000000004,0.104,0.196,0.07364853570117678,0.0072499104210495685,0.05063591165572916,0.10441379698494628,0.051587301587301584,0.0034317460317460358,0.03102904761904762,0.07804138888888888,0.248,0.0,0.19590000000000002,0.312,0.248,0.0,0.19590000000000002,0.312,0.09898340260872912,0.002198647815598337,0.07386498843533838,0.12964366329508473,0.05857951369236199,0.0020624879248718267,0.03902684898563768,0.0855262631889954
