model,seed,seeker_id,genre,conv_id
AIPA w/o relationship,42,1009,Crime,21225
AIPA w/o relationship,42,1009,Comedy,21825
AIPA w/o relationship,42,1011,Comedy,21113
AIPA w/o relationship,42,1011,Drama,21683
AIPA w/o relationship,42,1011,Horror,21718
AIPA w/o relationship,42,1016,Horror,20930
AIPA w/o relationship,42,1016,Action,21728
AIPA w/o relationship,42,1022,Comedy,21593
AIPA w/o relationship,42,1022,Horror,21678
AIPA w/o relationship,42,1024,Animation,21627
AIPA w/o relationship,42,1034,Comedy,21335
AIPA w/o relationship,42,1034,Horror,21958
AIPA w/o relationship,42,1034,Drama,22037
AIPA w/o relationship,42,1035,Comedy,21317
AIPA w/o relationship,42,1035,Horror,22099
AIPA w/o relationship,42,1035,Romance,22922
AIPA w/o relationship,42,1046,Comedy,22959
AIPA w/o relationship,42,1048,Animation,22919
AIPA w/o relationship,42,1053,Horror,21877
AIPA w/o relationship,42,1057,Crime,22134
AIPA w/o relationship,42,1074,Horror,22354
AIPA w/o relationship,42,1087,War,22721
AIPA w/o relationship,42,1087,Animation,22869
AIPA w/o relationship,42,1087,Comedy,22972
AIPA w/o relationship,42,1087,Action,23061
AIPA w/o relationship,42,1087,Horror,23110
AIPA w/o relationship,42,1093,Action,22937
AIPA w/o relationship,42,1093,Horror,23050
AIPA w/o relationship,42,1099,Horror,23092
AIPA w/o relationship,42,1099,Animation,23093
AIPA w/o relationship,42,1110,Action,23277
AIPA w/o relationship,42,959,Horror,21904
AIPA w/o relationship,42,960,Horror,20895
AIPA w/o relationship,42,961,Horror,20095
AIPA w/o relationship,42,972,Comedy,22169
AIPA w/o relationship,42,976,Comedy,20543
AIPA w/o relationship,42,996,Comedy,22739
AIPA w/o relationship,42,997,Horror,20780
AIPA w/o relationship,42,997,Comedy,21065
AIPA w/o counterfactual,42,1009,Crime,21225
AIPA w/o counterfactual,42,1009,Comedy,21825
AIPA w/o counterfactual,42,1011,Comedy,21113
AIPA w/o counterfactual,42,1011,Drama,21683
AIPA w/o counterfactual,42,1011,Horror,21718
AIPA w/o counterfactual,42,1016,Horror,20930
AIPA w/o counterfactual,42,1022,Horror,21678
AIPA w/o counterfactual,42,1034,Comedy,21400
AIPA w/o counterfactual,42,1034,Drama,22037
AIPA w/o counterfactual,42,1034,Horror,22052
AIPA w/o counterfactual,42,1035,Comedy,21317
AIPA w/o counterfactual,42,1035,Horror,22099
AIPA w/o counterfactual,42,1035,Children,22130
AIPA w/o counterfactual,42,1035,Romance,22922
AIPA w/o counterfactual,42,1046,Comedy,22135
AIPA w/o counterfactual,42,1048,Animation,22919
AIPA w/o counterfactual,42,1053,Horror,21877
AIPA w/o counterfactual,42,1053,Action,22139
AIPA w/o counterfactual,42,1054,Action,21918
AIPA w/o counterfactual,42,1059,Comedy,23295
AIPA w/o counterfactual,42,1074,Horror,23249
AIPA w/o counterfactual,42,1087,War,22841
AIPA w/o counterfactual,42,1087,Animation,22869
AIPA w/o counterfactual,42,1087,Comedy,22972
AIPA w/o counterfactual,42,1087,Horror,23110
AIPA w/o counterfactual,42,1093,Action,22937
AIPA w/o counterfactual,42,1093,Horror,23050
AIPA w/o counterfactual,42,1099,Horror,23092
AIPA w/o counterfactual,42,1099,Animation,23093
AIPA w/o counterfactual,42,1110,Action,23277
AIPA w/o counterfactual,42,959,Horror,21904
AIPA w/o counterfactual,42,959,Romance,22159
AIPA w/o counterfactual,42,960,Horror,20895
AIPA w/o counterfactual,42,972,Comedy,21504
AIPA w/o counterfactual,42,976,Comedy,20543
AIPA w/o counterfactual,42,979,Musical,21644
AIPA w/o counterfactual,42,996,Comedy,22739
AIPA w/o counterfactual,42,997,Horror,20780
AIPA w/o counterfactual,42,997,Comedy,21065
AIPA w/o clarification,42,1008,Comedy,21914
AIPA w/o clarification,42,1009,Comedy,22441
AIPA w/o clarification,42,1011,Comedy,21113
AIPA w/o clarification,42,1011,Drama,21562
AIPA w/o clarification,42,1011,Horror,21718
AIPA w/o clarification,42,1016,Horror,20930
AIPA w/o clarification,42,1022,Comedy,21593
AIPA w/o clarification,42,1024,Animation,21627
AIPA w/o clarification,42,1034,Romance,21378
AIPA w/o clarification,42,1034,Comedy,21400
AIPA w/o clarification,42,1034,Horror,22052
AIPA w/o clarification,42,1035,Comedy,21317
AIPA w/o clarification,42,1035,Horror,22099
AIPA w/o clarification,42,1035,Children,22130
AIPA w/o clarification,42,1035,Romance,22922
AIPA w/o clarification,42,1048,Animation,22919
AIPA w/o clarification,42,1053,Horror,21877
AIPA w/o clarification,42,1054,Action,21918
AIPA w/o clarification,42,1059,Comedy,23295
AIPA w/o clarification,42,1074,Horror,23249
AIPA w/o clarification,42,1087,Romance,22636
AIPA w/o clarification,42,1087,Action,22711
AIPA w/o clarification,42,1087,War,22841
AIPA w/o clarification,42,1087,Animation,22869
AIPA w/o clarification,42,1087,Comedy,22934
AIPA w/o clarification,42,1087,Horror,23110
AIPA w/o clarification,42,1093,Action,22937
AIPA w/o clarification,42,1093,Horror,23050
AIPA w/o clarification,42,1099,Horror,23092
AIPA w/o clarification,42,1110,Action,23277
AIPA w/o clarification,42,959,Horror,21904
AIPA w/o clarification,42,959,Romance,22159
AIPA w/o clarification,42,959,Comedy,22409
AIPA w/o clarification,42,960,Horror,20971
AIPA w/o clarification,42,972,Comedy,22169
AIPA w/o clarification,42,976,Comedy,20543
AIPA w/o clarification,42,979,Musical,21644
AIPA w/o clarification,42,996,Comedy,22739
AIPA w/o clarification,42,997,Comedy,20711
AIPA w/o clarification,42,997,Horror,20780
AIPA w/o clarification,42,997,Musical,21125
AIPA (rule policy),42,1008,Comedy,21009
AIPA (rule policy),42,1009,Crime,21225
AIPA (rule policy),42,1009,Comedy,22441
AIPA (rule policy),42,1011,Comedy,21113
AIPA (rule policy),42,1011,Drama,21683
AIPA (rule policy),42,1011,Horror,21718
AIPA (rule policy),42,1016,Drama,20836
AIPA (rule policy),42,1022,Comedy,21593
AIPA (rule policy),42,1024,Animation,21627
AIPA (rule policy),42,1034,Comedy,21786
AIPA (rule policy),42,1034,Horror,21968
AIPA (rule policy),42,1035,Comedy,21317
AIPA (rule policy),42,1035,Horror,22099
AIPA (rule policy),42,1035,Children,22130
AIPA (rule policy),42,1035,Romance,22922
AIPA (rule policy),42,1048,Animation,22919
AIPA (rule policy),42,1053,Horror,21877
AIPA (rule policy),42,1053,Action,22139
