model,seed,subset,accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,F1_Complement,F1_Consistent,F1_Conflict,F1_Override,F1_Uncertain
AIPA (full),7,natural,0.7976296958855098,0.6683254430042459,0.6490625348140919,0.6574536781395148,0.8001356821461141,0.5579288025889968,0.8413231064237776,0.4863013698630137,0.4507042253521127,0.9510108864696734
AIPA (full),7,synthetic,0.9583333333333334,0.9610020099754337,0.9560734859536902,0.9575602938644272,0.958321811950461,0.9197080291970803,0.9609375,0.9295774647887324,0.9775784753363229,1.0
AIPA (full),7,all,0.8173076923076923,0.7832150602028537,0.7666881870666029,0.7743244687167465,0.8193708390972426,0.6124244090159429,0.8482384823848238,0.6047678795483061,0.8503401360544217,0.9558514365802383
AIPA (full),42,natural,0.7983005366726297,0.6343092034738161,0.5945035971783474,0.6113770846027122,0.7960307308967143,0.5470548408937035,0.8417648417648418,0.44656488549618323,0.2647058823529412,0.9567949725058916
AIPA (full),42,synthetic,0.967948717948718,0.9706961745975491,0.9649660531926832,0.9665935103244838,0.9676663857283325,0.9428571428571428,0.984,0.9238095238095239,0.9823008849557522,1.0
AIPA (full),42,all,0.8190737833594977,0.7847538130282918,0.7474314558387924,0.7640394841886736,0.8183060658152547,0.610130904951622,0.8495304651670671,0.5831062670299727,0.8163265306122449,0.9611032531824611
AIPA (full),123,natural,0.8041144901610018,0.6515961560999355,0.5734616390112711,0.5954994242822529,0.7934969833057073,0.546831955922865,0.8523263654753878,0.3422982885085575,0.28169014084507044,0.9543503706593836
AIPA (full),123,synthetic,0.9663461538461539,0.9696044413601665,0.9637666928515319,0.9654264191705281,0.9662107225488789,0.9386281588447654,0.968503937007874,0.9333333333333333,0.9866666666666667,1.0
AIPA (full),123,all,0.8239795918367347,0.8083524594213195,0.7313461991784506,0.7574911182298067,0.8183190089097873,0.6096009253903991,0.8586008930469913,0.5428109854604201,0.8175675675675675,0.9588752196836555
AIPA (full),2024,natural,0.7996422182468694,0.6427970738202464,0.6204568255416926,0.6289336253429895,0.79863397044548,0.5637411915438821,0.8527131782945736,0.35856573705179284,0.4155844155844156,0.9540636042402827
AIPA (full),2024,synthetic,0.9615384615384616,0.9641499688778822,0.9595196012419107,0.9606146538561944,0.9612931593066275,0.9264705882352942,0.9571984435797666,0.9238095238095239,0.9955947136563876,1.0
AIPA (full),2024,all,0.8194662480376766,0.7770857601956396,0.7516164238326468,0.7617673020538444,0.8191952238792012,0.6175668303327878,0.8586619406291538,0.5252808988764045,0.8486842105263158,0.95864262990456
AIPA (full),31337,natural,0.8018783542039356,0.6428794956876382,0.6596746230062009,0.6421717084326046,0.7991593726064361,0.5469728601252609,0.8511520737327188,0.42661448140900193,0.4339622641509434,0.952156862745098
AIPA (full),31337,synthetic,0.9583333333333334,0.9599006875477464,0.9591417910447761,0.9580796143533785,0.9580345471505168,0.9090909090909091,0.935361216730038,0.9459459459459459,1.0,1.0
AIPA (full),31337,all,0.8210361067503925,0.7687613826738888,0.7650105685746441,0.7636657785883774,0.8185122030717309,0.6011834319526628,0.8559635020638714,0.5839017735334243,0.8203592814371258,0.9569209039548022
AIPA (rule policy),7,natural,0.799865831842576,0.6474466102656806,0.6057584950283075,0.6234726172976794,0.7959801427165728,0.5552486187845304,0.8466117216117216,0.3968871595330739,0.36619718309859156,0.9524184034604798
AIPA (rule policy),7,synthetic,0.9535256410256411,0.9576914859523555,0.9494809785658175,0.951142261159783,0.9527379042178793,0.9219858156028369,0.9647058823529412,0.8823529411764706,0.9866666666666667,1.0
AIPA (rule policy),7,all,0.8186813186813187,0.7821698032383437,0.742366664995452,0.7595958997274053,0.8163812512825003,0.6150289017341041,0.8531256759679862,0.5348189415041783,0.8378378378378378,0.9571681415929204
AIPA (rule policy),42,natural,0.7900268336314848,0.6198372156048036,0.6534226442038903,0.6319517268075815,0.7947200796447281,0.5504950495049505,0.8315308819995193,0.4934640522875817,0.3300970873786408,0.954171562867215
AIPA (rule policy),42,synthetic,0.9807692307692307,0.9817844467283315,0.9796106575138246,0.980420654614203,0.9807238787542758,0.9597069597069597,0.9838709677419355,0.9585253456221198,1.0,1.0
AIPA (rule policy),42,all,0.8133830455259027,0.7536081398833225,0.776359523554962,0.7637090333163031,0.8158542522396628,0.6129753914988815,0.8400997958720798,0.6151990349819059,0.7915407854984894,0.9587301587301588
