model,intensity,n,Recall@10,Hit@10,NDCG@10,MRR@10,Recall@20,Hit@20,NDCG@20,MRR@20
AIPA (full),1,85,0.23294117647058823,0.23294117647058823,0.1241065484126517,0.09114379084967321,0.37176470588235294,0.37176470588235294,0.15913824680644487,0.1007166831024052
AIPA (full),2,68,0.31176470588235294,0.31176470588235294,0.16124110935853875,0.11590102707749766,0.4264705882352941,0.4264705882352941,0.19000092836504182,0.1236865180717621
AIPA (full),3,73,0.20273972602739726,0.20273972602739726,0.08630396243470341,0.05180908893237661,0.35342465753424657,0.35342465753424657,0.1238009691121382,0.06177660473506353
AIPA (rule policy),1,85,0.23529411764705882,0.23529411764705882,0.13669688968519894,0.1063062558356676,0.3764705882352941,0.3764705882352941,0.1719665170950711,0.1157672772602658
AIPA (rule policy),2,68,0.29705882352941176,0.29705882352941176,0.16083545793610268,0.11888188608776844,0.4235294117647059,0.4235294117647059,0.1929479981587577,0.12776561281956475
AIPA (rule policy),3,73,0.16986301369863013,0.16986301369863013,0.07709437435167305,0.0494564035659926,0.33972602739726027,0.33972602739726027,0.11969846608221453,0.06097697202684691
AIPA w/o clarification,1,85,0.24705882352941178,0.24705882352941178,0.13337936092663674,0.0994453781512605,0.37411764705882355,0.37411764705882355,0.1654776561523283,0.10824984807984261
AIPA w/o clarification,2,68,0.3264705882352941,0.3264705882352941,0.16586057564210963,0.1173704481792717,0.47941176470588237,0.47941176470588237,0.20366567442784048,0.1272698207087435
AIPA w/o clarification,3,73,0.16164383561643836,0.16164383561643836,0.07222716198919493,0.04584148727984345,0.336986301369863,0.336986301369863,0.1160300279852618,0.05757581926863915
AIPA w/o counterfactual,1,85,0.2611764705882353,0.2611764705882353,0.13871537832426736,0.10219887955182073,0.36705882352941177,0.36705882352941177,0.16503784297475488,0.1091872919265926
AIPA w/o counterfactual,2,68,0.3029411764705882,0.3029411764705882,0.15486000647409698,0.11033730158730158,0.4117647058823529,0.4117647058823529,0.18190551777210184,0.11750038947828513
AIPA w/o counterfactual,3,73,0.1643835616438356,0.1643835616438356,0.07754479089770547,0.051445966514459665,0.27945205479452057,0.27945205479452057,0.10624885458006993,0.0591074490207193
AIPA w/o persistence,1,85,0.23294117647058823,0.23294117647058823,0.1241065484126517,0.09114379084967321,0.37176470588235294,0.37176470588235294,0.15913824680644487,0.1007166831024052
AIPA w/o persistence,2,68,0.31176470588235294,0.31176470588235294,0.16124110935853875,0.11590102707749766,0.4264705882352941,0.4264705882352941,0.19000092836504182,0.1236865180717621
AIPA w/o persistence,3,73,0.20273972602739726,0.20273972602739726,0.08630396243470341,0.05180908893237661,0.35342465753424657,0.35342465753424657,0.1238009691121382,0.06177660473506353
AIPA w/o relationship,1,85,0.2635294117647059,0.2635294117647059,0.1491086303501134,0.11428197945845005,0.3788235294117647,0.3788235294117647,0.17792065484593134,0.1220277173705511
AIPA w/o relationship,2,68,0.31470588235294117,0.31470588235294117,0.16298623535197226,0.11708216619981326,0.43823529411764706,0.43823529411764706,0.19389340201878247,0.12539090557199736
AIPA w/o relationship,3,73,0.15342465753424658,0.15342465753424658,0.07008864340804463,0.04524787997390737,0.3315068493150685,0.3315068493150685,0.11492883509540595,0.057448451125239795
Adaptive fusion,1,85,0.2847058823529412,0.2847058823529412,0.1529807755801735,0.11300933706816059,0.4211764705882353,0.4211764705882353,0.18693149571742515,0.12203757832850894
Adaptive fusion,2,68,0.3088235294117647,0.3088235294117647,0.1609988426306471,0.1165172735760971,0.4676470588235294,0.4676470588235294,0.2011524876983301,0.12753614169476488
Adaptive fusion,3,73,0.2,0.2,0.08858336582568616,0.05517395085888236,0.32602739726027397,0.32602739726027397,0.12026040921830158,0.06377406631425037
Conversation-aware,1,85,0.2235294117647059,0.2235294117647059,0.1304268596050485,0.10207843137254902,0.3270588235294118,0.3270588235294118,0.15592978612201636,0.10873998308900876
Conversation-aware,2,68,0.31470588235294117,0.31470588235294117,0.17337060875654547,0.1304295051353875,0.43529411764705883,0.43529411764705883,0.2033675067895221,0.1384044919143262
Conversation-aware,3,73,0.1506849315068493,0.1506849315068493,0.0698157423109654,0.046032833224614045,0.27671232876712326,0.27671232876712326,0.10170172531109284,0.05479896954386967
KBRD-style,1,85,0.27058823529411763,0.27058823529411763,0.15186111146605133,0.11509617180205416,0.39294117647058824,0.39294117647058824,0.1825144719220921,0.12336053810411851
KBRD-style,2,68,0.3088235294117647,0.3088235294117647,0.17648036655172397,0.13567810457516338,0.4294117647058823,0.4294117647058823,0.20701713110155875,0.14409162624036964
KBRD-style,3,73,0.19726027397260273,0.19726027397260273,0.09296889308471784,0.06175907806044792,0.3315068493150685,0.3315068493150685,0.12722733234717068,0.07132740198762931
LTP-only,1,85,0.03294117647058824,0.03294117647058824,0.011474621539794772,0.005309990662931839,0.06352941176470588,0.06352941176470588,0.01926749995902334,0.007477672411564234
LTP-only,2,68,0.03529411764705882,0.03529411764705882,0.012148743292804872,0.005534547152194211,0.07352941176470588,0.07352941176470588,0.021541519313740792,0.00796766885252589
LTP-only,3,73,0.0136986301369863,0.0136986301369863,0.005457924213442641,0.003016960208741031,0.0273972602739726,0.0273972602739726,0.008937373327995315,0.00398139911838542
Naive fusion,1,85,0.24235294117647058,0.24235294117647058,0.1351107032979884,0.10217833800186742,0.38588235294117645,0.38588235294117645,0.17133868932129612,0.11207762315993967
Naive fusion,2,68,0.27058823529411763,0.27058823529411763,0.14419225177552833,0.10623366013071896,0.43823529411764706,0.43823529411764706,0.1863214794272646,0.11766016980197001
Naive fusion,3,73,0.2,0.2,0.08585876809542903,0.05187323331158947,0.32602739726027397,0.32602739726027397,0.11750621828074079,0.060443389081902166
SASRec,1,85,0.009411764705882352,0.009411764705882352,0.003312056911270127,0.0015555555555555555,0.01647058823529412,0.01647058823529412,0.005066811008630002,0.002018893832042621
SASRec,2,68,0.011764705882352941,0.011764705882352941,0.004141379245489405,0.0019234360410831,0.026470588235294117,0.026470588235294117,0.007864085432461641,0.0029428426725139527
SASRec,3,73,0.0,0.0,0.0,0.0,0.005479452054794521,0.005479452054794521,0.0013552069647074685,0.00035388127853881274
STI-only,1,85,0.24235294117647058,0.24235294117647058,0.1363535730807913,0.1043548085901027,0.35058823529411764,0.35058823529411764,0.16346509482909505,0.1116565899447888
STI-only,2,68,0.3029411764705882,0.3029411764705882,0.15936517956715254,0.11581582633053221,0.4441176470588235,0.4441176470588235,0.19565045949205795,0.12608919686467038
STI-only,3,73,0.1726027397260274,0.1726027397260274,0.07801649804355744,0.04990976299195477,0.3452054794520548,0.3452054794520548,0.12178193692312793,0.061991398282271515
Sequential (GRU),1,85,0.021176470588235293,0.021176470588235293,0.007696238259169685,0.0037348272642390287,0.04470588235294118,0.04470588235294118,0.013615188072751756,0.005341830026951135
Sequential (GRU),2,68,0.026470588235294117,0.026470588235294117,0.009161609613344585,0.0041783380018674135,0.052941176470588235,0.052941176470588235,0.015673472247547435,0.005870880962963461
Sequential (GRU),3,73,0.0027397260273972603,0.0027397260273972603,0.0011799357755435426,0.0006849315068493151,0.005479452054794521,0.005479452054794521,0.0018369562318945876,0.0008460918614020951
