treatment,control,metric,n,mean_diff,t_p,wilcoxon_p,perm_p,cohen_d,cliffs_delta,n_samples,n_seeds,seed_std_diff,t_p_holm,wilcoxon_p_holm,perm_p_holm,subset
AIPA (full),AIPA (rule policy),Hit@10,2154,0.004642525533890436,0.34909043728313005,0.6823129652990922,0.408295852073963,0.020179590044083158,0.0046425255338904264,1077,2,0.004642525533890436,1.0,1.0,1.0,natural
AIPA (full),AIPA w/o clarification,Hit@10,2154,0.002785515320334262,0.05776209638563412,0.7969432631538224,0.11444277861069466,0.040906355671722024,0.0027855153203342475,1077,2,0.0009285051067780873,0.40433467469943885,1.0,0.8010994502748626,natural
AIPA (full),AIPA w/o counterfactual,Hit@10,2154,-0.009749303621169917,0.05017719659141391,0.3902443667599039,0.07196401799100449,-0.04222149664927747,-0.009749303621169922,1077,2,0.0023212627669452184,0.4014175727313113,1.0,0.5757121439280359,natural
AIPA (full),AIPA w/o persistence,Hit@10,2154,0.0,,,,,,1077,2,0.0,,,,natural
AIPA (full),AIPA w/o relationship,Hit@10,2154,-0.01160631383472609,0.02078427487629705,0.3068110785975625,0.030484757621189407,-0.04984970398797894,-0.0116063138347261,1077,2,0.0023212627669452184,0.18705847388667346,1.0,0.27436281859070466,natural
AIPA (full),Adaptive fusion,Hit@10,2154,-0.001392757660167131,0.7505665909537226,0.901198989040982,0.8420789605197402,-0.006850350012915715,-0.0013927576601671376,1077,2,0.0023212627669452184,1.0,1.0,1.0,natural
AIPA (full),Conversation-aware,Hit@10,2154,0.01532033426183844,0.005100799550594497,0.18149215025019605,0.0079960019990005,0.06040516901691298,0.01532033426183843,1077,2,0.0013927576601671316,0.05100799550594497,1.0,0.07996001999000499,natural
AIPA (full),KBRD-style,Hit@10,2154,-0.0064995357474466105,0.2654711287337976,0.5739331817689333,0.3103448275862069,-0.023999428561202164,-0.006499535747446633,1077,2,0.001857010213556175,1.0,1.0,1.0,natural
AIPA (full),LTP-only,Hit@10,2154,0.039925719591457756,8.291121831951647e-12,0.0005585284388112021,0.0004997501249375312,0.148055825739149,0.039925719591457756,1077,2,0.0018570102135561754,1.0778458381537141e-10,0.007260869704545627,0.006496751624187906,natural
AIPA (full),Naive fusion,Hit@10,2154,0.00046425255338904364,0.9237196250629147,0.9672797080001251,1.0,0.00206330766646902,0.00046425255338904126,1077,2,0.00510677808727948,1.0,1.0,1.0,natural
AIPA (full),SASRec,Hit@10,2154,0.034818941504178275,7.051641670965579e-09,0.0027166723436278226,0.0004997501249375312,0.12524944855661263,0.03481894150417826,1077,2,0.0023212627669452167,8.461970005158695e-08,0.032600068123533874,0.006496751624187906,natural
AIPA (full),STI-only,Hit@10,2154,-0.003714020427112349,0.47262531259464724,0.7444041330516515,0.5327336331834083,-0.015477738260621496,-0.003714020427112358,1077,2,0.002785515320334262,1.0,1.0,1.0,natural
AIPA (full),Sequential (GRU),Hit@10,2154,0.02692664809656453,3.2590220910139403e-06,0.019733066716463694,0.0004997501249375312,0.10053721889252824,0.02692664809656453,1077,2,0.004642525533890435,3.584924300115334e-05,0.21706373388110065,0.006496751624187906,natural
AIPA (full),AIPA (rule policy),NDCG@10,2154,0.0018834220670778498,0.5014993708119357,0.46066792826039127,0.5107446276861569,0.014484557717705428,0.004748997567954577,1077,2,0.0027516085310602878,1.0,1.0,1.0,natural
AIPA (full),AIPA w/o clarification,NDCG@10,2154,0.0013978462817065115,0.0486121823604643,0.4519961601781449,0.04597701149425287,0.04251338554936704,0.0026766724515034646,1077,2,0.0002189586288739334,0.4375096412441787,1.0,0.41379310344827586,natural
AIPA (full),AIPA w/o counterfactual,NDCG@10,2154,-0.0009269166457891167,0.717566872230646,0.9858966720107672,0.7246376811594203,-0.00779466969979717,-0.008762820827826534,1077,2,0.0022304013093439397,1.0,1.0,1.0,natural
AIPA (full),AIPA w/o persistence,NDCG@10,2154,2.7939920460132452e-05,0.08932957367010985,0.8973026542067959,0.2413793103448276,0.03662287768457062,1.745796509955433e-05,1077,2,6.701430418638609e-06,0.7146365893608788,1.0,1.0,natural
AIPA (full),AIPA w/o relationship,NDCG@10,2154,-0.0017264231046966686,0.5043546416513648,0.9527807945357801,0.504247876061969,-0.014388030624740814,-0.010512496885585254,1077,2,0.0022879776089607127,1.0,1.0,1.0,natural
AIPA (full),Adaptive fusion,NDCG@10,2154,-0.0007038446115173803,0.7651974481712303,0.6508275225851081,0.768615692153923,-0.0064359551876513365,-0.0013321936084019076,1077,2,0.00023925513146787626,1.0,1.0,1.0,natural
AIPA (full),Conversation-aware,NDCG@10,2154,0.009553636018076088,0.0028356511101026213,0.03919632666296136,0.0034982508745627187,0.06439076259044253,0.01545547184353524,1077,2,0.0010081912271264959,0.028356511101026213,0.3919632666296136,0.03498250874562719,natural
AIPA (full),KBRD-style,NDCG@10,2154,0.000333011382862351,0.9203481342728698,0.9268998273414571,0.9310344827586207,0.002154801393392046,-0.005935492603426601,1077,2,0.0002634718050961233,1.0,1.0,1.0,natural
AIPA (full),LTP-only,NDCG@10,2154,0.022640135651543457,4.158840035423797e-11,0.00019033727297487494,0.0004997501249375312,0.14290903097667623,0.03990373548725828,1077,2,0.0004872728727220669,5.406492046050936e-10,0.002474384548673374,0.006496751624187906,natural
AIPA (full),Naive fusion,NDCG@10,2154,0.002687775507239994,0.2793592765328342,0.7062310663305882,0.296351824087956,0.023314034855898755,0.0011552431226393989,1077,2,0.0029090396707656383,1.0,1.0,1.0,natural
AIPA (full),SASRec,NDCG@10,2154,0.021204194364787796,1.5728933181057645e-09,0.0006005454242517191,0.0004997501249375312,0.1306376832738595,0.035034471937506494,1077,2,0.0019171537564081527,1.8874719817269174e-08,0.007206545091020629,0.006496751624187906,natural
AIPA (full),STI-only,NDCG@10,2154,0.0001774417393523583,0.9497994378570949,0.777586005641622,0.9500249875062469,0.0013566978327930164,-0.0032879167604224213,1077,2,0.0004847161693854857,1.0,1.0,1.0,natural
AIPA (full),Sequential (GRU),NDCG@10,2154,0.015518101418488684,5.046419201004521e-06,0.0023595047935865486,0.0004997501249375312,0.09856315665838063,0.026960270844163733,1077,2,0.00046651363388731677,5.551061121104973e-05,0.025954552729452036,0.006496751624187906,natural
AIPA (full),AIPA (rule policy),Hit@10,124,0.008064516129032258,0.7070794550175435,0.865424524566609,1.0,0.03382456066409087,0.008064516129032251,62,2,0.008064516129032258,1.0,1.0,1.0,conflict_natural_strict
AIPA (full),AIPA w/o clarification,Hit@10,124,0.008064516129032258,0.3192737456602178,0.8591382051891983,1.0,0.08980265101338743,0.008064516129032251,62,2,0.008064516129032258,1.0,1.0,1.0,conflict_natural_strict
AIPA (full),AIPA w/o counterfactual,Hit@10,124,-0.008064516129032258,0.7070794550175435,0.865424524566609,1.0,-0.03382456066409087,-0.008064516129032251,62,2,0.024193548387096774,1.0,1.0,1.0,conflict_natural_strict
AIPA (full),AIPA w/o persistence,Hit@10,124,0.0,,,,,,62,2,0.0,,,,conflict_natural_strict
AIPA (full),AIPA w/o relationship,Hit@10,124,-0.008064516129032258,0.7070794550175435,0.865424524566609,1.0,-0.03382456066409087,-0.008064516129032251,62,2,0.024193548387096774,1.0,1.0,1.0,conflict_natural_strict
AIPA (full),Adaptive fusion,Hit@10,124,0.008064516129032258,0.6565497169351799,0.8633985689504274,1.0,0.04003099533907171,0.008064516129032251,62,2,0.024193548387096774,1.0,1.0,1.0,conflict_natural_strict
AIPA (full),Conversation-aware,Hit@10,124,0.04032258064516129,0.13223242099622967,0.4106109183577875,0.21489255372313842,0.13608850055259764,0.04032258064516129,62,2,0.008064516129032258,1.0,1.0,1.0,conflict_natural_strict
AIPA (full),KBRD-style,Hit@10,124,-0.03225806451612903,0.2498122929300581,0.51341093000929,0.39080459770114945,-0.10383596406534722,-0.03225806451612903,62,2,0.0,1.0,1.0,1.0,conflict_natural_strict
AIPA (full),LTP-only,Hit@10,124,0.07258064516129033,0.0023800111032148403,0.1328868560033363,0.0034982508745627187,0.27862112899121017,0.07258064516129031,62,2,0.008064516129032258,0.030940144341792923,1.0,0.04547726136931535,conflict_natural_strict
AIPA (full),Naive fusion,Hit@10,124,0.024193548387096774,0.180769994491999,0.6057505767319027,0.3758120939530235,0.12087663535005201,0.02419354838709678,62,2,0.008064516129032258,1.0,1.0,1.0,conflict_natural_strict
AIPA (full),SASRec,Hit@10,124,0.07258064516129033,0.00617083583986531,0.1385867920256248,0.010494752623688156,0.2502481608441576,0.07258064516129031,62,2,0.008064516129032258,0.07405003007838372,1.0,0.1259370314842579,conflict_natural_strict
