model,n,seeds,Recall@10_mean,Recall@10_std,Recall@10_ci_low,Recall@10_ci_high,Hit@10_mean,Hit@10_std,Hit@10_ci_low,Hit@10_ci_high,NDCG@10_mean,NDCG@10_std,NDCG@10_ci_low,NDCG@10_ci_high,MRR@10_mean,MRR@10_std,MRR@10_ci_low,MRR@10_ci_high,Recall@20_mean,Recall@20_std,Recall@20_ci_low,Recall@20_ci_high,Hit@20_mean,Hit@20_std,Hit@20_ci_low,Hit@20_ci_high,NDCG@20_mean,NDCG@20_std,NDCG@20_ci_low,NDCG@20_ci_high,MRR@20_mean,MRR@20_std,MRR@20_ci_low,MRR@20_ci_high
LTP-only,744,5,0.0413978494623656,0.0036464139694221873,0.03494623655913978,0.04785618279569892,0.0413978494623656,0.0036464139694221873,0.03494623655913978,0.04785618279569892,0.019223171041979605,0.0021447206894900026,0.016080223942221073,0.022452604703637278,0.012566564260112647,0.001900396431977844,0.010134907300733914,0.015150630973715652,0.06693548387096773,0.005974760959917441,0.059133064516129034,0.07446236559139785,0.06693548387096773,0.005974760959917441,0.059133064516129034,0.07446236559139785,0.025626352036165888,0.0024602907818239293,0.022200992819807815,0.02894035743414691,0.014295925389909458,0.0019431262015774317,0.011867751009503448,0.016816866367736955
STI-only,744,5,0.16693548387096774,0.01144921475217573,0.15483870967741936,0.17903225806451614,0.16693548387096774,0.01144921475217573,0.15483870967741936,0.17903225806451614,0.08230353191830073,0.004000390292414953,0.07559812530700613,0.08903405180594977,0.05682582351937191,0.0038359167566054233,0.05131319337770951,0.06241679467485919,0.2545698924731183,0.008939940402320363,0.24059139784946237,0.2685551075268817,0.2545698924731183,0.008939940402320363,0.24059139784946237,0.2685551075268817,0.10448138410397209,0.004336826523322857,0.0976857033360136,0.11128411934995022,0.06292536116265268,0.004084228673175963,0.05751397011423351,0.06860001738800003
Naive fusion,744,5,0.1553763440860215,0.00421623310251562,0.1432728494623656,0.16693548387096774,0.1553763440860215,0.00421623310251562,0.1432728494623656,0.16693548387096774,0.0770813296147009,0.0029616857216491063,0.07029941217823278,0.08362016873127484,0.05353889315582864,0.003150250708855051,0.0479971198156682,0.059205309139784945,0.24193548387096775,0.005950522478811461,0.22795698924731184,0.25510752688172045,0.24193548387096775,0.005950522478811461,0.22795698924731184,0.25510752688172045,0.09906477996988736,0.003753526118445089,0.09225098612203578,0.10591554503597742,0.059622100580073965,0.003385049251148558,0.05419101444097854,0.06513653981466293
Adaptive fusion,744,5,0.15806451612903225,0.00661749119628557,0.14650537634408603,0.17016129032258065,0.15806451612903225,0.00661749119628557,0.14650537634408603,0.17016129032258065,0.07752729726967347,0.003101518013730122,0.07108890850188945,0.08432214761266536,0.05335082778631166,0.002379214062891244,0.04793940678870115,0.05919951943591057,0.23736559139784946,0.00902040953524867,0.22311155913978495,0.25188172043010754,0.23736559139784946,0.00902040953524867,0.22311155913978495,0.25188172043010754,0.09749719038644024,0.0038653614271701637,0.09100513753582597,0.1044722759007444,0.058794070499540885,0.0025792746441211257,0.0533435617943734,0.06458095135488197
Sequential (GRU),744,5,0.08521505376344085,0.005613068015543307,0.07634408602150537,0.09516801075268816,0.08521505376344085,0.005613068015543307,0.07634408602150537,0.09516801075268816,0.04244313663327952,0.0032081859019134165,0.03738668161693576,0.047743397580338354,0.029640296979006654,0.003127725521768282,0.025431190262843486,0.03376403289810548,0.13817204301075267,0.009519317854637513,0.12741935483870967,0.14946236559139786,0.13817204301075267,0.009519317854637513,0.12741935483870967,0.14946236559139786,0.05564855171422987,0.0032898457449456577,0.0504632729684037,0.060924838974140985,0.03316860271840673,0.0029980727151078233,0.029089042615424724,0.037417501039608704
Conversation-aware,744,5,0.15268817204301074,0.001823206984711092,0.14031586021505377,0.1645295698924731,0.15268817204301074,0.001823206984711092,0.14031586021505377,0.1645295698924731,0.07713742534739242,0.0026418609331581534,0.07035610162079392,0.08396413604779614,0.0544944743130227,0.003191860897330521,0.04905327540962622,0.06048309491807475,0.23118279569892475,0.003400298559320846,0.2171975806451613,0.24435483870967742,0.23118279569892475,0.003400298559320846,0.2171975806451613,0.24435483870967742,0.09709961663751973,0.0024458476083854958,0.09006376556854093,0.10431730659352896,0.06003259354109498,0.003077803032753642,0.0545196558103256,0.06596487021671078
SASRec,744,5,0.07661290322580644,0.011083617273165753,0.06801075268817204,0.08548387096774193,0.07661290322580644,0.011083617273165753,0.06801075268817204,0.08548387096774193,0.03419512331046558,0.005501130628607339,0.030098633648420574,0.03835410389188416,0.0215126301416624,0.004194720028170827,0.018528335146782725,0.02457392206434545,0.12473118279569892,0.005128705383962069,0.11478494623655915,0.13521505376344087,0.12473118279569892,0.005128705383962069,0.11478494623655915,0.13521505376344087,0.04629376080453409,0.004186180261240613,0.04222096442277117,0.05067663775035699,0.024796420270023333,0.003913355755813709,0.021796812423521144,0.02790966830111411
KBRD-style,744,5,0.16774193548387095,0.0055352850220360275,0.15617607526881722,0.18064516129032257,0.16774193548387095,0.0055352850220360275,0.15617607526881722,0.18064516129032257,0.08500997227476018,0.003368621610726478,0.0783003378231459,0.09196150747304431,0.06000469363372589,0.003231896764472387,0.05428652767110429,0.06575892057091653,0.2502688172043011,0.005727762299102822,0.2360215053763441,0.2639784946236559,0.2502688172043011,0.005727762299102822,0.2360215053763441,0.2639784946236559,0.10571358137305764,0.0023740383686861864,0.09898359160559206,0.11258536204799256,0.06560359089954991,0.0028644033793814457,0.05984341818097622,0.07125886246366653
AIPA w/o relationship,744,5,0.1508064516129032,0.012123626111591056,0.13924059139784947,0.16211021505376344,0.1508064516129032,0.012123626111591056,0.13924059139784947,0.16211021505376344,0.07484779232191265,0.00588135437221063,0.06865010233368592,0.08154264319074882,0.05203522358764294,0.004841748381650869,0.046773444167093364,0.05774564238777949,0.23440860215053766,0.009935332587406632,0.22016129032258064,0.24731854838709677,0.23440860215053766,0.009935332587406632,0.22016129032258064,0.24731854838709677,0.09599275153846744,0.005527719945711575,0.0893706513214762,0.10257084846073006,0.05784170279907073,0.004808387084483998,0.052649853808733195,0.06352072040461665
AIPA w/o counterfactual,744,5,0.15053763440860213,0.010480424026676304,0.1389784946236559,0.16182795698924732,0.15053763440860213,0.010480424026676304,0.1389784946236559,0.16182795698924732,0.07624342509485857,0.006937228994434214,0.06965628175109324,0.08277283260517593,0.05392558457074585,0.006126616110653363,0.048388614204642424,0.05991387182112988,0.2325268817204301,0.0085007463983021,0.21881720430107526,0.24624327956989248,0.2325268817204301,0.0085007463983021,0.21881720430107526,0.24624327956989248,0.09690210864004892,0.006349028210041236,0.09037543854952378,0.10360628333980826,0.05955825934397542,0.005934934353862159,0.0541428062734934,0.06551741696111359
