model,n,seeds,Recall@10_mean,Recall@10_std,Recall@10_ci_low,Recall@10_ci_high,Hit@10_mean,Hit@10_std,Hit@10_ci_low,Hit@10_ci_high,NDCG@10_mean,NDCG@10_std,NDCG@10_ci_low,NDCG@10_ci_high,MRR@10_mean,MRR@10_std,MRR@10_ci_low,MRR@10_ci_high,Recall@20_mean,Recall@20_std,Recall@20_ci_low,Recall@20_ci_high,Hit@20_mean,Hit@20_std,Hit@20_ci_low,Hit@20_ci_high,NDCG@20_mean,NDCG@20_std,NDCG@20_ci_low,NDCG@20_ci_high,MRR@20_mean,MRR@20_std,MRR@20_ci_low,MRR@20_ci_high
LTP-only,48,2,0.010416666666666666,0.010416666666666666,0.0,0.03151041666666673,0.010416666666666666,0.010416666666666666,0.0,0.03151041666666673,0.005208333333333333,0.005208333333333333,0.0,0.015755208333333364,0.003472222222222222,0.003472222222222222,0.0,0.010503472222222242,0.03125,0.010416666666666666,0.0,0.0625,0.03125,0.010416666666666666,0.0,0.0625,0.00999008814434075,0.005169708703512436,0.0,0.025235867483402837,0.004541301169590643,0.0034448099415204676,0.0,0.012640944809941533
STI-only,48,2,0.05208333333333333,0.010416666666666668,0.020833333333333332,0.09375,0.05208333333333333,0.010416666666666668,0.020833333333333332,0.09375,0.019840227174928865,0.005847059177142384,0.006271458242999608,0.037162291853706106,0.010561342592592591,0.004484953703703704,0.0023148148148148147,0.022869646990740743,0.125,0.0,0.07291666666666667,0.18776041666666674,0.125,0.0,0.07291666666666667,0.18776041666666674,0.03827702016320933,0.0031388432915518197,0.02090148975442814,0.058152345885434616,0.015628362256651727,0.003710447994987468,0.007009750099285461,0.028424115993503335
Naive fusion,48,2,0.05208333333333333,0.010416666666666668,0.020833333333333332,0.09375,0.05208333333333333,0.010416666666666668,0.020833333333333332,0.09375,0.02833437755027364,0.00713057420014866,0.01058331106817478,0.05903994801483882,0.021093749999999998,0.006510416666666667,0.0054687500000000005,0.048502604166666685,0.09375,0.010416666666666671,0.041666666666666664,0.13541666666666666,0.09375,0.010416666666666671,0.041666666666666664,0.13541666666666666,0.039243122846964074,0.006937492632995063,0.020162498939978016,0.06682927579635456,0.024288761007511008,0.006366752460502459,0.008677662037037036,0.049730826898795676
Adaptive fusion,48,2,0.05208333333333333,0.010416666666666668,0.02057291666666667,0.09375,0.05208333333333333,0.010416666666666668,0.02057291666666667,0.09375,0.01887436125096434,0.0010367115195472117,0.006413993597267097,0.036050057435841526,0.009226190476190475,0.0011904761904761906,0.0025099206349206353,0.019862351190476198,0.07291666666666666,0.010416666666666664,0.03125,0.11484375000000005,0.07291666666666666,0.010416666666666664,0.03125,0.11484375000000005,0.024293508692915588,0.004382435922404036,0.009742994183555584,0.041281654637390836,0.010788690476190476,0.0027529761904761902,0.00382874503968254,0.020713665674603175
Sequential (GRU),48,2,0.03125,0.010416666666666666,0.0,0.07291666666666667,0.03125,0.010416666666666666,0.0,0.07291666666666667,0.014069491020445194,0.005097062727249504,0.0,0.034227065218459356,0.008854166666666666,0.003645833333333333,0.0,0.02450520833333334,0.07291666666666666,0.010416666666666664,0.020833333333333332,0.13541666666666666,0.07291666666666666,0.010416666666666664,0.020833333333333332,0.13541666666666666,0.024402569198617018,0.00500079576108713,0.007744904258592722,0.04709341266275316,0.011572007275132273,0.00357349537037037,0.0021368117559523807,0.02627480158730159
Conversation-aware,48,2,0.010416666666666666,0.010416666666666666,0.0,0.03125,0.010416666666666666,0.010416666666666666,0.0,0.03125,0.004486214146597845,0.004486214146597845,0.0,0.013458642439793533,0.0026041666666666665,0.0026041666666666665,0.0,0.0078125,0.05208333333333333,0.010416666666666668,0.02057291666666667,0.10416666666666667,0.05208333333333333,0.010416666666666668,0.02057291666666667,0.10416666666666667,0.015210709069297546,0.0009058219258973677,0.005081619490441413,0.03002175014055321,0.005640670093795094,0.0010557584776334774,0.0013020833333333333,0.011375825780122655
SASRec,48,2,0.020833333333333332,0.0,0.0,0.052083333333333336,0.020833333333333332,0.0,0.0,0.052083333333333336,0.014902880813264512,0.0059304525200688215,0.0,0.04022242829319569,0.013020833333333332,0.007812499999999999,0.0,0.036458333333333336,0.03125,0.010416666666666666,0.0,0.07291666666666667,0.03125,0.010416666666666666,0.0,0.07291666666666667,0.017808536497130448,0.0030247968362028853,0.0,0.04312808397706162,0.01396780303030303,0.006865530303030302,0.0,0.03740530303030303
KBRD-style,48,2,0.10416666666666667,0.0,0.041406250000000006,0.15677083333333344,0.10416666666666667,0.0,0.041406250000000006,0.15677083333333344,0.037102839070964,0.0019386140105781095,0.013149799070390931,0.057573047044095764,0.017600859788359787,0.0021908068783068778,0.006247209821428571,0.02919332837301588,0.1875,0.0,0.10416666666666667,0.2604166666666667,0.1875,0.0,0.10416666666666667,0.2604166666666667,0.05791435069666063,0.002307598537871783,0.03131308646210046,0.07958888279314974,0.023191254837926664,0.0024976191965356068,0.011859307365124415,0.034455954705446774
AIPA w/o relationship,48,2,0.07291666666666667,0.03125,0.020833333333333332,0.13541666666666666,0.07291666666666667,0.03125,0.020833333333333332,0.13541666666666666,0.0409794191433088,0.009729419143308798,0.013620606821521726,0.07293692639324967,0.03145254629629629,0.003674768518518518,0.007885561342592594,0.06377170138888891,0.13541666666666666,0.031249999999999993,0.07291666666666667,0.19791666666666666,0.13541666666666666,0.031249999999999993,0.07291666666666667,0.19791666666666666,0.05696612371439327,0.009454471355263915,0.029383706167762102,0.0910049191063896,0.03595423566156926,0.003449916150670796,0.012963780404340097,0.06840503933165504
AIPA w/o counterfactual,48,2,0.07291666666666667,0.03125,0.020833333333333332,0.13541666666666666,0.07291666666666667,0.03125,0.020833333333333332,0.13541666666666666,0.0409794191433088,0.009729419143308798,0.013620606821521726,0.07293692639324967,0.03145254629629629,0.003674768518518518,0.007885561342592594,0.06377170138888891,0.125,0.041666666666666664,0.0625,0.17734375000000008,0.125,0.041666666666666664,0.0625,0.17734375000000008,0.05369456033560552,0.012071468603849844,0.026627338378800224,0.08806124851890638,0.034712432121971594,0.004156876566416041,0.012623866523948762,0.06801552492341965
AIPA w/o clarification,48,2,0.0625,0.020833333333333332,0.030989583333333338,0.10416666666666667,0.0625,0.020833333333333332,0.030989583333333338,0.10416666666666667,0.03242682709669008,0.006138087364546014,0.013507322889695248,0.05877136101817999,0.022668650793650793,0.0018353174603174607,0.007137896825396825,0.04205109126984127,0.11458333333333334,0.010416666666666664,0.07265625,0.17708333333333334,0.11458333333333334,0.010416666666666664,0.07265625,0.17708333333333334,0.045735264190263025,0.003973420488909425,0.024744110410960304,0.07211244053657243,0.02639069553132053,0.0014953073546823542,0.011916949514605764,0.04578440945628447
AIPA w/o persistence,48,2,0.07291666666666667,0.03125,0.03125,0.11484375000000005,0.07291666666666667,0.03125,0.03125,0.11484375000000005,0.042471164194389045,0.0008044975277223809,0.017248518260269817,0.07361912348940317,0.033449074074074076,0.008217592592592592,0.010413773148148148,0.06430844907407408,0.11458333333333334,0.010416666666666664,0.07265625,0.17708333333333334,0.11458333333333334,0.010416666666666664,0.07265625,0.17708333333333334,0.052797903133727106,0.004189782561411188,0.02697894417459695,0.08443101728512295,0.03616071428571428,0.009441137566137564,0.01304935515873016,0.06700810185185187
AIPA (rule policy),48,2,0.05208333333333333,0.010416666666666668,0.020833333333333332,0.10416666666666667,0.05208333333333333,0.010416666666666668,0.020833333333333332,0.10416666666666667,0.041294407155258235,0.0003722595114084293,0.010407360178881456,0.08990551826636935,0.03794642857142857,0.003720238095238096,0.010323660714285716,0.08854166666666667,0.11458333333333334,0.010416666666666664,0.0625,0.17708333333333334,0.11458333333333334,0.010416666666666664,0.0625,0.17708333333333334,0.05666993417663821,0.0005472670924495937,0.02948420164548053,0.09797089984930019,0.0419469113402937,0.0038808515830574646,0.012850514732408115,0.08979094383965708
AIPA (full),48,2,0.07291666666666667,0.03125,0.03125,0.11484375000000005,0.07291666666666667,0.03125,0.03125,0.11484375000000005,0.042471164194389045,0.0008044975277223809,0.017248518260269817,0.07361912348940317,0.033449074074074076,0.008217592592592592,0.010413773148148148,0.06430844907407408,0.11458333333333334,0.010416666666666664,0.07265625,0.17708333333333334,0.11458333333333334,0.010416666666666664,0.07265625,0.17708333333333334,0.052797903133727106,0.004189782561411188,0.02697894417459695,0.08443101728512295,0.03616071428571428,0.009441137566137564,0.01304935515873016,0.06700810185185187
