model,n,seeds,Recall@10_mean,Recall@10_std,Recall@10_ci_low,Recall@10_ci_high,Hit@10_mean,Hit@10_std,Hit@10_ci_low,Hit@10_ci_high,NDCG@10_mean,NDCG@10_std,NDCG@10_ci_low,NDCG@10_ci_high,MRR@10_mean,MRR@10_std,MRR@10_ci_low,MRR@10_ci_high,Recall@20_mean,Recall@20_std,Recall@20_ci_low,Recall@20_ci_high,Hit@20_mean,Hit@20_std,Hit@20_ci_low,Hit@20_ci_high,NDCG@20_mean,NDCG@20_std,NDCG@20_ci_low,NDCG@20_ci_high,MRR@20_mean,MRR@20_std,MRR@20_ci_low,MRR@20_ci_high
LTP-only,39,2,0.038461538461538464,0.01282051282051282,0.0,0.07692307692307693,0.038461538461538464,0.01282051282051282,0.0,0.07692307692307693,0.015021436716586551,0.0022009238960737313,0.0,0.0318863710343523,0.008012820512820512,0.000534188034188034,0.0,0.01764155982905983,0.038461538461538464,0.01282051282051282,0.0,0.07692307692307693,0.038461538461538464,0.01282051282051282,0.0,0.07692307692307693,0.015021436716586551,0.0022009238960737313,0.0,0.0318863710343523,0.008012820512820512,0.000534188034188034,0.0,0.01764155982905983
STI-only,39,2,0.16666666666666669,0.012820512820512817,0.10256410256410256,0.2564102564102564,0.16666666666666669,0.012820512820512817,0.10256410256410256,0.2564102564102564,0.06485463366040005,0.013369804923611797,0.03471199802002851,0.10811671397012648,0.03574989824989825,0.013242775742775742,0.014967567155067155,0.07177960927960927,0.3076923076923077,0.025641025641025633,0.23076923076923078,0.4230769230769231,0.3076923076923077,0.025641025641025633,0.23076923076923078,0.4230769230769231,0.10048507218473306,0.01643944097837255,0.0683704899563222,0.1443559656380793,0.045504191778602356,0.013977563136589093,0.02438198194509221,0.07985784643363088
Naive fusion,39,2,0.10256410256410256,0.0,0.05096153846153847,0.1794871794871795,0.10256410256410256,0.0,0.05096153846153847,0.1794871794871795,0.05277557528781679,0.002321814715236077,0.02067550099757804,0.09151961532902542,0.038436100936100934,0.0026200651200651223,0.008695182132682134,0.07634055759055759,0.2564102564102564,0.07692307692307691,0.17916666666666667,0.3717948717948718,0.2564102564102564,0.07692307692307691,0.17916666666666667,0.3717948717948718,0.09220327533983393,0.02163182211481507,0.06026621922594471,0.13783451517155246,0.049530846646231266,0.007822554937939551,0.021222600405292714,0.08826894793240947
Adaptive fusion,39,2,0.1282051282051282,0.025641025641025647,0.0641025641025641,0.20512820512820512,0.1282051282051282,0.025641025641025647,0.0641025641025641,0.20512820512820512,0.0621594212558631,0.021257040730831085,0.028308215995539683,0.10521241811618129,0.04253663003663003,0.01964285714285714,0.017170329670329672,0.07941391941391943,0.3205128205128205,0.012820512820512803,0.23044871794871796,0.4230769230769231,0.3205128205128205,0.012820512820512803,0.23044871794871796,0.4230769230769231,0.10903816797482904,0.018096635380706612,0.06923175609372781,0.14590015346495971,0.05454769457210515,0.018788464695228213,0.02777084185968742,0.08961163714453188
Sequential (GRU),39,2,0.038461538461538464,0.01282051282051282,0.0,0.07692307692307693,0.038461538461538464,0.01282051282051282,0.0,0.07692307692307693,0.016002640043350357,0.004959651374801817,0.0,0.032567123046173166,0.008974358974358974,0.0025641025641025645,0.0,0.01858974358974359,0.038461538461538464,0.01282051282051282,0.0,0.07692307692307693,0.038461538461538464,0.01282051282051282,0.0,0.07692307692307693,0.016002640043350357,0.004959651374801817,0.0,0.032567123046173166,0.008974358974358974,0.0025641025641025645,0.0,0.01858974358974359
Conversation-aware,39,2,0.01282051282051282,0.01282051282051282,0.0,0.05128205128205128,0.01282051282051282,0.01282051282051282,0.0,0.05128205128205128,0.004273504273504273,0.004273504273504273,0.0,0.017094017094017092,0.0018315018315018315,0.0018315018315018315,0.0,0.007326007326007326,0.038461538461538464,0.038461538461538464,0.0,0.07724358974358982,0.038461538461538464,0.038461538461538464,0.0,0.07724358974358982,0.010607193352952385,0.010607193352952385,0.0,0.023837424393949178,0.0034924589580460027,0.0034924589580460027,0.0,0.008686842846761876
AIPA w/o relationship,39,2,0.14102564102564102,0.038461538461538464,0.08942307692307692,0.23076923076923078,0.14102564102564102,0.038461538461538464,0.08942307692307692,0.23076923076923078,0.05808094162802391,0.016133886479343353,0.03201651624288882,0.09481269830320546,0.032814407814407816,0.00885225885225885,0.016012286324786323,0.05712950244200245,0.28205128205128205,0.051282051282051266,0.19230769230769232,0.3717948717948718,0.28205128205128205,0.051282051282051266,0.19230769230769232,0.3717948717948718,0.09334121286555955,0.01964212088045731,0.06345282541375577,0.13371969006200163,0.0422874364616446,0.009964122520683606,0.025565678874502406,0.06679120271173437
AIPA w/o counterfactual,39,2,0.1923076923076923,0.012820512820512817,0.11538461538461539,0.2823717948717949,0.1923076923076923,0.012820512820512817,0.11538461538461539,0.2823717948717949,0.08050769008502132,0.004515337825689768,0.044513681872074704,0.1244485346385833,0.047466422466422464,0.003663003663003664,0.02151187932437932,0.08473430504680504,0.3076923076923077,0.025641025641025633,0.21794871794871795,0.3977564102564103,0.3076923076923077,0.025641025641025633,0.21794871794871795,0.3977564102564103,0.10989007435401493,0.004859641945284106,0.07455556760415895,0.1552047088330773,0.05564453143638664,0.0012666945924864545,0.03081137743185255,0.09497189048801039
AIPA w/o clarification,39,2,0.15384615384615385,0.0,0.07660256410256411,0.21794871794871795,0.15384615384615385,0.0,0.07660256410256411,0.21794871794871795,0.0742366427065412,0.0015491418381497826,0.032581665398274375,0.11346502899205521,0.05099206349206349,0.002029914529914533,0.018489774114774114,0.0873912545787546,0.3205128205128205,0.038461538461538464,0.23044871794871796,0.4358974358974359,0.3205128205128205,0.038461538461538464,0.23044871794871796,0.4358974358974359,0.11562237677057872,0.008031961090099168,0.07753804867357754,0.16518826906161937,0.06195022138252669,0.0005112461277619676,0.02947710033790797,0.09904123191100002
AIPA w/o persistence,39,2,0.1923076923076923,0.012820512820512817,0.11538461538461539,0.2823717948717949,0.1923076923076923,0.012820512820512817,0.11538461538461539,0.2823717948717949,0.07210663201849803,0.006023766309232681,0.038469102700933164,0.10730845560569252,0.03706756206756207,0.003876678876678877,0.017835775335775336,0.055000254375254375,0.28205128205128205,0.0,0.1919871794871795,0.38461538461538464,0.28205128205128205,0.0,0.1919871794871795,0.38461538461538464,0.09436257944821827,0.0019485486707101901,0.06304686515688938,0.12714298336004587,0.04295357888475297,0.0023316427162580963,0.0259802824162642,0.05978287733221944
AIPA (rule policy),39,2,0.16666666666666666,0.038461538461538464,0.08974358974358974,0.25673076923076926,0.16666666666666666,0.038461538461538464,0.08974358974358974,0.25673076923076926,0.07426102277613916,0.008087741767049385,0.03715110022517001,0.1230672112478795,0.04730870980870981,0.0008699633699633703,0.020650055962555963,0.08153350122100121,0.3717948717948718,0.01282051282051283,0.2692307692307692,0.5,0.3717948717948718,0.01282051282051283,0.2692307692307692,0.5,0.1256511988763501,0.002754425175300307,0.08542664319919528,0.1733194033013212,0.06113024496121662,0.0017256538258562486,0.032975674844348934,0.0979736689592459
AIPA (full),39,2,0.1923076923076923,0.012820512820512817,0.11538461538461539,0.2823717948717949,0.1923076923076923,0.012820512820512817,0.11538461538461539,0.2823717948717949,0.07210663201849803,0.006023766309232681,0.038469102700933164,0.10730845560569252,0.03706756206756207,0.003876678876678877,0.017835775335775336,0.055000254375254375,0.28205128205128205,0.0,0.1919871794871795,0.38461538461538464,0.28205128205128205,0.0,0.1919871794871795,0.38461538461538464,0.09436257944821827,0.0019485486707101901,0.06304686515688938,0.12714298336004587,0.04295357888475297,0.0023316427162580963,0.0259802824162642,0.05978287733221944
