model,n,seeds,Recall@10_mean,Recall@10_std,Recall@10_ci_low,Recall@10_ci_high,Hit@10_mean,Hit@10_std,Hit@10_ci_low,Hit@10_ci_high,NDCG@10_mean,NDCG@10_std,NDCG@10_ci_low,NDCG@10_ci_high,MRR@10_mean,MRR@10_std,MRR@10_ci_low,MRR@10_ci_high,Recall@20_mean,Recall@20_std,Recall@20_ci_low,Recall@20_ci_high,Hit@20_mean,Hit@20_std,Hit@20_ci_low,Hit@20_ci_high,NDCG@20_mean,NDCG@20_std,NDCG@20_ci_low,NDCG@20_ci_high,MRR@20_mean,MRR@20_std,MRR@20_ci_low,MRR@20_ci_high
LTP-only,2070,5,0.06067632850241546,0.004649742769281534,0.05613526570048309,0.06521739130434782,0.06067632850241546,0.004649742769281534,0.05613526570048309,0.06521739130434782,0.034022678898792715,0.0021849153292564467,0.031292527746108315,0.037074467005970405,0.02592531247603711,0.0015825634100581506,0.02351254792577256,0.028621300130358095,0.09323671497584543,0.001101618768211729,0.08705314009661835,0.0987463768115942,0.09323671497584543,0.001101618768211729,0.08705314009661835,0.0987463768115942,0.04212452147201937,0.0010413062645674234,0.03913131696096389,0.045132190020021216,0.028079869165232828,0.0013144021874838346,0.025618695665554816,0.030721675207898674
STI-only,2070,5,0.12222222222222223,0.004178115615543897,0.11603864734299517,0.12841062801932368,0.12222222222222223,0.004178115615543897,0.11603864734299517,0.12841062801932368,0.0629915840806084,0.0018848877873286058,0.059549718715088774,0.06666324439201597,0.04519239322137873,0.0016534445148935842,0.04217108254735066,0.04833631527490223,0.19429951690821257,0.002470862193728385,0.18656763285024155,0.2026086956521739,0.19429951690821257,0.002470862193728385,0.18656763285024155,0.2026086956521739,0.0810516294764331,0.0013379066477904981,0.07742096494288428,0.08488627443754233,0.05006312056773088,0.001554680997038318,0.04702031951312474,0.053159344776844045
Naive fusion,2070,5,0.11864734299516908,0.0022576466561445257,0.11265700483091788,0.1250265700483092,0.11864734299516908,0.0022576466561445257,0.11265700483091788,0.1250265700483092,0.06153824661601991,0.0019844536584555255,0.058085581865300155,0.06502148314831865,0.04436266390614217,0.0019485809903577146,0.04148990874932904,0.047601771336553945,0.18975845410628017,0.008068645254536412,0.18231400966183575,0.19730193236714977,0.18975845410628017,0.008068645254536412,0.18231400966183575,0.19730193236714977,0.07935031250996423,0.0031094541948378496,0.07594812839295242,0.0829355650882127,0.04916303299973153,0.0021759888259087756,0.046257169141475575,0.05232378436892671
Adaptive fusion,2070,5,0.11768115942028985,0.007988416080616184,0.11101449275362318,0.12367149758454106,0.11768115942028985,0.007988416080616184,0.11101449275362318,0.12367149758454106,0.05979274558379659,0.004691906245356356,0.056479787727955824,0.06328073319612577,0.042399930986887505,0.004011898475719931,0.03941868434169159,0.04553399566751016,0.18618357487922704,0.009879669975779102,0.1787415458937198,0.193719806763285,0.18618357487922704,0.009879669975779102,0.1787415458937198,0.193719806763285,0.07698620682080316,0.005167291227867791,0.07371021421862183,0.08066719422290469,0.04705301078865264,0.004126401077367431,0.04417175564171374,0.05012837075239737
Sequential (GRU),2070,5,0.09033816425120773,0.0027835478822971827,0.08463526570048309,0.09546135265700484,0.09033816425120773,0.0027835478822971827,0.08463526570048309,0.09546135265700484,0.045303566993035706,0.002728010759960805,0.04228643529554309,0.04841569016105137,0.03179499271528256,0.002896297920076937,0.02914393355570892,0.03455666743347903,0.14202898550724635,0.002574475863666517,0.1353623188405797,0.14870289855072463,0.14202898550724635,0.002574475863666517,0.1353623188405797,0.14870289855072463,0.05819313995099249,0.00236366949214014,0.054996305098410365,0.0614490708953692,0.035238544760654064,0.002790231398603362,0.03260415682617919,0.03794914049727113
Conversation-aware,2070,5,0.11806763285024154,0.003711956079671216,0.11226811594202898,0.1242536231884058,0.11806763285024154,0.003711956079671216,0.11226811594202898,0.1242536231884058,0.06104317611024428,0.002192072126554557,0.05775826374668378,0.064621364938042,0.043879342074994256,0.002036955358264691,0.04108781726861437,0.047049157464918334,0.18541062801932368,0.00743647590527299,0.17845410628019323,0.19343236714975845,0.18541062801932368,0.00743647590527299,0.17845410628019323,0.19343236714975845,0.07796254019181734,0.002829154228163558,0.07481801167610079,0.08186544586756518,0.04846850677237226,0.0021699811468373457,0.045695513393797994,0.05165128597524164
SASRec,2070,5,0.08695652173913043,0.0035761846421877796,0.08144685990338164,0.09217632850241546,0.08695652173913043,0.0035761846421877796,0.08144685990338164,0.09217632850241546,0.041988973088446055,0.0008107534623285865,0.039090489279160506,0.0447593200732073,0.028467985583927612,0.000638604764090653,0.0262444847020934,0.030772965071696953,0.13980676328502412,0.005655269807405559,0.13285024154589373,0.14657246376811595,0.13980676328502412,0.005655269807405559,0.13285024154589373,0.14657246376811595,0.055304046725875064,0.0008986627210218801,0.05224397188903642,0.058190854009987414,0.03209859796696293,0.00035279740710971586,0.02990555581538133,0.03434073683088215
KBRD-style,2070,5,0.12106280193236714,0.0024746373864474778,0.11526570048309179,0.1272463768115942,0.12106280193236714,0.0024746373864474778,0.11526570048309179,0.1272463768115942,0.060465035711773196,0.0013994588217120458,0.05723304596615943,0.06418594860125387,0.04230204738900391,0.0013442778267288165,0.03949858714822483,0.04546560750709301,0.18743961352657004,0.005203057784671017,0.18018840579710144,0.19507246376811593,0.18743961352657004,0.005203057784671017,0.18018840579710144,0.19507246376811593,0.07710327103694177,0.0018391893195746393,0.07362338879003266,0.08082186061907176,0.04679371778825496,0.001375113982276225,0.04399217425492693,0.049990620155091314
AIPA w/o relationship,2070,5,0.11304347826086958,0.0030705794361489264,0.10753623188405798,0.11990338164251207,0.11304347826086958,0.0030705794361489264,0.10753623188405798,0.11990338164251207,0.05809455614500225,0.0017108533037765298,0.05480056376252326,0.061986191619298345,0.04158477110651023,0.0019700800580300993,0.03869150084349359,0.04485575588528487,0.18840579710144928,0.005274335870127995,0.181256038647343,0.1957487922705314,0.18840579710144928,0.005274335870127995,0.181256038647343,0.1957487922705314,0.07691704844574007,0.0025702486390957427,0.07344581835249707,0.08070484838915892,0.04662766698410795,0.0022245251499285515,0.04375098365805925,0.04986871418394924
AIPA w/o counterfactual,2070,5,0.11217391304347828,0.003210289415620514,0.10628019323671498,0.11864734299516909,0.11217391304347828,0.003210289415620514,0.10628019323671498,0.11864734299516909,0.05734739792413533,0.0013012395076932104,0.053972178071282496,0.061105219070543185,0.04093516601487616,0.0017298291033459698,0.03811671842650104,0.044232422743654624,0.18521739130434783,0.003835639273677148,0.1782584541062802,0.19294685990338165,0.18521739130434783,0.003835639273677148,0.1782584541062802,0.19294685990338165,0.07569791993076962,0.0017594699130913786,0.07223818208039594,0.07943337078954997,0.04591085360881655,0.001831111066031502,0.043144228969645974,0.04914012023309736
