model,n,seeds,Recall@10_mean,Recall@10_std,Recall@10_ci_low,Recall@10_ci_high,Hit@10_mean,Hit@10_std,Hit@10_ci_low,Hit@10_ci_high,NDCG@10_mean,NDCG@10_std,NDCG@10_ci_low,NDCG@10_ci_high,MRR@10_mean,MRR@10_std,MRR@10_ci_low,MRR@10_ci_high,Recall@20_mean,Recall@20_std,Recall@20_ci_low,Recall@20_ci_high,Hit@20_mean,Hit@20_std,Hit@20_ci_low,Hit@20_ci_high,NDCG@20_mean,NDCG@20_std,NDCG@20_ci_low,NDCG@20_ci_high,MRR@20_mean,MRR@20_std,MRR@20_ci_low,MRR@20_ci_high
LTP-only,14,2,0.03571428571428571,0.03571428571428571,0.0,0.10714285714285714,0.03571428571428571,0.03571428571428571,0.0,0.10714285714285714,0.011904761904761904,0.011904761904761904,0.0,0.03571428571428571,0.00510204081632653,0.00510204081632653,0.0,0.015306122448979591,0.10714285714285714,0.03571428571428571,0.0,0.1794642857142859,0.10714285714285714,0.03571428571428571,0.0,0.1794642857142859,0.030274471155396478,0.01034997503745863,0.0,0.05762985852416138,0.010332921047206761,0.0038394145537002673,0.0,0.020540223665223668
STI-only,14,2,0.10714285714285714,0.03571428571428571,0.0,0.21428571428571427,0.10714285714285714,0.03571428571428571,0.0,0.21428571428571427,0.06184666263347765,0.009581908795093776,0.0,0.14288637191910836,0.048611111111111105,0.022817460317460313,0.0,0.12413194444444448,0.21428571428571427,0.07142857142857142,0.10625000000000001,0.3223214285714288,0.21428571428571427,0.07142857142857142,0.10625000000000001,0.3223214285714288,0.08951499967023041,0.03725024583184653,0.027860812591068675,0.16205638026153918,0.05650972510216207,0.03071607430851128,0.009022662095141088,0.1330554001903792
Naive fusion,14,2,0.10714285714285714,0.03571428571428571,0.0,0.21428571428571427,0.10714285714285714,0.03571428571428571,0.0,0.21428571428571427,0.07362879684445896,0.028562385875069127,0.0,0.1522362057614231,0.0625,0.026785714285714288,0.0,0.14285714285714285,0.17857142857142855,0.03571428571428571,0.0705357142857143,0.32142857142857145,0.17857142857142855,0.03571428571428571,0.0705357142857143,0.32142857142857145,0.09201767886394271,0.029476229171822473,0.02245244348048347,0.17091684424884598,0.06770833333333333,0.0275297619047619,0.008909970238095238,0.14521949404761908
Adaptive fusion,14,2,0.17857142857142855,0.03571428571428571,0.03571428571428571,0.32142857142857145,0.17857142857142855,0.03571428571428571,0.03571428571428571,0.32142857142857145,0.06705083297642422,0.015608965793004591,0.013816171686947916,0.11631819039613857,0.0340702947845805,0.009580498866213151,0.0071428571428571435,0.061867913832199556,0.17857142857142855,0.03571428571428571,0.03571428571428571,0.32142857142857145,0.17857142857142855,0.03571428571428571,0.03571428571428571,0.32142857142857145,0.06705083297642422,0.015608965793004591,0.013816171686947916,0.11631819039613857,0.0340702947845805,0.009580498866213151,0.0071428571428571435,0.061867913832199556
Sequential (GRU),14,2,0.07142857142857142,0.0,0.0,0.17857142857142858,0.07142857142857142,0.0,0.0,0.17857142857142858,0.021074815070781037,0.00042732747664618945,0.0,0.05291138460219186,0.00753968253968254,0.0003968253968253963,0.0,0.019057539682539683,0.10714285714285714,0.03571428571428571,0.0,0.25,0.10714285714285714,0.03571428571428571,0.0,0.25,0.031037063129749964,0.009534920582322736,0.0,0.07283588072012971,0.010786435786435787,0.0028499278499278507,0.0,0.02555104617604618
Conversation-aware,14,2,0.17857142857142855,0.03571428571428571,0.07142857142857142,0.32142857142857145,0.17857142857142855,0.03571428571428571,0.07142857142857142,0.32142857142857145,0.08890005104291734,0.007971890893369957,0.025406993444928107,0.1767310214795676,0.06220238095238095,0.021130952380952386,0.011867559523809523,0.14349702380952384,0.21428571428571427,0.0,0.07142857142857142,0.35714285714285715,0.21428571428571427,0.0,0.07142857142857142,0.35714285714285715,0.09716355865576588,0.016235398506218496,0.028066613836548498,0.1836186693852876,0.06408208020050125,0.023010651629072683,0.013385416666666665,0.14528743734335842
SASRec,14,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03571428571428571,0.03571428571428571,0.0,0.10714285714285714,0.03571428571428571,0.03571428571428571,0.0,0.10714285714285714,0.008407461191665652,0.008407461191665652,0.0,0.025222383574996954,0.001984126984126984,0.001984126984126984,0.0,0.005952380952380952
KBRD-style,14,2,0.17857142857142855,0.03571428571428571,0.03571428571428571,0.2857142857142857,0.17857142857142855,0.03571428571428571,0.03571428571428571,0.2857142857142857,0.09501994363227231,0.03167331454409077,0.017857142857142856,0.16654953934009864,0.06904761904761904,0.03095238095238095,0.011904761904761904,0.14053571428571432,0.3214285714285714,0.035714285714285726,0.17767857142857146,0.46517857142857166,0.3214285714285714,0.035714285714285726,0.17767857142857146,0.46517857142857166,0.13352437383690016,0.013093380457400779,0.05617452551955475,0.2122784222789459,0.0808982683982684,0.0255952380952381,0.022889610389610387,0.1521523268398269
AIPA w/o relationship,14,2,0.17857142857142855,0.03571428571428571,0.03571428571428571,0.28660714285714306,0.17857142857142855,0.03571428571428571,0.03571428571428571,0.28660714285714306,0.06805153950547611,0.006526316923562817,0.015342177296515064,0.11008622385294144,0.03492063492063492,0.0007936507936507943,0.007916666666666667,0.056959325396825404,0.21428571428571427,0.0,0.07142857142857142,0.35714285714285715,0.21428571428571427,0.0,0.07142857142857142,0.35714285714285715,0.07678905886684133,0.002211202437802401,0.028175771198635336,0.12614404279601135,0.03715277777777778,0.003025793650793654,0.010379464285714285,0.05981274801587303
AIPA w/o counterfactual,14,2,0.17857142857142855,0.03571428571428571,0.03571428571428571,0.28660714285714306,0.17857142857142855,0.03571428571428571,0.03571428571428571,0.28660714285714306,0.06762421202882991,0.006098989446916624,0.015342177296515064,0.10962684681554678,0.034523809523809526,0.0011904761904761897,0.0071428571428571435,0.05656250000000001,0.21428571428571427,0.0,0.07142857142857142,0.35714285714285715,0.21428571428571427,0.0,0.07142857142857142,0.35714285714285715,0.07676557005775189,0.0030423685820053573,0.028576900210707752,0.12613064995361087,0.03707482993197279,0.0037414965986394544,0.01066964285714286,0.059742772108843545
