model,n,seeds,Recall@10_mean,Recall@10_std,Recall@10_ci_low,Recall@10_ci_high,Hit@10_mean,Hit@10_std,Hit@10_ci_low,Hit@10_ci_high,NDCG@10_mean,NDCG@10_std,NDCG@10_ci_low,NDCG@10_ci_high,MRR@10_mean,MRR@10_std,MRR@10_ci_low,MRR@10_ci_high,Recall@20_mean,Recall@20_std,Recall@20_ci_low,Recall@20_ci_high,Hit@20_mean,Hit@20_std,Hit@20_ci_low,Hit@20_ci_high,NDCG@20_mean,NDCG@20_std,NDCG@20_ci_low,NDCG@20_ci_high,MRR@20_mean,MRR@20_std,MRR@20_ci_low,MRR@20_ci_high
LTP-only,39,2,0.02564102564102564,0.0,0.0,0.0641025641025641,0.02564102564102564,0.0,0.0,0.0641025641025641,0.009565915831527202,0.001477072837021337,0.0,0.02211323423267734,0.004807692307692308,0.0016025641025641025,0.0,0.01282051282051282,0.05128205128205128,0.0,0.01282051282051282,0.11570512820512828,0.05128205128205128,0.0,0.01282051282051282,0.11570512820512828,0.016069762974545404,0.0012463165175473946,0.0031365454117721287,0.0369640097457376,0.00659516765285996,0.0014176528599605517,0.0008012820512820513,0.015609590729783039
STI-only,39,2,0.3076923076923077,0.0,0.21762820512820513,0.42339743589743595,0.3076923076923077,0.0,0.21762820512820513,0.42339743589743595,0.1440542558677893,0.020748145190898966,0.09121794389018437,0.20867232901024182,0.09477513227513226,0.02637871387871387,0.053254095441595435,0.14540343915343917,0.47435897435897434,0.038461538461538436,0.358974358974359,0.6025641025641025,0.47435897435897434,0.038461538461538436,0.358974358974359,0.6025641025641025,0.1866854862948078,0.009464256890060946,0.1377896282544709,0.25014929196874774,0.1067117585782744,0.022462389713520922,0.06794320958913719,0.15771837231396055
Naive fusion,39,2,0.3076923076923077,0.0,0.2048076923076923,0.42339743589743595,0.3076923076923077,0.0,0.2048076923076923,0.42339743589743595,0.14573744322684629,0.02665770705502636,0.0939223679066253,0.21212629337775177,0.09701872201872203,0.03317053317053317,0.06009437321937322,0.14763901607651608,0.47435897435897434,0.012820512820512803,0.358974358974359,0.5775641025641026,0.47435897435897434,0.012820512820512803,0.358974358974359,0.5775641025641026,0.1879856638098717,0.022527373453490915,0.13751745473812682,0.24668722296703535,0.10869742792819717,0.031541606541606544,0.07152243945513176,0.15700583159717774
Adaptive fusion,39,2,0.33333333333333337,0.025641025641025633,0.24358974358974358,0.4362179487179488,0.33333333333333337,0.025641025641025633,0.24358974358974358,0.4362179487179488,0.15002456792513363,0.010980491351079716,0.1067592207700487,0.20281601448300898,0.09562983312983313,0.0210978835978836,0.062451159951159955,0.13755214692714698,0.44871794871794873,0.01282051282051283,0.34615384615384615,0.5641025641025641,0.44871794871794873,0.01282051282051283,0.34615384615384615,0.5641025641025641,0.18002839294408396,0.021583978053412514,0.13189234643545292,0.2359805167943204,0.10432264728823434,0.02446824243382948,0.07029465895103547,0.15039459233411667
Sequential (GRU),39,2,0.01282051282051282,0.01282051282051282,0.0,0.038461538461538464,0.01282051282051282,0.01282051282051282,0.0,0.038461538461538464,0.004273504273504273,0.004273504273504273,0.0,0.01282051282051282,0.0018315018315018315,0.0018315018315018315,0.0,0.005494505494505494,0.05128205128205128,0.0,0.01282051282051282,0.11538461538461539,0.05128205128205128,0.0,0.01282051282051282,0.11538461538461539,0.013996837945493255,0.0006992082058263575,0.0030745188021555317,0.032099892408806334,0.004487593854109691,0.0006837054348366564,0.0007541478129713424,0.01080845059917458
Conversation-aware,39,2,0.15384615384615385,0.07692307692307693,0.07692307692307693,0.24358974358974358,0.15384615384615385,0.07692307692307693,0.07692307692307693,0.24358974358974358,0.07926426914001196,0.03308401284093552,0.0355746670752816,0.13333469583033658,0.05776353276353276,0.020726495726495722,0.019749821937321936,0.10918981481481481,0.21794871794871795,0.14102564102564102,0.12788461538461537,0.3208333333333334,0.21794871794871795,0.14102564102564102,0.12788461538461537,0.3208333333333334,0.09581374343835504,0.049633487139278606,0.053829908148328595,0.1493715230644587,0.06246993746993747,0.025432900432900432,0.02342392561142561,0.11342470029970031
SASRec,39,2,0.0641025641025641,0.012820512820512824,0.01282051282051282,0.11570512820512828,0.0641025641025641,0.012820512820512824,0.01282051282051282,0.11570512820512828,0.020035857455635915,0.0028134968429756307,0.004039794932790834,0.036594642855613424,0.00787037037037037,0.0003917378917378915,0.0015981125356125357,0.014498753561253562,0.11538461538461538,0.012820512820512817,0.06378205128205128,0.19230769230769232,0.11538461538461538,0.012820512820512817,0.06378205128205128,0.19230769230769232,0.03285808342203361,0.0038596915191110026,0.017430742785543053,0.054380130315870766,0.011319484036202303,0.0015490801481513562,0.005368309594315787,0.01915596536533069
KBRD-style,39,2,0.3717948717948718,0.038461538461538464,0.25608974358974357,0.5,0.3717948717948718,0.038461538461538464,0.25608974358974357,0.5,0.18246309204156325,0.0008132269124318664,0.12635306181220113,0.2502773713481306,0.12586996336996337,0.012337199837199837,0.07444037444037442,0.18063441188441193,0.5,0.012820512820512803,0.4099358974358974,0.6282051282051282,0.5,0.012820512820512803,0.4099358974358974,0.6282051282051282,0.21360054813764698,0.013492428596900363,0.16167566323200003,0.27519715453244115,0.13372492159256866,0.015656796906796916,0.0882518846213699,0.1892917033266298
AIPA w/o relationship,39,2,0.2692307692307692,0.01282051282051283,0.16666666666666666,0.3717948717948718,0.2692307692307692,0.01282051282051283,0.16666666666666666,0.3717948717948718,0.14284181830253773,0.011074364569884018,0.09007251620524653,0.2028858626976534,0.10414122914122914,0.010887260887260879,0.05969449531949532,0.15445525539275545,0.47435897435897434,0.038461538461538436,0.371474358974359,0.5900641025641027,0.47435897435897434,0.038461538461538436,0.371474358974359,0.5900641025641027,0.19469704214718844,0.00256150904719768,0.13868575461105476,0.2550327688682386,0.11835575128918782,0.006803925921572994,0.07751801419612953,0.16640052704003952
AIPA w/o counterfactual,39,2,0.28205128205128205,0.0,0.1794871794871795,0.3849358974358975,0.28205128205128205,0.0,0.1794871794871795,0.3849358974358975,0.1451834429435393,0.008253754011435618,0.0934085954996565,0.2004885514236562,0.10377492877492878,0.01068376068376068,0.06363960113960113,0.1527341524216525,0.47435897435897434,0.038461538461538436,0.371474358974359,0.5900641025641027,0.47435897435897434,0.038461538461538436,0.371474358974359,0.5900641025641027,0.19391658228105763,0.0024204987648474285,0.13833915639155725,0.25477750573317964,0.11721703489237427,0.007268187443526808,0.07769859225741578,0.1660838563878723
