model,n,seeds,Recall@10_mean,Recall@10_std,Recall@10_ci_low,Recall@10_ci_high,Hit@10_mean,Hit@10_std,Hit@10_ci_low,Hit@10_ci_high,NDCG@10_mean,NDCG@10_std,NDCG@10_ci_low,NDCG@10_ci_high,MRR@10_mean,MRR@10_std,MRR@10_ci_low,MRR@10_ci_high,Recall@20_mean,Recall@20_std,Recall@20_ci_low,Recall@20_ci_high,Hit@20_mean,Hit@20_std,Hit@20_ci_low,Hit@20_ci_high,NDCG@20_mean,NDCG@20_std,NDCG@20_ci_low,NDCG@20_ci_high,MRR@20_mean,MRR@20_std,MRR@20_ci_low,MRR@20_ci_high
LTP-only,1327,5,0.057121326299924634,0.0028357027463793197,0.05229841748304446,0.06239638281838734,0.057121326299924634,0.0028357027463793197,0.05229841748304446,0.06239638281838734,0.03263124435639012,0.0014951066011689143,0.029386477854764323,0.03624998724859176,0.025227150392937887,0.001100705901909768,0.02236810564466932,0.028608143144220763,0.0857573474001507,0.008051671673967193,0.07957799547852298,0.09269027882441598,0.0857573474001507,0.008051671673967193,0.07957799547852298,0.09269027882441598,0.03979588343545094,0.0027820292881870798,0.036468874372908945,0.04340850572064498,0.027155884058118203,0.0014353375693453394,0.024344148158888336,0.03056278872785414
STI-only,1327,5,0.0964581763376036,0.004883753352228983,0.08952524491333835,0.10354559155990957,0.0964581763376036,0.004883753352228983,0.08952524491333835,0.10354559155990957,0.056543258780993734,0.0025695515766817043,0.05182373280240066,0.0613459310617819,0.044395760816258185,0.0023410814958815906,0.040027487709477165,0.04863708269039844,0.15131876412961567,0.008908826951699558,0.14227581009796533,0.1600640542577242,0.15131876412961567,0.008908826951699558,0.14227581009796533,0.1600640542577242,0.0703481341180382,0.003807573395632035,0.06552490450376151,0.07511709100334513,0.04814946131448356,0.002723088232334048,0.0439471781372152,0.05245973428515289
Naive fusion,1327,5,0.09359457422758101,0.00678054069582637,0.08665787490580255,0.10097965335342879,0.09359457422758101,0.00678054069582637,0.08665787490580255,0.10097965335342879,0.05371835349052505,0.00302260101586464,0.049346985818644634,0.05841609748660181,0.041658472984772904,0.0022657431424788696,0.03757876101960502,0.04580759500484443,0.14905802562170306,0.00895967683358061,0.14016578749058026,0.1576525998492841,0.14905802562170306,0.00895967683358061,0.14016578749058026,0.1576525998492841,0.06764767562224991,0.003367072392453682,0.06305109159420343,0.07240184394051026,0.04543436412788358,0.002296644678571052,0.04119235455745158,0.04959457917587229
Adaptive fusion,1327,5,0.09163526752072344,0.004635585983189057,0.08469856819894499,0.09857196684250188,0.09163526752072344,0.004635585983189057,0.08469856819894499,0.09857196684250188,0.05233385431031588,0.004288687565119421,0.04801873149079101,0.056738153311829465,0.040308369517111045,0.004310230017231522,0.036490200476070864,0.04422329128838172,0.14363225320271286,0.00826330077580877,0.13489073097211757,0.1523737754333082,0.14363225320271286,0.00826330077580877,0.13489073097211757,0.1523737754333082,0.06540241673933216,0.004556230732514108,0.06080983541041361,0.06977782189994035,0.043855057113156924,0.004317341064629325,0.04012530360187833,0.047732090822773646
Sequential (GRU),1327,5,0.07505651846269781,0.0076197285062634765,0.0693255463451394,0.08108892238131123,0.07505651846269781,0.0076197285062634765,0.0693255463451394,0.08108892238131123,0.043243434130117685,0.003973688351413731,0.039481600968045635,0.04737947873549333,0.03358458630877621,0.0030747477851432933,0.030103168622384904,0.03742479455987368,0.11409193669932179,0.007883464555009509,0.10715523737754333,0.12132629992464206,0.11409193669932179,0.007883464555009509,0.10715523737754333,0.12132629992464206,0.052972609604078534,0.0035039222130617055,0.0490358482951784,0.05740643940344142,0.036180463760132044,0.0028456691003346745,0.03264352400005124,0.03990268973145118
Conversation-aware,1327,5,0.10339110776186888,0.005525336180805836,0.0958553127354936,0.11032780708364733,0.10339110776186888,0.005525336180805836,0.0958553127354936,0.11032780708364733,0.059467054836208975,0.0021357936818533424,0.05430078853387447,0.064051441314061,0.04613928063061447,0.0018797388894234487,0.041463451394122074,0.05037159394026388,0.15795026375282592,0.008180417027949902,0.14890730972117558,0.16610022607385078,0.15795026375282592,0.008180417027949902,0.14890730972117558,0.16610022607385078,0.07312064234362145,0.0033001798770618323,0.0678972706654686,0.07790086276922355,0.04981284761595339,0.0022697074575698875,0.04515804144235439,0.05397014792032127
SASRec,1327,5,0.06857573474001508,0.007117238253575037,0.06254333082140165,0.0746043707611153,0.06857573474001508,0.007117238253575037,0.06254333082140165,0.0746043707611153,0.03646529067165368,0.00370030230533721,0.032851240224036876,0.04018904390841854,0.0267385557589024,0.002830100615371813,0.023646053874953648,0.030002082810014232,0.10519969856819895,0.006039929136251356,0.09781461944235116,0.11228334589299171,0.10519969856819895,0.006039929136251356,0.09781461944235116,0.11228334589299171,0.04562935300992217,0.002716863516106797,0.04190864421447126,0.049378309090220784,0.029203697243603128,0.0025187771422771044,0.02612081202855205,0.032494310100552704
KBRD-style,1327,5,0.1041446872645064,0.003211345252850417,0.09705727204220045,0.11168801808590806,0.1041446872645064,0.003211345252850417,0.09705727204220045,0.11168801808590806,0.05938281523165508,0.0013098032571278659,0.05460207479258067,0.0642162779105367,0.04575537373954857,0.0019513154342125712,0.041581142869104436,0.049863169997966535,0.15674453654860587,0.005971850114893426,0.14755086661642802,0.1654860587792012,0.15674453654860587,0.005971850114893426,0.14755086661642802,0.1654860587792012,0.07263359615618717,0.0009157203057324781,0.06769099944833556,0.07726528959938693,0.049368100323606466,0.0017092349586098274,0.045242686834898106,0.05350323726128909
AIPA w/o relationship,1327,5,0.09389600602863601,0.003889521597758536,0.08711379050489827,0.10097965335342879,0.09389600602863601,0.003889521597758536,0.08711379050489827,0.10097965335342879,0.05347389011974113,0.0016252560724706684,0.0492936658250932,0.05802773415991555,0.04118174423750912,0.0016027106461386426,0.03732464025549933,0.045301119304793004,0.14709871891484552,0.004556508352021396,0.1383571966842502,0.15584024114544084,0.14709871891484552,0.004556508352021396,0.1383571966842502,0.15584024114544084,0.06675780181457167,0.0015688439313889832,0.06216704897924616,0.07137525431404367,0.04473912029422609,0.0015278116200432342,0.04088579524367727,0.0488380249662214
AIPA w/o counterfactual,1327,5,0.09419743782969103,0.007004642073020197,0.08726073850791258,0.1012810851544838,0.09419743782969103,0.007004642073020197,0.08726073850791258,0.1012810851544838,0.052878655258319286,0.003700905277148964,0.04870925881033323,0.05715181172336968,0.040328464970514705,0.0031240126117903252,0.03660319852633341,0.04400130231695793,0.14679728711379053,0.007075625979988245,0.13850791258477768,0.15553880934438583,0.14679728711379053,0.007075625979988245,0.13850791258477768,0.15553880934438583,0.06609864925319235,0.003684924545118361,0.06181728133692301,0.07066813257948894,0.043914904772492255,0.0031025464618009225,0.04024952012158337,0.04767598024997569
